tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60319.52718750015,2565527180915015019,2,2565527180915,20.2123,1,2565,22.8418,18.7338,18.6397,0.07253,0.0906,149.683329,2.2672921,0.93,t17_f5_c3,18.6096,0.1124,False,False,True,23.12.x,0.0,2.565530470915015e+18,,,ZTF24aabncdr
ztf,60319.52766200015,2565527660915015004,2,2565527660915,20.1308,1,2565,22.9099,18.7052,18.8306,0.08759,0.1089,149.6832727,2.2672936,0.921429,t17_f5_c3,18.8416,0.1404,False,False,True,23.12.x,0.0,2.565530470915015e+18,,,ZTF24aabncdr
ztf,60319.52813659981,2565528130915015003,2,2565528130915,20.1517,1,2565,23.1686,18.7705,18.8726,0.089912,0.1137,149.6832088,2.2672415,0.94,t17_f5_c3,18.9393,0.1544,False,False,True,23.12.x,0.0,2.565531420915015e+18,,,ZTF24aabncdr
ztf,60319.52859950019,2565528590915015004,2,2565528590915,20.0393,1,2565,23.3138,18.7861,18.6955,0.098402,0.0975,149.6831759,2.2672108,0.862857,t17_f5_c3,18.7381,0.1295,False,False,True,23.12.x,0.0,2.565531420915015e+18,,,ZTF24aabncdr
ztf,60319.529074099846,2565529070915015003,2,2565529070915,20.1603,1,2565,23.3311,18.8292,18.7737,0.093071,0.103,149.6831418,2.2672199,0.904286,t17_f5_c3,18.6239,0.1147,False,False,True,23.12.x,0.0,2.565531420915015e+18,,,ZTF24aabncdr
ztf,60319.52953700023,2565529530915015004,2,2565529530915,20.1997,1,2565,23.5828,18.7422,18.7731,0.085703,0.1027,149.683041,2.2671861,0.942857,t17_f5_c3,18.7083,0.1236,False,False,True,23.12.x,0.0,2.565531420915015e+18,,,ZTF24aabncdr
ztf,60319.53001159988,2565530010915015003,2,2565530010915,20.1409,1,2565,23.5027,18.7646,18.6579,0.098384,0.0936,149.6830118,2.2672239,0.897143,t17_f5_c3,18.6616,0.1198,False,False,True,23.12.x,0.0,2.565531420915015e+18,,,ZTF24aabncdr
ztf,60319.5304744998,2565530470915015003,2,2565530470915,20.113585,1,2565,23.715357,18.696619,18.6898,0.07051357,0.0973,149.6829637,2.267179,0.92714286,t17_f5_c3,18.652,0.1199,True,False,True,23.12.x,0.0,,0.9999993,468120209.0,ZTF24aabncdr
ztf,60319.53094909992,2565530940915015002,2,2565530940915,20.170113,1,2565,23.871586,18.811268,18.8238,0.076532416,0.1083,149.6829104,2.2671311,0.93857145,t17_f5_c3,18.9812,0.1598,True,False,True,23.12.x,0.0,,0.9999989,468120209.0,ZTF24aabncdr
ztf,60319.531423599925,2565531420915015005,2,2565531420915,20.143084,1,2565,23.8091,18.830105,18.6778,0.09143308,0.0957,149.6828731,2.267141,0.8857143,t17_f5_c3,18.7489,0.1304,True,False,True,23.12.x,0.0,,0.99999905,468120209.0,ZTF24aabncdr
ztf,60319.53189809993,2565531890915015002,2,2565531890915,20.04602,1,2565,23.636168,18.748396,18.7169,0.08363855,0.1015,149.682792,2.2671476,0.9342857,t17_f5_c3,18.7953,0.1392,True,False,True,23.12.x,0.0,,0.9999999,468120209.0,ZTF24aabncdr
ztf,60319.53236109996,2565532360915015004,2,2565532360915,20.0473,1,2565,23.3422,18.7747,18.8349,0.08987,0.1119,149.6827327,2.2670894,0.935714,t17_f5_c3,18.8095,0.1396,False,False,True,23.12.x,0.0,2.565533310915015e+18,,,ZTF24aabncdr
ztf,60319.532835599966,2565532830915015004,2,2565532830915,20.1748,1,2565,23.337536,18.827036,19.026,0.086833835,0.13,149.6827005,2.2671154,0.93857145,t17_f5_c3,19.0161,0.1646,True,False,True,23.12.x,0.0,,0.99999964,468120209.0,ZTF24aabncdr
ztf,60319.53331020009,2565533310915015002,2,2565533310915,20.156134,1,2565,23.11576,18.75561,18.7049,0.07358488,0.098,149.6826306,2.2670894,0.93,t17_f5_c3,18.8383,0.1413,True,False,True,23.12.x,0.0,,0.99999875,468120209.0,ZTF24aabncdr
ztf,60319.53378470009,2565533780915015007,2,2565533780915,20.123892,1,2565,22.981518,18.787983,18.9925,0.08832383,0.1274,149.6825961,2.2670704,0.9142857,t17_f5_c3,19.0171,0.1665,True,False,True,23.12.x,0.0,,0.9999904,468120209.0,ZTF24aabncdr
ztf,60319.534247700125,2565534240915015006,2,2565534240915,20.059832,1,2565,22.732746,18.808418,19.1112,0.10044678,0.143,149.6825302,2.2670339,0.9,t17_f5_c3,19.2092,0.2001,True,False,True,23.12.x,0.0,,0.99999845,468120209.0,ZTF24aabncdr
