tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60319.52813659981,2565528132715015009,2,2565528132715,20.2315,1,2565,6.24219,19.6957,19.9051,0.153344,0.2751,150.3503518,2.9107498,0.83,t17_f5_c3,20.1661,0.4483,False,False,True,23.12.x,0.0,2.565532832715015e+18,,,ZTF24aabncjr
ztf,60319.52859950019,2565528592715015016,2,2565528592715,20.1099,1,2565,6.30432,19.6342,19.8418,0.147685,0.2647,150.3503197,2.9107614,0.697143,t17_f5_c3,19.796,0.3255,False,False,True,23.12.x,0.0,2.565532832715015e+18,,,ZTF24aabncjr
ztf,60319.529074099846,2565529072715015017,2,2565529072715,20.1937,1,2565,6.41587,19.8273,20.204,0.206888,0.3727,150.3503082,2.9107912,0.805714,t17_f5_c3,20.2648,0.5057,False,False,True,23.12.x,0.0,2.565532832715015e+18,,,ZTF24aabncjr
ztf,60319.52953700023,2565529532715015016,2,2565529532715,20.2608,1,2565,6.23656,19.6206,19.604,0.124596,0.2065,150.350275,2.9107323,0.83,t17_f5_c3,19.7673,0.3074,False,False,True,23.12.x,0.0,2.565533312715015e+18,,,ZTF24aabncjr
ztf,60319.53001159988,2565530012715015013,2,2565530012715,20.1811,1,2565,6.1168,19.6569,19.817,0.154152,0.2627,150.3502287,2.9106854,0.697143,t17_f5_c3,19.5517,0.264,False,False,True,23.12.x,0.0,2.565533782715015e+18,,,ZTF24aabncjr
ztf,60319.5304744998,2565530472715015013,2,2565530472715,20.1923,1,2565,6.10965,19.6956,19.5791,0.159388,0.21,150.3501958,2.9106742,0.724286,t17_f5_c3,19.3407,0.2163,False,False,True,23.12.x,0.0,2.565533782715015e+18,,,ZTF24aabncjr
ztf,60319.53094909992,2565530942715015018,2,2565530942715,20.2396,1,2565,6.25426,19.6291,19.7314,0.154645,0.2387,150.3501252,2.910695,0.801429,t17_f5_c3,19.4888,0.2449,False,False,True,23.12.x,0.0,2.565533782715015e+18,,,ZTF24aabncjr
ztf,60319.53189809993,2565531892715015019,2,2565531892715,20.1038,1,2565,6.19554,19.6618,20.1056,0.156699,0.3466,150.3500434,2.9106479,0.712857,t17_f5_c3,19.924,0.3767,False,False,True,23.12.x,0.0,2.565533782715015e+18,,,ZTF24aabncjr
ztf,60319.53236109996,2565532362715015020,2,2565532362715,20.1281,1,2565,6.28808,19.725,19.5875,0.154134,0.2116,150.3499979,2.9106576,0.708571,t17_f5_c3,19.3683,0.2218,False,False,True,23.12.x,0.0,2.565533782715015e+18,,,ZTF24aabncjr
ztf,60319.532835599966,2565532832715015008,2,2565532832715,20.216402,1,2565,6.0109735,19.734514,19.7898,0.17407076,0.2538,150.3499827,2.9105663,0.7214286,t17_f5_c3,19.7842,0.3237,True,False,True,23.12.x,0.0,,0.9999607,468120227.0,ZTF24aabncjr
ztf,60319.53331020009,2565533312715015013,2,2565533312715,20.233051,1,2565,6.3196006,19.642967,19.71,0.14145045,0.2334,150.3499086,2.9106277,0.86714286,t17_f5_c3,19.6056,0.2721,True,False,True,23.12.x,0.0,,0.9999722,468120227.0,ZTF24aabncjr
ztf,60319.53378470009,2565533782715015011,2,2565533782715,20.210594,1,2565,6.2177052,19.566196,19.4716,0.12449079,0.1885,150.3498763,2.9105797,0.8471429,t17_f5_c3,19.3264,0.2116,True,False,True,23.12.x,0.0,,0.9998888,468120227.0,ZTF24aabncjr
ztf,60319.534247700125,2565534242715015013,2,2565534242715,20.11666,1,2565,5.944331,19.746237,19.7847,0.19397333,0.2536,150.3499065,2.9105086,0.5257143,t17_f5_c3,19.7945,0.3278,True,False,True,23.12.x,0.0,,0.9997554,468120227.0,ZTF24aabncjr
ztf,60319.535196799785,2565535192715015012,2,2565535192715,20.1001,1,2565,6.22187,19.6947,19.7445,0.230444,0.2462,150.3497431,2.910505,0.281429,t17_f5_c3,19.6581,0.2915,False,False,True,23.12.x,0.0,2.565536602715015e+18,,,ZTF24aabncjr
ztf,60319.53567129979,2565535672715015015,2,2565535672715,20.128544,1,2565,6.176147,19.761856,19.6793,0.18229255,0.2309,150.3497351,2.9104847,0.58428574,t17_f5_c3,19.7814,0.3251,True,False,True,23.12.x,0.0,,0.99986714,468120227.0,ZTF24aabncjr
ztf,60319.53613429982,2565536132715015016,2,2565536132715,20.131628,1,2565,6.510492,19.788595,19.6948,0.1632213,0.2354,150.3496334,2.91053,0.7728571,t17_f5_c3,19.4019,0.2307,True,False,True,23.12.x,0.0,,0.998857,468120227.0,ZTF24aabncjr
ztf,60319.536608799826,2565536602715015014,2,2565536602715,20.06056,1,2565,6.3185244,19.734215,19.8709,0.16699894,0.2815,150.3496175,2.9104521,0.7757143,t17_f5_c3,19.6379,0.2917,True,False,True,23.12.x,0.0,,0.9975573,468120227.0,ZTF24aabncjr
ztf,60319.53707179986,2565537072715015012,2,2565537072715,20.099463,1,2565,6.554846,19.751871,19.7635,0.15677862,0.2493,150.3495732,2.9105022,0.81285715,t17_f5_c3,19.3989,0.2289,True,False,True,23.12.x,0.0,,0.9991683,468120227.0,ZTF24aabncjr
