tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60319.532835599966,2565532834115015008,2,2565532834115,20.186,1,2565,5.76786,19.5871,20.0198,0.127672,0.3174,149.9539553,6.1495294,0.705714,t17_f5_c3,19.6901,0.3008,False,False,True,23.12.x,0.0,2.565536134115015e+18,,,ZTF24aabndiy
ztf,60319.53331020009,2565533314115015005,2,2565533314115,20.1843,1,2565,6.0104,19.7215,19.5091,0.142574,0.2014,149.9538943,6.149496,0.71,t17_f5_c3,19.4054,0.2345,False,False,True,23.12.x,0.0,2.565536604115015e+18,,,ZTF24aabndiy
ztf,60319.53378470009,2565533784115015006,2,2565533784115,20.1508,1,2565,5.96209,19.7114,19.6681,0.132081,0.231,149.9538796,6.1495371,0.741429,t17_f5_c3,19.6034,0.2788,False,False,True,23.12.x,0.0,2.565536604115015e+18,,,ZTF24aabndiy
ztf,60319.534247700125,2565534244115015005,2,2565534244115,20.047,1,2565,6.29239,19.5084,19.6778,0.137569,0.2387,149.9537432,6.1495688,0.805714,t17_f5_c3,19.6429,0.2966,False,False,True,23.12.x,0.0,2.565536604115015e+18,,,ZTF24aabndiy
ztf,60319.53472220013,2565534724115015006,2,2565534724115,19.9731,1,2565,6.34246,19.5642,19.5653,0.152259,0.2151,149.9537564,6.1495242,0.682857,t17_f5_c3,19.5,0.2598,False,False,True,23.12.x,0.0,2.565536134115015e+18,,,ZTF24aabndiy
ztf,60319.535196799785,2565535194115015004,2,2565535194115,20.0672,1,2565,6.70491,19.5733,19.8509,0.173587,0.2772,149.9536126,6.1495566,0.68,t17_f5_c3,19.9355,0.3845,False,False,True,23.12.x,0.0,2.565538484115015e+18,,,ZTF24aabndiy
ztf,60319.53567129979,2565535674115015007,2,2565535674115,20.0978,1,2565,6.50826,19.6903,19.98,0.137044,0.3095,149.953626,6.1496428,0.75,t17_f5_c3,19.9555,0.3884,False,False,True,23.12.x,0.0,2.565538484115015e+18,,,ZTF24aabndiy
ztf,60319.53613429982,2565536134115015004,2,2565536134115,20.05264,1,2565,6.9667687,19.664366,19.5362,0.16103716,0.2093,149.9535479,6.1495206,0.63285714,t17_f5_c3,19.6328,0.2931,True,False,True,23.12.x,0.0,,0.9999522,468120241.0,ZTF24aabndiy
ztf,60319.536608799826,2565536604115015003,2,2565536604115,20.032825,1,2565,7.0321684,19.676586,19.7838,0.15755378,0.2629,149.9534925,6.1495782,0.7014286,t17_f5_c3,19.5424,0.2704,True,False,True,23.12.x,0.0,,0.9995776,468120241.0,ZTF24aabndiy
ztf,60319.53707179986,2565537074115015007,2,2565537074115,20.058958,1,2565,7.388409,19.567806,19.4632,0.14693154,0.1956,149.953365,6.1496034,0.60571426,t17_f5_c3,19.2559,0.2073,True,False,True,23.12.x,0.0,,0.99930644,468120241.0,ZTF24aabndiy
ztf,60319.53754629986,2565537544115015006,2,2565537544115,20.104164,1,2565,7.443589,19.619537,19.505,0.11720286,0.2078,149.9533459,6.1496061,0.8257143,t17_f5_c3,19.5193,0.2698,True,False,True,23.12.x,0.0,,0.99999905,468120241.0,ZTF24aabndiy
ztf,60319.5380092999,2565538004115015007,2,2565538004115,20.116083,1,2565,7.435643,19.63949,19.7975,0.1638816,0.2687,149.9533275,6.1496487,0.7557143,t17_f5_c3,19.7762,0.338,True,False,True,23.12.x,0.0,,0.9999888,468120241.0,ZTF24aabndiy
ztf,60319.5384837999,2565538484115015006,2,2565538484115,20.13778,1,2565,7.573741,19.553204,19.341,0.14958878,0.1748,149.9532866,6.1496445,0.7171429,t17_f5_c3,19.2237,0.2012,True,False,True,23.12.x,0.0,,0.99996364,468120241.0,ZTF24aabndiy
ztf,60319.538958299905,2565538954115015005,2,2565538954115,20.199133,1,2565,7.839709,19.582335,19.7279,0.14028558,0.2416,149.9532058,6.1496398,0.6185714,t17_f5_c3,19.8102,0.3341,True,False,True,23.12.x,0.0,,0.9999914,468120241.0,ZTF24aabndiy
ztf,60319.53943290003,2565539434115015005,2,2565539434115,20.102375,1,2565,8.194408,19.589697,19.6449,0.1654191,0.2386,149.9530886,6.149658,0.73,t17_f5_c3,19.4862,0.2646,True,False,True,23.12.x,0.0,,0.99991906,468120241.0,ZTF24aabndiy
