tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60319.54084490007,2565540845515015002,2,2565540845515,20.0921,1,2565,12.6583,18.8946,18.9317,0.091229,0.1206,152.755176,7.1950398,0.908571,t17_f5_c3,18.8732,0.1462,False,False,True,23.12.x,0.0,2.565545545515015e+18,,,ZTF24aabnfht
ztf,60319.54131940007,2565541315515015001,2,2565541315515,20.053,1,2565,12.6486,18.9714,19.0184,0.089055,0.1366,152.7551388,7.195036,0.927143,t17_f5_c3,19.1456,0.1965,False,False,True,23.12.x,0.0,2.565545545515015e+18,,,ZTF24aabnfht
ztf,60319.541782400105,2565541785515015005,2,2565541785515,20.1239,1,2565,12.6702,18.8854,19.003,0.082964,0.1283,152.7550651,7.1950425,0.93,t17_f5_c3,18.947,0.1559,False,False,True,23.12.x,0.0,2.565546015515015e+18,,,ZTF24aabnfht
ztf,60319.54225690011,2565542255515015003,2,2565542255515,20.051,1,2565,12.7784,18.9411,18.9844,0.088288,0.1316,152.7550345,7.1950715,0.931429,t17_f5_c3,18.9114,0.1575,False,False,True,23.12.x,0.0,2.565546015515015e+18,,,ZTF24aabnfht
ztf,60319.54271990014,2565542715515015003,2,2565542715515,20.0666,1,2565,12.8833,18.9603,18.9653,0.090555,0.128,152.7549893,7.1950955,0.891429,t17_f5_c3,19.007,0.1701,False,False,True,23.12.x,0.0,2.565546965515015e+18,,,ZTF24aabnfht
ztf,60319.54319440015,2565543195515015005,2,2565543195515,19.9848,1,2565,12.9132,18.9482,18.9853,0.109719,0.1328,152.7549442,7.1951007,0.901429,t17_f5_c3,18.9461,0.1639,False,False,True,23.12.x,0.0,2.565546965515015e+18,,,ZTF24aabnfht
ztf,60319.5436689998,2565543665515015002,2,2565543665515,20.0129,1,2565,13.0336,19.0535,19.1052,0.11474,0.1458,152.7549227,7.1951344,0.925714,t17_f5_c3,19.0092,0.171,False,False,True,23.12.x,0.0,2.565546965515015e+18,,,ZTF24aabnfht
ztf,60319.544131900184,2565544135515015003,2,2565544135515,20.0399,1,2565,13.0494,18.8731,18.8374,0.102989,0.1164,152.7548813,7.195136,0.928571,t17_f5_c3,18.8106,0.1453,False,False,True,23.12.x,0.0,2.565546965515015e+18,,,ZTF24aabnfht
ztf,60319.54460649984,2565544605515015004,2,2565544605515,20.0596,1,2565,13.1229,18.8785,18.8842,0.097337,0.1209,152.7548537,7.1951564,0.734286,t17_f5_c3,18.9739,0.1679,False,False,True,23.12.x,0.0,2.565546965515015e+18,,,ZTF24aabnfht
ztf,60319.54506940022,2565545065515015006,2,2565545065515,20.0123,1,2565,13.2681,18.9443,19.0102,0.112682,0.1302,152.7548165,7.1951916,0.902857,t17_f5_c3,18.9722,0.161,False,False,True,23.12.x,0.0,2.565549315515015e+18,,,ZTF24aabnfht
ztf,60319.54554399988,2565545545515015005,2,2565545545515,20.104614,1,2565,13.264306,18.956772,18.8409,0.09965336,0.114,152.7547839,7.1951887,0.8428571,t17_f5_c3,18.8892,0.1524,True,False,True,23.12.x,0.0,,0.9999995,468120255.0,ZTF24aabnfht
ztf,60319.54601849988,2565546015515015002,2,2565546015515,20.078232,1,2565,13.400302,18.906202,18.7833,0.07537152,0.1081,152.7547209,7.1952193,0.9,t17_f5_c3,18.8977,0.1536,True,False,True,23.12.x,0.0,,0.9999996,468120255.0,ZTF24aabnfht
ztf,60319.5464931,2565546495515015004,2,2565546495515,20.006927,1,2565,13.504075,18.933006,18.9044,0.0822477,0.1228,152.7547068,7.1952471,0.9257143,t17_f5_c3,18.9454,0.1631,True,False,True,23.12.x,0.0,,0.99999964,468120255.0,ZTF24aabnfht
ztf,60319.54696760001,2565546965515015005,2,2565546965515,19.995636,1,2565,13.526583,18.914148,18.9361,0.09457998,0.1339,152.7546331,7.195241,0.80285716,t17_f5_c3,19.1779,0.2139,True,False,True,23.12.x,0.0,,1.0,468120255.0,ZTF24aabnfht
ztf,60319.54743060004,2565547435515015003,2,2565547435515,20.100388,1,2565,13.627812,18.921661,18.9591,0.08231929,0.1254,152.7545934,7.1952649,0.9285714,t17_f5_c3,19.0689,0.1772,True,False,True,23.12.x,0.0,,0.9999988,468120255.0,ZTF24aabnfht
ztf,60319.547905100044,2565547905515015002,2,2565547905515,20.035683,1,2565,13.679437,18.882788,18.7238,0.09012929,0.1036,152.7545651,7.1952736,0.8385714,t17_f5_c3,18.7994,0.1419,True,False,True,23.12.x,0.0,,0.9999902,468120255.0,ZTF24aabnfht
ztf,60319.54837960005,2565548375515015002,2,2565548375515,20.032768,1,2565,13.820648,18.932756,19.0497,0.10399966,0.1418,152.7545249,7.1953078,0.9071429,t17_f5_c3,18.9139,0.1603,True,False,True,23.12.x,0.0,,0.9999903,468120255.0,ZTF24aabnfht
ztf,60319.54885420017,2565548855515015006,2,2565548855515,20.013237,1,2565,13.772324,18.983892,18.9504,0.08039238,0.1255,152.7545072,7.1952919,0.91,t17_f5_c3,18.9105,0.1548,True,False,True,23.12.x,0.0,,0.9999974,468120255.0,ZTF24aabnfht
ztf,60319.549317100085,2565549315515015001,2,2565549315515,19.983122,1,2565,13.874264,18.973581,18.8531,0.10182261,0.1186,152.754433,7.1953041,0.7885714,t17_f5_c3,18.7454,0.1375,True,False,True,23.12.x,0.0,,0.99997413,468120255.0,ZTF24aabnfht
ztf,60319.54979170021,2565549795515015003,2,2565549795515,20.008911,1,2565,13.936214,18.90571,18.9005,0.09756001,0.1236,152.7543878,7.1953174,0.8914286,t17_f5_c3,18.9099,0.1595,True,False,True,23.12.x,0.0,,0.99999726,468120255.0,ZTF24aabnfht
ztf,60319.55026620021,2565550265515015002,2,2565550265515,20.067682,1,2565,14.149181,18.937437,19.0294,0.08840763,0.1334,152.7543545,7.1953672,0.9342857,t17_f5_c3,19.1101,0.1838,True,False,True,23.12.x,0.0,,0.99999815,468120255.0,ZTF24aabnfht
ztf,60319.550740700215,2565550745515015005,2,2565550745515,19.990133,1,2565,14.07858,19.023008,18.9917,0.10578764,0.1303,152.754347,7.1953468,0.82714283,t17_f5_c3,18.9469,0.16,True,False,True,23.12.x,0.0,,0.999998,468120255.0,ZTF24aabnfht
