tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60319.54271990014,2565542716315015015,2,2565542716315,20.0946,1,2565,10.0178,19.8564,19.5868,0.166663,0.219,149.1287182,7.0984843,0.591429,t17_f5_c3,19.8296,0.3509,False,False,True,23.12.x,0.0,2.565545066315015e+18,,,ZTF24aabnfnl
ztf,60319.54319440015,2565543196315015007,2,2565543196315,20.0255,1,2565,10.2931,19.9016,19.7964,0.240494,0.2696,149.1286275,7.0984803,0.58,t17_f5_c3,19.7659,0.3365,False,False,True,23.12.x,0.0,2.565545066315015e+18,,,ZTF24aabnfnl
ztf,60319.5436689998,2565543666315015009,2,2565543666315,19.9749,1,2565,10.3666,19.8831,19.6527,0.166631,0.2385,149.1286072,7.0984738,0.415714,t17_f5_c3,19.5633,0.2816,False,False,True,23.12.x,0.0,2.565545066315015e+18,,,ZTF24aabnfnl
ztf,60319.544131900184,2565544136315015008,2,2565544136315,20.0617,1,2565,10.8142,19.8652,19.8722,0.159505,0.2882,149.1284494,7.0984892,0.711429,t17_f5_c3,19.6867,0.3118,False,False,True,23.12.x,0.0,2.565546496315015e+18,,,ZTF24aabnfnl
ztf,60319.54460649984,2565544606315015009,2,2565544606315,20.0833,1,2565,10.8471,19.8515,19.8164,0.184829,0.2684,149.1284111,7.0985369,0.608571,t17_f5_c3,19.853,0.3561,False,False,True,23.12.x,0.0,2.565546496315015e+18,,,ZTF24aabnfnl
ztf,60319.54506940022,2565545066315015008,2,2565545066315,19.93355,1,2565,10.861958,19.787962,19.8467,0.21520117,0.2845,149.1283644,7.0986131,0.6085714,t17_f5_c3,19.607,0.2929,True,False,True,23.12.x,0.0,,0.99628437,468120263.0,ZTF24aabnfnl
ztf,60319.54554399988,2565545546315015005,2,2565545546315,20.078917,1,2565,11.544688,19.876389,19.6723,0.18622252,0.2364,149.1281866,7.0985364,0.50142854,t17_f5_c3,19.6563,0.2987,True,False,True,23.12.x,0.0,,0.99976206,468120263.0,ZTF24aabnfnl
ztf,60319.54601849988,2565546016315015008,2,2565546016315,20.091497,1,2565,11.427595,19.851967,19.6238,0.18784258,0.2266,149.1282234,7.0985373,0.63,t17_f5_c3,19.6848,0.3074,True,False,True,23.12.x,0.0,,0.98914003,468120263.0,ZTF24aabnfnl
ztf,60319.5464931,2565546496315015006,2,2565546496315,19.994694,1,2565,11.970603,19.690552,19.4529,0.17968577,0.1973,149.1280699,7.0984996,0.55,t17_f5_c3,19.3259,0.225,True,False,True,23.12.x,0.0,,0.99991935,468120263.0,ZTF24aabnfnl
ztf,60319.54696760001,2565546966315015014,2,2565546966315,20.066145,1,2565,11.899905,19.79342,19.7037,0.18523039,0.2471,149.1281142,7.0984581,0.40428573,t17_f5_c3,19.7335,0.3254,True,False,True,23.12.x,0.0,,0.9979311,468120263.0,ZTF24aabnfnl
ztf,60319.547905100044,2565547906315015005,2,2565547906315,20.067926,1,2565,12.3847,19.822123,19.7089,0.16391997,0.2472,149.1278917,7.0985987,0.45142856,t17_f5_c3,19.3517,0.2282,True,False,True,23.12.x,0.0,,0.98815167,468120263.0,ZTF24aabnfnl
ztf,60319.54837960005,2565548376315015008,2,2565548376315,20.058407,1,2565,12.1567335,19.844563,19.7759,0.17031297,0.2662,149.1278377,7.0984942,0.6942857,t17_f5_c3,19.8669,0.3709,True,False,True,23.12.x,0.0,,0.9999441,468120263.0,ZTF24aabnfnl
ztf,60319.54885420017,2565548856315015006,2,2565548856315,20.006819,1,2565,12.073209,19.77852,19.8747,0.20070937,0.2912,149.1278074,7.0985593,0.64857143,t17_f5_c3,19.5981,0.2899,True,False,True,23.12.x,0.0,,0.9996709,468120263.0,ZTF24aabnfnl
ztf,60319.549317100085,2565549316315015010,2,2565549316315,19.984041,1,2565,12.022777,19.768793,19.5807,0.1749656,0.2251,149.1277879,7.0986031,0.5714286,t17_f5_c3,19.3742,0.2386,True,False,True,23.12.x,0.0,,0.99996364,468120263.0,ZTF24aabnfnl
