tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60319.544131900184,2565544135715015003,2,2565544135715,19.8871,1,2565,12.5726,19.37,19.7041,0.123479,0.2834,149.6254866,8.1031581,0.745714,t17_f5_c3,19.8536,0.4175,False,False,True,23.12.x,0.0,2.565548855715015e+18,,,ZTF24aabngeh
ztf,60319.54460649984,2565544605715015002,2,2565544605715,19.9836,1,2565,12.6573,19.3308,19.1608,0.137969,0.1637,149.6254651,8.1031796,0.751429,t17_f5_c3,19.2885,0.2358,False,False,True,23.12.x,0.0,2.565548855715015e+18,,,ZTF24aabngeh
ztf,60319.54506940022,2565545065715015003,2,2565545065715,19.7655,1,2565,12.6861,19.3124,19.3416,0.141729,0.2138,149.6254587,8.1031948,0.752857,t17_f5_c3,19.1571,0.2314,False,False,True,23.12.x,0.0,2.565548855715015e+18,,,ZTF24aabngeh
ztf,60319.54554399988,2565545545715015006,2,2565545545715,19.9824,1,2565,12.8741,19.3533,19.2153,0.109975,0.1714,149.6254139,8.1032609,0.764286,t17_f5_c3,19.2935,0.2361,False,False,True,23.12.x,0.0,2.565548855715015e+18,,,ZTF24aabngeh
ztf,60319.54601849988,2565546015715015002,2,2565546015715,19.9914,1,2565,12.9971,19.4315,19.5687,0.130434,0.2355,149.6253842,8.1032975,0.752857,t17_f5_c3,19.5347,0.2928,False,False,True,23.12.x,0.0,2.565550745715015e+18,,,ZTF24aabngeh
ztf,60319.5464931,2565546495715015005,2,2565546495715,19.8115,1,2565,12.9394,19.2138,19.1219,0.136185,0.1721,149.6254067,8.103335,0.691429,t17_f5_c3,19.0229,0.2015,False,False,True,23.12.x,0.0,2.565550745715015e+18,,,ZTF24aabngeh
ztf,60319.54696760001,2565546965715015003,2,2565546965715,19.926,1,2565,13.1943,19.3872,19.2876,0.144574,0.1907,149.6253442,8.1033979,0.765714,t17_f5_c3,19.3552,0.2602,False,False,True,23.12.x,0.0,2.565550745715015e+18,,,ZTF24aabngeh
ztf,60319.54743060004,2565547435715015004,2,2565547435715,19.9232,1,2565,13.3247,19.4196,19.3815,0.134154,0.2073,149.6253019,8.1033717,0.73,t17_f5_c3,19.3502,0.2583,False,False,True,23.12.x,0.0,2.565550745715015e+18,,,ZTF24aabngeh
ztf,60319.547905100044,2565547905715015004,2,2565547905715,19.8863,1,2565,13.666,19.463,19.2166,0.107245,0.1803,149.6252257,8.1034911,0.602857,t17_f5_c3,19.4093,0.2759,False,False,True,23.12.x,0.0,2.565550745715015e+18,,,ZTF24aabngeh
ztf,60319.54837960005,2565548375715015002,2,2565548375715,19.791649,1,2565,13.625368,19.2631,19.1854,0.12315939,0.1891,149.6252046,8.103545,0.7728571,t17_f5_c3,18.964,0.1979,True,False,True,23.12.x,0.0,,0.9999733,468120257.0,ZTF24aabngeh
ztf,60319.54885420017,2565548855715015006,2,2565548855715,19.828274,1,2565,13.749564,19.335367,19.3656,0.12275444,0.2131,149.6251889,8.1034254,0.76,t17_f5_c3,19.4419,0.2931,True,False,True,23.12.x,0.0,,0.9999871,468120257.0,ZTF24aabngeh
ztf,60319.549317100085,2565549315715015003,2,2565549315715,19.76123,1,2565,13.650835,19.297863,19.3838,0.13184582,0.2262,149.6252034,8.1035375,0.73571426,t17_f5_c3,19.1433,0.2326,True,False,True,23.12.x,0.0,,0.9998151,468120257.0,ZTF24aabngeh
ztf,60319.54979170021,2565549795715015004,2,2565549795715,19.894289,1,2565,13.7181225,19.298738,19.0547,0.15529461,0.1524,149.6250733,8.1036014,0.46142858,t17_f5_c3,18.8652,0.164,True,False,True,23.12.x,0.0,,0.9252361,468120257.0,ZTF24aabngeh
ztf,60319.55026620021,2565550265715015004,2,2565550265715,19.898304,1,2565,13.538003,19.258774,19.0602,0.12004089,0.152,149.6251297,8.1036239,0.70714283,t17_f5_c3,18.918,0.1708,True,False,True,23.12.x,0.0,,0.99980634,468120257.0,ZTF24aabngeh
ztf,60319.550740700215,2565550745715015007,2,2565550745715,19.720848,1,2565,13.502626,19.43585,19.2779,0.1424431,0.2074,149.6251561,8.1036187,0.49714285,t17_f5_c3,19.2027,0.2483,True,False,True,23.12.x,0.0,,0.9969593,468120257.0,ZTF24aabngeh
ztf,60319.55120369978,2565551205715015008,2,2565551205715,19.7737,1,2565,13.3171,19.2467,19.1287,0.141297,0.1785,149.6250702,8.1037423,0.59,t17_f5_c3,18.8922,0.1842,False,False,True,23.12.x,0.0,2.565553095715015e+18,,,ZTF24aabngeh
ztf,60319.55167819979,2565551675715015006,2,2565551675715,19.676992,1,2565,13.423701,19.373987,19.2523,0.17362992,0.2091,149.6250316,8.103733,0.58285713,t17_f5_c3,19.1747,0.2496,True,False,True,23.12.x,0.0,,0.9995091,468120257.0,ZTF24aabngeh
ztf,60319.55215279991,2565552155715015005,2,2565552155715,19.6769,1,2565,13.4187,19.2403,19.224,0.134727,0.2027,149.624938,8.1038064,0.632857,t17_f5_c3,19.3008,0.2791,False,False,True,23.12.x,0.0,2.565553095715015e+18,,,ZTF24aabngeh
ztf,60319.552615699824,2565552615715015004,2,2565552615715,19.72477,1,2565,13.087099,19.355844,19.3316,0.1497748,0.219,149.6250024,8.1038749,0.74714285,t17_f5_c3,19.5362,0.339,True,False,True,23.12.x,0.0,,0.99976516,468120257.0,ZTF24aabngeh
ztf,60319.553090299945,2565553095715015005,2,2565553095715,19.781351,1,2565,13.37366,19.333712,19.3928,0.15119036,0.2265,149.6249156,8.1038401,0.70428574,t17_f5_c3,19.2317,0.2505,True,False,True,23.12.x,0.0,,0.9999823,468120257.0,ZTF24aabngeh
