tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60319.5464931,2565546493915015017,2,2565546493915,20.0186,1,2565,13.0144,17.5289,17.5205,0.05147,0.0355,152.8505858,4.7568309,0.952857,t17_f5_c3,17.5069,0.0442,False,False,True,23.12.x,0.0,2.565549793915015e+18,,,ZTF24aabngpd
ztf,60319.54696760001,2565546963915015016,2,2565546963915,20.0366,1,2565,12.9563,17.5377,17.619,0.052274,0.0398,152.850545,4.756817,0.962857,t17_f5_c3,17.6334,0.0511,False,False,True,23.12.x,0.0,2.565549793915015e+18,,,ZTF24aabngpd
ztf,60319.54743060004,2565547433915015011,2,2565547433915,20.1421,1,2565,12.7707,17.5768,17.5453,0.045146,0.0342,152.850478,4.7568286,0.957143,t17_f5_c3,17.5562,0.0436,False,False,True,23.12.x,0.0,2.565550743915015e+18,,,ZTF24aabngpd
ztf,60319.547905100044,2565547903915015014,2,2565547903915,20.0788,1,2565,12.7165,17.5417,17.5711,0.058291,0.0364,152.8504324,4.7568106,0.958571,t17_f5_c3,17.5465,0.045,False,False,True,23.12.x,0.0,2.565551203915015e+18,,,ZTF24aabngpd
ztf,60319.54837960005,2565548373915015019,2,2565548373915,20.0916,1,2565,12.6289,17.5525,17.5797,0.050384,0.0368,152.8503788,4.7567991,0.968571,t17_f5_c3,17.5976,0.0473,False,False,True,23.12.x,0.0,2.565551203915015e+18,,,ZTF24aabngpd
ztf,60319.54885420017,2565548853915015012,2,2565548853915,20.0845,1,2565,12.4749,17.564,17.5871,0.047605,0.0355,152.8503158,4.7568046,0.961429,t17_f5_c3,17.5719,0.0442,False,False,True,23.12.x,0.0,2.565551203915015e+18,,,ZTF24aabngpd
ztf,60319.549317100085,2565549313915015012,2,2565549313915,20.0302,1,2565,12.4338,17.5537,17.5562,0.048524,0.0361,152.8502628,4.7567788,0.954286,t17_f5_c3,17.5086,0.0437,False,False,True,23.12.x,0.0,2.565551203915015e+18,,,ZTF24aabngpd
ztf,60319.54979170021,2565549793915015017,2,2565549793915,20.083496,1,2565,12.370072,17.555605,17.568,0.04118784,0.0361,152.8502213,4.7567706,0.9514286,t17_f5_c3,17.5515,0.0449,True,False,True,23.12.x,0.0,,0.99999976,468120239.0,ZTF24aabngpd
ztf,60319.55026620021,2565550263915015019,2,2565550263915,20.106,1,2565,12.2623,17.5221,17.539,0.044908,0.0343,152.8501727,4.7567728,0.96,t17_f5_c3,17.5203,0.0425,False,False,True,23.12.x,0.0,2.565551203915015e+18,,,ZTF24aabngpd
ztf,60319.550740700215,2565550743915015014,2,2565550743915,20.013279,1,2565,12.209036,17.552792,17.5669,0.043578938,0.0356,152.850107,4.756745,0.9357143,t17_f5_c3,17.5297,0.0435,True,False,True,23.12.x,0.0,,0.99999964,468120239.0,ZTF24aabngpd
ztf,60319.55120369978,2565551203915015015,2,2565551203915,19.999949,1,2565,12.076894,17.554773,17.5961,0.04658696,0.0377,152.8500476,4.7567498,0.95857143,t17_f5_c3,17.5604,0.0461,True,False,True,23.12.x,0.0,,0.9999986,468120239.0,ZTF24aabngpd
ztf,60319.55167819979,2565551673915015016,2,2565551673915,19.98002,1,2565,11.979333,17.5393,17.5859,0.047053646,0.0373,152.8499975,4.7567496,0.96,t17_f5_c3,17.58,0.0469,True,False,True,23.12.x,0.0,,0.9999999,468120239.0,ZTF24aabngpd
ztf,60319.55215279991,2565552153915015016,2,2565552153915,19.926123,1,2565,11.947118,17.549728,17.5704,0.052069448,0.0374,152.8499539,4.7567325,0.9457143,t17_f5_c3,17.5594,0.0468,True,False,True,23.12.x,0.0,,0.99999994,468120239.0,ZTF24aabngpd
ztf,60319.552615699824,2565552613915015016,2,2565552613915,19.96585,1,2565,11.896259,17.577345,17.619,0.04664152,0.0388,152.849903,4.7567179,0.95428574,t17_f5_c3,17.6311,0.0496,True,False,True,23.12.x,0.0,,0.9999998,468120239.0,ZTF24aabngpd
ztf,60319.553090299945,2565553093915015014,2,2565553093915,20.041689,1,2565,11.779607,17.564716,17.5997,0.050603334,0.0366,152.849837,4.7567168,0.9557143,t17_f5_c3,17.6146,0.0469,True,False,True,23.12.x,0.0,,0.9999998,468120239.0,ZTF24aabngpd
ztf,60319.55356479995,2565553563915015013,2,2565553563915,20.040516,1,2565,11.742471,17.564175,17.5401,0.043416765,0.0363,152.8497763,4.7566943,0.94857144,t17_f5_c3,17.479,0.0435,True,False,True,23.12.x,0.0,,0.999998,468120239.0,ZTF24aabngpd
ztf,60319.55402779998,2565554023915015015,2,2565554023915,20.034412,1,2565,11.618465,17.527687,17.4959,0.05004348,0.0348,152.8497219,4.7567039,0.95,t17_f5_c3,17.5089,0.0445,True,False,True,23.12.x,0.0,,0.9999985,468120239.0,ZTF24aabngpd
