tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,60351.555636600126,2597555630615015112,2,2597555630615,19.379345,1,2597,0.49793032,19.185612,18.467176,19.2185,0.18900472,0.09494533,0.09752107,0.2524,279.3690924,-9.9000115,0.50142854,t17_f5_c3,0.99837875,19.0006,0.2652,1429120206.0,True,True,False,23.12.x,0.0,,ZTF24aaekyaq
ztf,60351.55657410016,2597556570615015101,2,2597556570615,19.3139,1,2597,0.35045,19.1705,18.459352,19.5344,0.235873,0.12051289,0.122523494,0.3333,279.3690779,-9.8999604,0.501429,t17_f5_c3,,19.2577,0.3317,,False,True,False,23.12.x,0.0,2.599550390615015e+18,ZTF24aaekyaq
ztf,60353.5503934999,2599550390615015068,2,2599550390615,19.766716,1,2599,0.2880774,19.119158,18.43238,19.2394,0.11363629,0.056385446,0.060367905,0.2363,279.3691636,-9.8999507,0.72571427,t17_f5_c3,0.9999999,19.4869,0.3802,1429120206.0,True,True,False,23.12.x,0.0,,ZTF24aaekyaq
ztf,60353.551342600025,2599551340615015098,2,2599551340615,19.720692,1,2599,0.43040267,19.164227,18.456089,18.9678,0.118119985,0.057444748,0.0615274,0.1927,279.3692068,-9.8999685,0.6585714,t17_f5_c3,0.99999446,18.89,0.2299,1429120206.0,True,True,False,23.12.x,0.0,,ZTF24aaekyaq
ztf,60353.55918980017,2599559186015015023,2,2599559186015,19.331106,1,2599,0.41220412,19.04784,18.41669,18.9239,0.15166771,0.083698966,0.08480727,0.2506,279.3692229,-9.8999063,0.6142857,t17_f5_c3,0.998858,19.0326,0.3554,1377120260.0,True,True,False,23.12.x,0.0,,ZTF24aaekyaq
ztf,61096.54906249978,3342549060615015166,2,3342549060615,19.36043,1,3342,0.1004057,18.743038,18.216543,18.7351,0.1139692,0.06791365,0.070176154,0.2152,279.3691259,-9.8999039,0.63714284,t17_f5_c3,0.9999998,18.5573,0.2344,1429120206.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF24aaekyaq
ztf,61096.54906249978,3342549060615025166,2,3342549060615,19.3604,1,3342,0.100406,18.743,18.21652,18.7351,0.113969,0.0679146,0.070176974,0.2152,279.3691259,-9.8999039,0.637143,t17_f5_c3,,18.5573,0.2344,,False,True,False,27.5.7a32.dev1,0.0,3.352537990615015e+18,ZTF24aaekyaq
ztf,61099.54593749996,3345545930615015098,2,3345545930615,19.924883,1,3345,0.10605514,18.51494,18.070524,18.5557,0.07592406,0.047995303,0.05042117,0.1217,279.3691589,-9.8998759,0.7771429,t17_f5_c3,0.99992216,18.4803,0.1453,1429120206.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF24aaekyaq
ztf,61099.54593749996,3345545930615025098,2,3345545930615,19.9249,1,3345,0.106055,18.5149,18.070498,18.5557,0.075924,0.047996037,0.050421756,0.1217,279.3691589,-9.8998759,0.777143,t17_f5_c3,,18.4803,0.1453,,False,True,False,27.5.7a32.dev1,0.0,3.352537990615015e+18,ZTF24aaekyaq
ztf,61100.544699099846,3346544690615015059,2,3346544690615,19.635983,1,3346,0.043220904,18.371899,17.97346,18.3811,0.081800245,0.054883625,0.056673355,0.1233,279.3691269,-9.8998618,0.81714284,t17_f5_c3,1.0,18.3311,0.151,1429120206.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF24aaekyaq
ztf,61100.544699099846,3346544690615025059,2,3346544690615,19.636,1,3346,0.043221,18.3719,17.973461,18.3811,0.0818,0.054883417,0.056673154,0.1233,279.3691269,-9.8998618,0.817143,t17_f5_c3,,18.3311,0.151,,False,True,False,27.5.7a32.dev1,0.0,3.352537990615015e+18,ZTF24aaekyaq
ztf,61100.54565969994,3346545656015015033,2,3346545656015,19.418137,1,3346,0.16708206,18.435575,18.033226,18.6056,0.078530036,0.05335542,0.05421211,0.173,279.3691379,-9.8999105,0.79,t17_f5_c3,0.9999995,18.4368,0.1901,1377120260.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF24aaekyaq
ztf,61101.54398149997,3347543980615015027,2,3347543980615,18.30747,1,3347,0.26644614,18.49709,18.058636,18.537,0.21713245,0.14418413,0.14499186,0.3753,279.3691017,-9.8999459,0.63857144,t17_f5_c3,0.99999654,18.335,0.4,1429120206.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF24aaekyaq
ztf,61105.539293999784,3351539290615015047,2,3351539290615,19.607216,1,3351,0.07142656,18.136827,17.805336,18.3839,0.06449926,0.04596215,0.047528956,0.1256,279.3691507,-9.899876,0.86142856,t17_f5_c3,0.99999994,18.3596,0.1573,1429120206.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF24aaekyaq
ztf,61105.54025459988,3351540256015015020,2,3351540256015,19.53513,1,3351,0.17461154,18.200693,17.865803,18.5979,0.10160312,0.07418151,0.07463641,0.1655,279.3691256,-9.8999126,0.7171429,t17_f5_c3,0.99999964,18.5956,0.2115,1377120260.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF24aaekyaq
ztf,61106.53799769981,3352537990615015159,2,3352537990615,18.901943,1,3352,0.31477454,18.23521,17.876957,18.1747,0.114878684,0.08157393,0.08259205,0.1086,279.3690421,-9.8998933,0.47428572,t17_f5_c3,0.99573714,18.1615,0.1374,1429120206.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF24aaekyaq
