tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,60351.555636600126,2597555634215015038,2,2597555634215,19.397623,1,2597,0.43104643,16.317352,15.059768,16.3281,0.08327899,0.016975768,0.026151814,0.0203,277.9478973,-5.4908605,0.47857141,t17_f5_c3,0.99995756,16.2001,0.0232,1429120242.0,True,True,False,23.12.x,0.0,,ZTF24aaekyiq
ztf,60351.55611110013,2597556114215015031,2,2597556114215,19.48885,1,2597,0.35789096,16.41125,15.088389,16.3895,0.05159351,100.0,0.015256365,0.0207,277.9478768,-5.4908357,0.6185714,t17_f5_c3,0.99927163,16.3938,0.0269,1429120242.0,True,True,False,23.12.x,0.0,,ZTF24aaekyiq
ztf,60706.57063659979,2952570634215015011,2,2952570634215,18.692844,1,2952,0.6166037,16.997536,15.231362,17.1441,0.07122386,100.0,0.014000901,0.0778,277.9479496,-5.4908274,0.6957143,t17_f5_c3,0.9999522,17.2866,0.1141,1429120242.0,True,True,False,26.0.1,0.0,,ZTF24aaekyiq
ztf,60706.571111099795,2952571114215015013,2,2952571114215,18.659971,1,2952,0.20837587,17.196642,15.267724,17.1106,0.084772766,100.0,0.014344631,0.0757,277.9478295,-5.4908295,0.6957143,t17_f5_c3,0.9998446,17.2682,0.1125,1429120242.0,True,True,False,26.0.1,0.0,,ZTF24aaekyiq
ztf,60707.563217599876,2953563214215015023,2,2953563214215,19.107115,1,2953,0.35178083,17.16375,15.262088,17.204,0.13309151,100.0,0.023093287,0.0568,277.9478788,-5.4908511,0.5814286,t17_f5_c3,0.9999998,17.1036,0.067,1429120242.0,True,True,False,26.0.1,0.0,,ZTF24aaekyiq
ztf,60707.56368059991,2953563684215015019,2,2953563684215,19.094799,1,2953,0.47917745,17.273197,15.280305,17.0534,0.074708134,100.0,0.01191821,0.0508,277.9479116,-5.4908542,0.6585714,t17_f5_c3,0.9999985,17.2118,0.0759,1429120242.0,True,True,False,26.0.1,0.0,,ZTF24aaekyiq
ztf,60707.56719909981,2953567194215015040,2,2953567194215,18.771055,1,2953,0.8748731,17.151115,15.259886,17.1093,0.08801217,100.0,0.015418804,0.073,277.9480218,-5.490865,0.6471428,t17_f5_c3,0.99935675,17.0638,0.0904,1429120242.0,True,True,False,26.0.1,0.0,,ZTF24aaekyiq
ztf,60708.56631939998,2954566314215015021,2,2954566314215,19.5942,1,2954,0.648188,17.1393,15.257806,18.1389,0.136648,0.0036749968,0.024154939,0.121,277.947919,-5.4907324,0.42,t17_f5_c3,,17.9678,0.1303,,False,True,False,26.0.1,0.0,2.956557814215015e+18,ZTF24aaekyiq
ztf,60710.557812499814,2956557814215015029,2,2956557814215,19.534136,1,2956,0.4987717,17.042892,15.240129,17.1468,0.10769174,100.0,0.020468086,0.0387,277.9479139,-5.4908775,0.6557143,t17_f5_c3,0.99988425,16.8503,0.0384,1429120242.0,True,True,False,26.0.1,0.0,,ZTF24aaekyiq
ztf,60710.56075230008,2956560754215015036,2,2956560754215,19.448864,1,2956,0.72296774,17.025833,15.236867,17.0023,0.06541422,100.0,0.012591734,0.0408,277.9479794,-5.4908695,0.67142856,t17_f5_c3,0.99968076,17.0577,0.0517,1429120242.0,True,True,False,26.0.1,0.0,,ZTF24aaekyiq
ztf,60710.56075230008,2956560754215015037,2,2956560754215,19.448864,1,2956,0.52452123,17.132433,15.256589,16.9272,0.04387641,100.0,0.0077963895,0.0344,277.9479202,-5.4908824,0.7157143,t17_f5_c3,0.99968076,16.7537,0.0381,1429120242.0,True,True,False,26.0.1,0.0,,ZTF24aaekyiq
ztf,61074.566423600074,3320566424215015013,2,3320566424215,18.64527,1,3320,0.42181674,17.093836,15.24963,17.2723,0.090744786,100.0,0.016601192,0.0851,277.94781,-5.4907328,0.63857144,t17_f5_c3,0.999341,16.8695,0.0739,1429120242.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF24aaekyiq
ztf,61074.566423600074,3320566424215015014,2,3320566424215,18.64527,1,3320,0.4045563,17.08162,15.247384,17.0491,0.07110077,100.0,0.013127451,0.067,277.9478072,-5.490737,0.6242857,t17_f5_c3,0.999341,17.1616,0.0956,1429120242.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF24aaekyiq
ztf,61074.566423600074,3320566424215025013,2,3320566424215,18.6453,1,3320,0.421817,17.0938,15.249623,17.2723,0.090745,100.0,0.016601684,0.0851,277.94781,-5.4907328,0.638571,t17_f5_c3,,16.8695,0.0739,,False,True,False,27.5.7a32.dev1,0.0,3.346544694215015e+18,ZTF24aaekyiq
ztf,61074.566423600074,3320566424215025014,2,3320566424215,18.6453,1,3320,0.404556,17.0816,15.247381,17.0491,0.071101,100.0,0.013127682,0.067,277.9478072,-5.490737,0.624286,t17_f5_c3,,17.1616,0.0956,,False,True,False,27.5.7a32.dev1,0.0,3.346544694215015e+18,ZTF24aaekyiq
ztf,61074.5714004999,3320571404215015011,2,3320571404215,18.539412,1,3320,0.43074417,17.139462,15.257834,17.2158,0.09612965,100.0,0.016990518,0.0878,277.9478202,-5.4907336,0.69142854,t17_f5_c3,0.999884,17.2129,0.1127,1429120242.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF24aaekyiq
ztf,61075.565069399774,3321565064215015017,2,3321565064215,18.919525,1,3321,0.24244623,17.037712,15.239143,17.1731,0.057058748,100.0,0.010886659,0.0655,277.9478351,-5.4908117,0.6614286,t17_f5_c3,0.99999356,17.0186,0.0704,1429120242.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF24aaekyiq
ztf,61075.565069399774,3321565064215015018,2,3321565064215,18.919525,1,3321,0.38690233,17.050737,15.241616,16.8874,0.056822672,100.0,0.010736759,0.0476,277.9478591,-5.4907756,0.6585714,t17_f5_c3,0.99999356,16.9975,0.0678,1429120242.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF24aaekyiq
ztf,61075.56952549983,3321569524215015014,2,3321569524215,18.84307,1,3321,0.5809062,17.028324,15.237346,17.0079,0.06975824,100.0,0.013403064,0.06,277.9479373,-5.4908156,0.7442857,t17_f5_c3,0.99999905,16.8854,0.0693,1429120242.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF24aaekyiq
ztf,61075.575405099895,3321575404215015010,2,3321575404215,18.287218,1,3321,0.6136928,17.051897,15.241836,16.8297,0.06847819,100.0,0.012927887,0.0792,277.9479496,-5.4908543,0.6571429,t17_f5_c3,0.99999726,16.932,0.1119,1429120242.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF24aaekyiq
