tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60351.564722199924,2597564725715015035,2,2597564725715,18.8637,1,2597,1.39314,16.456,16.330353,16.4991,0.035297,0.02943867,0.03143974,0.0375,284.8367138,-2.7009418,0.7,t17_f5_c3,16.4416,0.0457,False,True,False,23.12.x,0.0,2.597565195715015e+18,,,ZTF24aaelavz
ztf,60351.565196800046,2597565195715015040,2,2597565195715,18.78885,1,2597,1.4056201,16.455738,,16.4708,0.035436068,,,0.0387,284.8367072,-2.7009412,0.68,t17_f5_c3,16.4625,0.0494,True,False,True,23.12.x,0.0,,0.99839294,1430120257.0,ZTF24aaelavz
ztf,60353.554814800154,2599554810215015111,2,2599554810215,19.7635,1,2599,1.06369,16.5056,16.380323,16.5944,0.049016,0.042558953,0.04367445,0.024,284.8367131,-2.7009277,0.822857,t17_f5_c3,16.7095,0.0341,False,True,False,23.12.x,0.0,2.599561735715015e+18,,,ZTF24aaelavz
ztf,60353.55528939981,2599555280215015083,2,2599555280215,19.7714,1,2599,1.11609,16.5425,16.413141,16.5975,0.038852,0.0329734,0.034488153,0.024,284.8367092,-2.7009498,0.818571,t17_f5_c3,16.7551,0.0354,False,True,False,23.12.x,0.0,2.599561735715015e+18,,,ZTF24aaelavz
ztf,60353.55575230019,2599555750215015073,2,2599555750215,19.7234,1,2599,1.05442,16.5877,16.453169,16.6075,0.03757,0.031490948,0.033191666,0.0249,284.8367205,-2.7009298,0.845714,t17_f5_c3,16.6455,0.0331,False,True,False,23.12.x,0.0,2.599561735715015e+18,,,ZTF24aaelavz
ztf,60353.561273099855,2599561275715015022,2,2599561275715,19.247463,1,2599,1.3905708,16.553312,16.416595,16.6208,0.033743322,0.027245622,0.02975099,0.0348,284.8366904,-2.7009218,0.80142856,t17_f5_c3,16.7969,0.0525,True,True,False,23.12.x,0.0,,0.904902,1430120257.0,ZTF24aaelavz
ztf,60353.56173609989,2599561735715015018,2,2599561735715,19.256592,1,2599,1.3156161,16.551542,16.415035,16.5914,0.035369806,0.028818293,0.03119105,0.0343,284.8367122,-2.7009128,0.8157143,t17_f5_c3,16.6259,0.0455,True,True,False,23.12.x,0.0,,0.91148233,1430120257.0,ZTF24aaelavz
ztf,60706.57157409983,2952571570215015013,2,2952571570215,18.383955,1,2952,1.0092671,16.305077,16.19994,16.3668,0.04660377,0.041478954,0.0423025,0.056,284.8367295,-2.7009208,0.76,t17_f5_c3,16.3169,0.0688,True,True,False,26.0.1,0.0,,0.99999774,1481120202.0,ZTF24aaelavz
ztf,60706.57204859983,2952572040215015014,2,2952572040215,18.279074,1,2952,1.0737419,16.293545,16.189466,16.3312,0.036281303,0.03192184,0.032964885,0.057,284.836712,-2.7009249,0.7214286,t17_f5_c3,16.3365,0.0736,True,True,False,26.0.1,0.0,,0.99995375,1481120202.0,ZTF24aaelavz
ztf,60706.572523099836,2952572520215015014,2,2952572520215,18.345339,1,2952,1.1036135,16.347866,16.238708,16.3564,0.04631264,0.040988635,0.041882858,0.0543,284.836715,-2.7009433,0.74714285,t17_f5_c3,16.3648,0.0703,True,True,True,26.0.1,0.0,,0.9999944,1481120202.0,ZTF24aaelavz
