tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,parent_candid,oid
ztf,60352.552824100014,2598552824415010177,2,2598552824415,18.980356,-1,2598,1.5084444,16.485102,16.697,0.08688932,0.0307,304.2175451,30.9695663,0.46857142,t17_f5_c3,0.9756067,16.9859,0.0491,1685120244.0,True,False,True,23.12.x,0.0,,,,,ZTF24aaesdxe
ztf,60352.55329860002,2598553294415010236,2,2598553294415,18.898571,-1,2598,1.718408,16.519356,16.6435,0.051894773,0.03,304.2174793,30.9695447,0.34428573,t17_f5_c3,0.8168557,16.9434,0.0486,1685120244.0,True,False,True,23.12.x,0.0,,,,,ZTF24aaesdxe
ztf,60564.23637730023,2810236370915015011,1,2810236370915,20.4591,1,2810,0.157769,18.2332,17.9739,0.096814,0.043,304.2180038,30.9696045,0.658571,t17_f5_c3,,18.367,0.0848,,False,True,False,24.5.1,0.0,17.090712,0.03170688,0.033802025,2.839239540915015e+18,ZTF24aaesdxe
ztf,60566.32398150023,2812323980915015006,1,2812323980915,19.591,1,2812,0.264538,18.0163,17.8198,0.10294,0.072,304.2179779,30.9695783,0.887143,t17_f5_c3,,17.8091,0.0949,,False,True,False,24.5.1,0.0,17.009966,0.039264385,0.040742777,2.839239540915015e+18,ZTF24aaesdxe
ztf,60569.20510420017,2815205100915025009,2,2815205100915,19.6897,1,2815,0.119286,15.4881,15.6003,0.047112,0.0124,304.2180352,30.9695859,0.808571,t17_f5_c3,,15.5972,0.0154,,False,True,True,24.5.1,0.0,14.104797,100.0,0.013176813,2.839239540915015e+18,ZTF24aaesdxe
ztf,60572.24696760019,2818246960915015012,2,2818246960915,20.2418,1,2818,0.15955,15.6406,16.4184,0.060111,0.0247,304.2180757,30.9695986,0.485714,t17_f5_c3,,16.2827,0.0238,,False,True,True,24.5.1,0.0,14.145338,0.0053064316,0.015165228,2.839239540915015e+18,ZTF24aaesdxe
ztf,60572.24696760019,2818246960915015014,2,2818246960915,20.2418,1,2818,0.155956,15.6509,15.7132,0.012346,0.0102,304.2179827,30.9695992,0.714286,t17_f5_c3,,15.7829,0.0144,,False,True,True,24.5.1,0.0,14.147927,100.0,0.003092695,2.839239540915015e+18,ZTF24aaesdxe
ztf,60572.37399310013,2818373990915015004,1,2818373990915,18.979,1,2818,0.706468,18.3147,18.1512,0.115012,0.1661,304.2178336,30.9695562,0.908571,t17_f5_c3,,17.7456,0.1481,,False,True,False,24.5.1,0.0,17.118477,0.036277674,0.038216785,2.839239540915015e+18,ZTF24aaesdxe
ztf,60579.23732639989,2825237320915015012,2,2825237320915,20.624,1,2825,0.177062,15.933,16.5335,0.014856,0.0259,304.2179769,30.9695927,0.638571,t17_f5_c3,,16.4063,0.0247,,False,True,True,24.5.1,0.0,14.212014,100.0,0.003044441,2.839239540915015e+18,ZTF24aaesdxe
ztf,60579.23732639989,2825237320915015013,2,2825237320915,20.624,1,2825,0.170355,15.9533,15.9539,0.046249,0.0111,304.2179762,30.9695985,0.805714,t17_f5_c3,,16.0158,0.0155,,False,True,True,24.5.1,0.0,14.216144,100.0,0.00933769,2.839239540915015e+18,ZTF24aaesdxe
ztf,60579.28385420004,2825283850915015012,1,2825283850915,20.5061,1,2825,0.32185,18.7069,18.5945,0.105045,0.0706,304.2179559,30.9695746,0.941429,t17_f5_c3,,18.7058,0.1108,,False,True,False,24.5.1,0.0,17.233767,0.023514226,0.027047193,2.839239540915015e+18,ZTF24aaesdxe
ztf,60593.19145830022,2839191450915015014,2,2839191450915,20.493,1,2839,0.273469,16.5908,16.7729,0.05899,0.0335,304.2179438,30.9695919,0.784286,t17_f5_c3,,16.7273,0.0342,,False,True,True,24.5.1,0.0,14.318138,100.0,0.007273003,2.839239540915015e+18,ZTF24aaesdxe
ztf,60593.23954859981,2839239540915015010,1,2839239540915,20.268572,1,2839,0.9235289,19.071262,18.8502,0.10824604,0.101,304.2177529,30.9695934,0.9185714,t17_f5_c3,0.99999887,18.5397,0.1051,687120109.0,True,True,False,24.5.1,0.0,17.316542,0.015949208,0.021504235,,ZTF24aaesdxe
ztf,60625.180983799975,2871180980915015006,1,2871180980915,19.8345,1,2871,0.373199,18.0168,17.8279,0.075133,0.0617,304.2179389,30.9695788,0.921429,t17_f5_c3,,17.948,0.0919,,False,True,False,25.0.0,0.0,17.010164,0.027667174,0.029728733,2.901115450915015e+18,ZTF24aaesdxe
ztf,60627.15884259995,2873158840915015004,1,2873158840915,18.8893,1,2873,0.524566,17.879,17.8968,0.132541,0.0824,304.2178983,30.9696776,0.571429,t17_f5_c3,,17.9186,0.1086,,False,True,False,25.0.0,0.0,16.953531,0.055563718,0.056514867,2.901115450915015e+18,ZTF24aaesdxe
ztf,60629.205544000026,2875205540915015006,1,2875205540915,19.0102,1,2875,0.503693,18.0043,17.9411,0.099541,0.1297,304.2179055,30.9695551,0.922857,t17_f5_c3,,17.7767,0.1447,,False,True,False,25.0.0,0.0,17.005201,0.038154144,0.039660897,2.901115450915015e+18,ZTF24aaesdxe
ztf,60634.16369209997,2880163690915015005,1,2880163690915,19.6336,1,2880,0.647066,18.6236,18.203,0.115191,0.0969,304.2178459,30.9695731,0.802857,t17_f5_c3,,18.1728,0.1254,,False,True,False,25.0.0,0.0,17.2117,0.0285169,0.031380408,2.901115450915015e+18,ZTF24aaesdxe
ztf,60636.09408560023,2882094080915015013,1,2882094080915,20.383,1,2882,0.597743,18.6436,19.0398,0.079555,0.1416,304.2178726,30.9695537,0.617143,t17_f5_c3,,18.6974,0.1242,,False,True,False,25.0.0,0.0,17.217112,0.016852455,0.021383174,2.901115450915015e+18,ZTF24aaesdxe
ztf,60636.09408560023,2882094080915015014,1,2882094080915,20.383,1,2882,0.475605,18.8739,18.4471,0.147644,0.0659,304.2179059,30.969576,0.677143,t17_f5_c3,,18.3746,0.0854,,False,True,False,25.0.0,0.0,17.274372,0.030862696,0.033838023,2.901115450915015e+18,ZTF24aaesdxe
ztf,60636.122777800076,2882122770915015010,2,2882122770915,20.5336,1,2882,0.182239,15.8583,16.7233,0.071445,0.0315,304.2179812,30.969586,0.541429,t17_f5_c3,,16.5604,0.029,,False,True,False,25.0.0,0.0,14.196281,0.004156817,0.015458391,2.901115450915015e+18,ZTF24aaesdxe
ztf,60636.122777800076,2882122770915015011,2,2882122770915,20.5336,1,2882,0.261684,15.8872,15.9432,0.01469,0.0114,304.217948,30.9695904,0.772857,t17_f5_c3,,16.077,0.0172,,False,True,False,25.0.0,0.0,14.20247,100.0,0.0031126437,2.901115450915015e+18,ZTF24aaesdxe
ztf,60639.12212960003,2885122120915015008,1,2885122120915,19.2771,1,2885,0.713497,19.0508,18.7461,0.157505,0.2128,304.2178249,30.9695734,0.894286,t17_f5_c3,,18.6902,0.2659,,False,True,False,25.0.0,0.0,17.312445,0.028329128,0.031765245,2.901115450915015e+18,ZTF24aaesdxe
ztf,60643.1026504999,2889102650915015025,1,2889102650915,19.9233,1,2889,0.353501,19.1268,18.8269,0.113465,0.1219,304.21795,30.9695686,0.777143,t17_f5_c3,,18.6557,0.1407,,False,True,False,25.0.0,0.0,17.32735,0.015989749,0.021631258,2.901115450915015e+18,ZTF24aaesdxe
ztf,60643.176145799924,2889176140915015011,2,2889176140915,19.1903,1,2889,0.642189,16.2012,16.8941,0.061704,0.0567,304.2178839,30.9694861,0.57,t17_f5_c3,,16.5953,0.0503,,False,True,False,25.0.0,0.0,14.26184,100.0,0.010341155,2.901115450915015e+18,ZTF24aaesdxe
ztf,60643.176145799924,2889176140915015012,2,2889176140915,19.1903,1,2889,0.549981,16.1049,16.0761,0.026315,0.0224,304.217858,30.9695661,0.825714,t17_f5_c3,,16.085,0.029,,False,True,False,25.0.0,0.0,14.245093,100.0,0.0047454834,2.901115450915015e+18,ZTF24aaesdxe
ztf,60645.09546299977,2891095460915015007,1,2891095460915,18.9894,1,2891,0.508067,19.4227,18.8163,0.325897,0.2739,304.218023,30.9694755,0.64,t17_f5_c3,,18.9106,0.392,,False,True,False,25.0.0,0.0,17.377886,0.047154088,0.04956262,2.901115450915015e+18,ZTF24aaesdxe
ztf,60645.11516200006,2891115160915015006,2,2891115160915,20.3618,1,2891,0.360045,16.4914,16.8536,0.12881,0.0367,304.2181099,30.9695438,0.545714,t17_f5_c3,,16.6461,0.0326,,False,True,False,25.0.0,0.0,14.305379,0.0049831807,0.017200513,2.901115450915015e+18,ZTF24aaesdxe
ztf,60647.11540509993,2893115400915015006,1,2893115400915,20.0925,1,2893,0.93182,19.1798,18.6935,0.134134,0.1047,304.2177493,30.9696267,0.687143,t17_f5_c3,,18.1839,0.0889,,False,True,False,25.0.0,0.0,17.337257,0.019694174,0.02457658,2.901115450915015e+18,ZTF24aaesdxe
ztf,60651.09365739999,2897093650915015021,1,2897093650915,20.1923,1,2897,1.05628,19.3158,18.8787,0.131547,0.1176,304.217711,30.9695907,0.671429,t17_f5_c3,,18.5638,0.1186,,False,True,False,25.0.0,0.0,17.360933,0.01570261,0.021733746,2.901115450915015e+18,ZTF24aaesdxe
ztf,60651.114444400184,2897114440915015017,2,2897114440915,20.0884,1,2897,0.504231,16.2683,16.2943,0.085239,0.0174,304.2179006,30.969527,0.815714,t17_f5_c3,,16.2281,0.0213,,False,True,False,25.0.0,0.0,14.2727995,100.0,0.013565588,2.901115450915015e+18,ZTF24aaesdxe
