tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,parent_candid,oid
ztf,60352.55679399986,2598556793215015006,2,2598556793215,18.7174,1,2598,1.5078008,17.19041,17.2718,0.12289382,0.0536,286.1419723,2.6837191,0.47428572,t17_f5_c3,0.92032313,17.2367,0.065,1481120232.0,True,False,True,23.12.x,0.0,,,,,ZTF24aaesggd
ztf,61076.5706944,3322570693215015002,2,3322570693215,17.8988,1,3322,0.517716,16.9886,16.8317,0.10445,0.1171,286.14167,2.6836987,0.554286,t17_f5_c3,,16.7398,0.1376,,False,True,False,27.5.7a32.dev1,0.0,15.119193,100.0,0.018670067,3.352540864515015e+18,ZTF24aaesggd
ztf,61076.573090299964,3322573094515015005,2,3322573094515,17.734,1,3322,0.285918,17.3968,17.618,0.148922,0.2694,286.1416028,2.6838533,0.66,t17_f5_c3,,17.5889,0.336,,False,True,False,27.5.7a32.dev1,0.0,15.2173605,100.0,0.020007066,3.352540864515015e+18,ZTF24aaesggd
ztf,61080.567534700036,3326567534515015010,2,3326567534515,19.07,1,3326,0.153074,17.256,17.0667,0.077396,0.0596,286.1415103,2.6837715,0.791429,t17_f5_c3,,17.0961,0.0774,,False,True,False,27.5.7a32.dev1,0.0,15.197349,100.0,0.011621386,3.352540864515015e+18,ZTF24aaesggd
ztf,61080.5744097,3326574404515015004,2,3326574404515,18.3143,1,3326,0.523317,17.2688,17.3965,0.087638,0.1632,286.1416835,2.6837563,0.717143,t17_f5_c3,,17.3328,0.1971,,False,True,False,27.5.7a32.dev1,0.0,15.199262,100.0,0.01302797,3.352540864515015e+18,ZTF24aaesggd
ztf,61083.56217590021,3329562174515015005,2,3329562174515,19.5838,1,3329,0.177262,17.1946,17.1259,0.125607,0.0435,286.1415906,2.6838019,0.518571,t17_f5_c3,,17.083,0.0519,,False,True,False,27.5.7a32.dev1,0.0,15.187905,100.0,0.019785004,3.352540864515015e+18,ZTF24aaesggd
ztf,61083.567824100144,3329567824515015011,2,3329567824515,19.0598,1,3329,0.295618,17.2263,17.1872,0.04964,0.069,286.1416213,2.6837725,0.718571,t17_f5_c3,,17.1958,0.0879,,False,True,False,27.5.7a32.dev1,0.0,15.192837,100.0,0.007628636,3.352540864515015e+18,ZTF24aaesggd
ztf,61083.57298609987,3329572984515015005,2,3329572984515,18.6078,1,3329,0.123247,17.5045,17.3341,0.105061,0.1138,286.1415698,2.6837782,0.717143,t17_f5_c3,,17.2285,0.1318,,False,True,False,27.5.7a32.dev1,0.0,15.231223,100.0,0.012945864,3.352540864515015e+18,ZTF24aaesggd
ztf,61099.546400499996,3345546403215015004,2,3345546403215,19.9515,1,3345,0.205462,17.0944,17.0823,0.094177,0.0334,286.1416048,2.6838124,0.781429,t17_f5_c3,,17.0664,0.0401,,False,True,False,27.5.7a32.dev1,0.0,15.137363,100.0,0.015528525,3.352540864515015e+18,ZTF24aaesggd
ztf,61099.547824100126,3345547824515025010,2,3345547824515,20.0452,1,3345,0.136925,17.2551,17.3324,0.080566,0.0388,286.1415759,2.6838215,0.705714,t17_f5_c3,,17.3036,0.0459,,False,True,False,27.5.7a32.dev1,0.0,15.197214,100.0,0.012105904,3.352540864515015e+18,ZTF24aaesggd
ztf,61100.54517359985,3346545173215025005,2,3346545173215,19.5635,1,3346,0.126446,17.1185,17.1548,0.110875,0.0448,286.1415816,2.6838126,0.784286,t17_f5_c3,,17.1466,0.0552,,False,True,False,27.5.7a32.dev1,0.0,15.141301,100.0,0.017945439,3.352540864515015e+18,ZTF24aaesggd
ztf,61100.54660880007,3346546604515025007,2,3346546604515,19.4845,1,3346,0.080054,17.3096,17.2989,0.133885,0.0514,286.1415629,2.6838134,0.627143,t17_f5_c3,,17.2089,0.0591,,False,True,False,27.5.7a32.dev1,0.0,15.205231,100.0,0.01927453,3.352540864515015e+18,ZTF24aaesggd
ztf,61101.545879600104,3347545874515025012,2,3347545874515,18.6251,1,3347,0.345023,17.1154,17.3005,0.105242,0.0952,286.1415849,2.6838867,0.692857,t17_f5_c3,,17.2884,0.1196,,False,True,False,27.5.7a32.dev1,0.0,15.17504,100.0,0.017621586,3.352540864515015e+18,ZTF24aaesggd
ztf,61105.53976849979,3351539763215015008,2,3351539763215,19.6362,1,3351,0.348015,17.2607,17.2323,0.114397,0.0466,286.1416002,2.6838752,0.71,t17_f5_c3,,17.1801,0.0551,,False,True,False,27.5.7a32.dev1,0.0,15.16309,100.0,0.016571833,3.352540864515015e+18,ZTF24aaesggd
ztf,61105.54216440022,3351542164515015017,2,3351542164515,19.5254,1,3351,0.256236,17.464,17.4331,0.111594,0.058,286.1416141,2.6837897,0.647143,t17_f5_c3,,17.4572,0.0739,,False,True,False,27.5.7a32.dev1,0.0,15.2261505,100.0,0.014206948,3.352540864515015e+18,ZTF24aaesggd
ztf,61106.54086809978,3352540864515015011,2,3352540864515,18.824293,1,3352,0.9736464,17.099785,17.3361,0.123375304,0.0592,286.1418159,2.6838221,0.5057143,t17_f5_c3,0.9542476,17.3654,0.0765,1482120245.0,True,True,False,27.5.7a32.dev1,0.0,15.17241,0.0063044513,0.02090635,,ZTF24aaesggd
