tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60389.53491900023,2635534915615015009,2,2635534915615,19.1789,1,2635,1.1633,19.5637,19.464258,19.2706,0.231242,0.21068256,0.21100385,0.3976,322.8688815,7.4667932,0.468571,t17_f5_c3,18.9875,0.3936,False,True,False,23.12.x,0.0,2.636522951715015e+18,,,ZTF24aahnutv
ztf,60389.53539349977,2635535395615015006,2,2635535395615,19.1688,1,2635,1.46723,19.6602,,19.312,0.258967,,,0.4252,322.8689592,7.4668974,0.405714,t17_f5_c3,18.9167,0.3797,False,False,True,23.12.x,0.0,2.636522951715015e+18,,,ZTF24aahnutv
ztf,60390.52295139991,2636522951715015004,2,2636522951715,19.378517,1,2636,3.1498327,19.373486,,19.1557,0.19977815,,,0.2627,322.8688239,7.4667356,0.4842857,t17_f5_c3,18.8151,0.2466,True,False,True,23.12.x,0.0,,0.9998472,1539120217.0,ZTF24aahnutv
ztf,60390.52692130022,2636526921715015002,2,2636526921715,19.4108,1,2636,3.2544,19.5045,,19.4678,0.231472,,,0.3683,322.8688518,7.4667501,0.437143,t17_f5_c3,19.1278,0.3459,False,False,True,23.12.x,0.0,2.642523711715015e+18,,,ZTF24aahnutv
ztf,60391.52166670002,2637521661715015004,2,2637521661715,19.1962,1,2637,3.46156,19.4453,,19.6422,0.228916,,,0.4518,322.8688842,7.4667995,0.517143,t17_f5_c3,19.5795,0.5478,False,False,True,23.12.x,0.0,2.642523711715015e+18,,,ZTF24aahnutv
ztf,60391.5250694002,2637525061715015008,2,2637525061715,19.2938,1,2637,3.29482,19.5079,,19.4362,0.268364,,,0.3557,322.8687233,7.4668606,0.445714,t17_f5_c3,19.0965,0.3342,False,False,True,23.12.x,0.0,2.642523711715015e+18,,,ZTF24aahnutv
ztf,60396.519826400094,2642519821715015003,2,2642519821715,18.9888,1,2642,3.48222,19.2015,,18.8088,0.220412,,,0.2656,322.868823,7.4668569,0.411429,t17_f5_c3,18.5455,0.268,False,False,True,23.12.x,0.0,2.642523711715015e+18,,,ZTF24aahnutv
ztf,60396.52371530002,2642523711715015004,2,2642523711715,18.98491,1,2642,3.1388469,19.02625,,18.6276,0.1886142,,,0.2216,322.8687885,7.4667611,0.37285715,t17_f5_c3,18.7427,0.3163,True,False,True,23.12.x,0.0,,0.9814532,1539120217.0,ZTF24aahnutv
ztf,60397.51745369984,2643517455615015015,2,2643517455615,18.801556,1,2643,1.3576808,18.923018,18.86678,18.7533,0.17884557,0.16968484,0.1698176,0.3319,322.8688382,7.4668346,0.77,t17_f5_c3,18.732,0.418,True,True,False,23.12.x,0.0,,0.9922259,493120256.0,ZTF24aahnutv
ztf,60397.520937500056,2643520935615015006,2,2643520935615,18.923138,1,2643,1.5247998,18.983547,,19.3436,0.20573202,,,0.506,322.8688289,7.4668818,0.7185714,t17_f5_c3,19.1473,0.543,True,False,True,23.12.x,0.0,,0.9995394,493120256.0,ZTF24aahnutv
