tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60417.50958329998,2663509585015015002,2,2663509585015,19.0315,1,2663,0.891425,19.5848,18.277704,19.3843,0.240525,0.06651106,0.07216412,0.5698,355.6633027,35.7305127,0.824286,t17_f5_c3,19.1206,0.5741,False,True,False,24.4.1,0.0,2.679488732215015e+18,,,ZTF24aakmeyp
ztf,60419.49600689998,2665496005015015019,2,2665496005015,19.185387,1,2665,0.6379169,19.248968,18.165611,19.9494,0.21702836,0.07592616,0.08001545,0.7696,355.663188,35.7307056,0.73285717,t17_f5_c3,19.5423,0.6791,True,True,False,24.4.1,0.0,,0.9999945,693120250.0,ZTF24aakmeyp
ztf,60420.49281249987,2666492812215015001,2,2666492812215,19.6534,1,2666,0.149692,19.7262,18.301468,19.9155,0.221032,0.046966847,0.05950617,0.4431,355.663392,35.7307095,0.758571,t17_f5_c3,19.9763,0.6004,False,True,False,24.4.1,0.0,2.679488732215015e+18,,,ZTF24aakmeyp
ztf,60420.49684030004,2666496842215015001,2,2666496842215,19.707901,1,2666,0.8936251,19.697506,18.293667,19.4378,0.16940825,0.029080229,0.046494234,0.2908,355.6631288,35.7306276,0.89,t17_f5_c3,19.5283,0.4046,True,True,False,24.4.1,0.0,,0.9999088,1734120222.0,ZTF24aakmeyp
ztf,60420.501863399986,2666501862215015003,2,2666501862215,19.4859,1,2666,0.803027,19.625,18.273281,19.201,0.172126,0.034481253,0.04956315,0.2755,355.663134,35.7306807,0.788571,t17_f5_c3,19.2962,0.3855,False,True,False,24.4.1,0.0,2.679488732215015e+18,,,ZTF24aakmeyp
ztf,60421.501319400035,2667501312215015002,2,2667501312215,19.424683,1,2667,0.66879535,19.391891,18.200876,19.5706,0.17725807,0.04892237,0.05918343,0.4472,355.6632084,35.7306435,0.9357143,t17_f5_c3,19.6597,0.6226,True,True,False,24.4.1,0.0,,0.9998089,1734120222.0,ZTF24aakmeyp
ztf,60422.498749999795,2668498742215015002,2,2668498742215,19.4411,1,2668,0.744911,19.4383,18.216152,18.9531,0.166204,0.04203413,0.05392406,0.281,355.6631496,35.7306995,0.674286,t17_f5_c3,18.6989,0.2854,False,True,False,24.4.1,0.0,2.679488732215015e+18,,,ZTF24aakmeyp
ztf,60423.49094909988,2669490945015015003,2,2669490945015,19.0322,1,2669,1.06754,19.3649,18.206928,18.8471,0.260069,0.085586034,0.08951584,0.3224,355.6630554,35.7308551,0.277143,t17_f5_c3,18.9437,0.4527,False,True,False,24.4.1,0.0,2.679488732215015e+18,,,ZTF24aakmeyp
ztf,60423.4938194002,2669493815015015003,2,2669493815015,19.0455,1,2669,0.755551,19.3017,18.184757,19.0294,0.25178,0.08625241,0.090000324,0.3662,355.6631964,35.7306189,0.867143,t17_f5_c3,18.9798,0.4496,False,True,False,24.4.1,0.0,2.679488732215015e+18,,,ZTF24aakmeyp
ztf,60424.48762729997,2670487625015015005,2,2670487625015,18.7721,1,2670,0.70707,19.1957,18.145668,19.0558,0.233509,0.08524273,0.088775046,0.4407,355.6631843,35.7308414,0.822857,t17_f5_c3,19.2114,0.6532,False,True,False,24.4.1,0.0,2.679488732215015e+18,,,ZTF24aakmeyp
ztf,60424.49254629994,2670492545015015005,2,2670492545015,18.6125,1,2670,0.399524,19.031,18.080076,18.793,0.250859,0.1018464,0.10448644,0.3389,355.6633926,35.730638,0.727143,t17_f5_c3,18.7656,0.4248,False,True,False,24.4.1,0.0,2.679488732215015e+18,,,ZTF24aakmeyp
ztf,60428.48474540003,2674484745015015008,2,2674484745015,19.445803,1,2674,1.0330123,19.129929,18.12019,19.528,0.1885989,0.070360936,0.07441215,0.3883,355.6630463,35.7307182,0.82285714,t17_f5_c3,19.4293,0.4548,True,True,False,24.4.1,0.0,,0.9996025,693120250.0,ZTF24aakmeyp
ztf,60428.487650500145,2674487655015015009,2,2674487655015,19.4888,1,2674,0.538084,19.0039,18.068707,18.9017,0.11415,0.04235046,0.048238985,0.2221,355.6632187,35.7307233,0.948571,t17_f5_c3,18.9714,0.3036,False,True,False,24.4.1,0.0,2.674492045015015e+18,,,ZTF24aakmeyp
ztf,60428.49204860022,2674492045015015004,2,2674492045015,19.462458,1,2674,0.82184476,19.139776,18.124065,19.0314,0.14715259,0.052376542,0.05774089,0.2581,355.6631694,35.730617,0.9728571,t17_f5_c3,19.005,0.3234,True,True,False,24.4.1,0.0,,0.9999522,693120250.0,ZTF24aakmeyp
ztf,60429.48453699984,2675484535015015005,2,2675484535015,19.606123,1,2675,0.732019,19.152998,18.129234,19.061,0.15710407,0.056105983,0.0611902,0.2372,355.6631787,35.7306527,0.9357143,t17_f5_c3,19.1238,0.3219,True,True,False,24.4.1,0.0,,0.9999865,693120250.0,ZTF24aakmeyp
ztf,60429.488067099825,2675488065015015005,2,2675488065015,19.623926,1,2675,0.7766895,19.249805,18.16592,19.2834,0.13722093,0.043805905,0.05056689,0.2759,355.6631463,35.7306824,0.87857145,t17_f5_c3,19.2974,0.3579,True,True,False,24.4.1,0.0,,0.9999472,693120250.0,ZTF24aakmeyp
ztf,60430.48436339991,2676484362215015002,2,2676484362215,19.759,1,2676,0.443592,19.2316,18.144686,19.2745,0.110477,0.025455952,0.04059813,0.2496,355.6632723,35.73068,0.947143,t17_f5_c3,19.4106,0.362,False,True,False,24.4.1,0.0,2.676487312215015e+18,,,ZTF24aakmeyp
ztf,60430.4873147998,2676487312215015001,2,2676487312215,19.781843,1,2676,0.9088749,19.38251,18.197735,19.1534,0.13172238,0.02921833,0.04423336,0.2234,355.6630925,35.7306915,0.94857144,t17_f5_c3,19.0436,0.2586,True,True,False,24.4.1,0.0,,0.99999464,1734120222.0,ZTF24aakmeyp
