tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,60710.57003469998,2956570034415015005,2,2956570034415,18.949007,1,2956,0.50611943,16.983856,15.440193,17.2929,0.11696028,0.02089616,0.028221047,0.0753,287.3809517,2.6465762,0.62714285,t17_f5_c3,0.9798937,17.2309,0.0906,1482120244.0,True,True,False,26.0.1,0.0,,ZTF24abahuma
ztf,60710.57049770001,2956570494415015010,2,2956570494415,18.910793,1,2956,0.6312097,16.984867,15.440436,17.3798,0.10131074,0.015387497,0.024427744,0.0797,287.380977,2.6465448,0.6257143,t17_f5_c3,0.99999,17.4632,0.1096,1482120244.0,True,True,False,26.0.1,0.0,,ZTF24abahuma
ztf,60724.54559030011,2970545594415015019,2,2970545594415,19.041428,1,2970,0.5319785,18.116812,15.624723,18.0616,0.09368148,100.0,0.009436661,0.1412,287.380955,2.6465631,0.7,t17_f5_c3,0.9999993,17.9459,0.1616,1482120244.0,True,True,False,26.0.1,0.0,,ZTF24abahuma
ztf,60724.54848380014,2970548484415015007,2,2970548484415,19.095377,1,2970,0.47852343,18.04372,15.617134,18.1546,0.14569274,100.0,0.015588465,0.1614,287.3809407,2.6465674,0.5942857,t17_f5_c3,0.9999964,18.0323,0.1835,1482120244.0,True,True,False,26.0.1,0.0,,ZTF24abahuma
ztf,60724.55290509993,2970552904415015012,2,2970552904415,19.093006,1,2970,0.61141413,17.876102,15.597912,18.2311,0.16026726,100.0,0.019659331,0.163,287.3809927,2.6466153,0.50714284,t17_f5_c3,0.99980855,18.184,0.1985,1482120244.0,True,True,False,26.0.1,0.0,,ZTF24abahuma
ztf,61074.57379630022,3320573794415015005,2,3320573794415,18.148712,1,3320,1.2921529,17.54272,15.551069,17.5747,0.1310711,100.0,0.020933717,0.1801,287.3811389,2.6464526,0.5971429,t17_f5_c3,0.9999777,17.4662,0.2089,1482120244.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF24abahuma
ztf,61074.57379630022,3320573794415025005,2,3320573794415,18.1487,1,3320,1.29215,17.5427,15.551066,17.5747,0.131071,100.0,0.020934042,0.1801,287.3811389,2.6464526,0.597143,t17_f5_c3,,17.4662,0.2089,,False,True,False,27.5.7a32.dev1,0.0,3.347545874415015e+18,ZTF24abahuma
ztf,61075.56999999983,3321570004415015014,2,3321570004415,18.521492,1,3321,0.41581523,17.522394,15.547797,17.6548,0.11633658,100.0,0.01887459,0.1364,287.3807594,2.6467302,0.6028572,t17_f5_c3,0.9979485,17.5407,0.1572,1482120244.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF24abahuma
ztf,61075.57192130014,3321571924415015012,2,3321571924415,18.37933,1,3321,0.48928055,17.770338,15.584371,17.7378,0.13621032,100.0,0.018189592,0.1643,287.3808966,2.6467456,0.58,t17_f5_c3,0.99966216,17.7993,0.2226,1482120244.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF24abahuma
ztf,61080.56415509991,3326564154415015005,2,3326564154415,19.325937,1,3326,0.2505084,17.448137,15.535399,17.4418,0.10098432,100.0,0.017344378,0.0695,287.3808816,2.6465943,0.7557143,t17_f5_c3,1.0,17.3775,0.0831,1482120244.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF24abahuma
ztf,61080.567534700036,3326567534415015005,2,3326567534415,19.049818,1,3326,0.74034894,17.22489,15.493643,17.4671,0.08602804,100.0,0.017463893,0.0881,287.3810255,2.6465886,0.6942857,t17_f5_c3,0.9999989,17.4061,0.1061,1482120244.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF24abahuma
ztf,61080.5744097,3326574404415015002,2,3326574404415,18.371536,1,3326,0.6762788,17.453629,15.536341,17.7473,0.11560133,100.0,0.019771863,0.2159,287.3809549,2.6464949,0.5228571,t17_f5_c3,0.9999877,17.9837,0.3443,1482120244.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF24abahuma
ztf,61083.56217590021,3329562174415015004,2,3329562174415,19.601835,1,3329,0.6998004,17.271563,15.502956,17.3937,0.072891936,100.0,0.014296737,0.0532,287.3809739,2.646506,0.68,t17_f5_c3,1.0,17.4154,0.0681,1482120244.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF24abahuma
ztf,61083.567824100144,3329567824415015007,2,3329567824415,19.068535,1,3329,0.45295715,17.293606,15.507244,17.4611,0.084984004,100.0,0.016398067,0.0881,287.3809377,2.6465787,0.69857144,t17_f5_c3,1.0,17.4733,0.1135,1482120244.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF24abahuma
ztf,61083.57298609987,3329572984415015004,2,3329572984415,18.597572,1,3329,0.4409669,17.223375,15.493335,17.245,0.078800686,100.0,0.016014514,0.1067,287.3809329,2.6465682,0.7214286,t17_f5_c3,1.0,17.2392,0.1359,1482120244.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF24abahuma
ztf,61099.547824100126,3345547824415015013,2,3345547824415,20.149734,1,3345,0.24553305,16.985163,15.440508,17.051,0.04669809,100.0,0.011257378,0.0269,287.3808807,2.6465975,0.8042857,t17_f5_c3,0.99999976,17.0302,0.0324,1482120244.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF24abahuma
