tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,parent_candid,oid
ztf,60558.49394680001,2804493941615015012,1,2804493941615,19.70384,1,2804,1.660354,18.97312,18.8404,0.17488568,0.1245,110.1979523,25.3495451,0.51857144,t17_f5_c3,0.99684685,18.8781,0.1619,614120116.0,True,False,False,24.5.1,0.0,,,,,ZTF24abfuscm
ztf,60565.47562499996,2811475621615015015,2,2811475621615,20.060537,1,2811,4.2595453,18.520004,18.5237,0.09113379,0.1022,110.1979544,25.3495525,0.91,t17_f5_c3,0.9999985,18.484,0.1223,614120216.0,True,False,False,24.5.1,0.0,,,,,ZTF24abfuscm
ztf,60565.49827549979,2811498271615015021,1,2811498271615,20.27038,1,2811,1.4771539,18.404352,18.3199,0.08191269,0.0659,110.1978996,25.3495661,0.93857145,t17_f5_c3,0.99999905,18.2623,0.0775,614120116.0,True,False,False,24.5.1,0.0,,,,,ZTF24abfuscm
ztf,60566.47189809987,2812471892915015016,2,2812471892915,19.841988,1,2812,3.948337,18.413492,18.4529,0.07982414,0.1102,110.1979625,25.3495627,0.91714287,t17_f5_c3,0.9999999,18.42,0.1329,615120229.0,True,False,False,24.5.1,0.0,,,,,ZTF24abfuscm
ztf,60566.494664399885,2812494662915015013,1,2812494662915,20.119133,1,2812,0.75223446,18.357468,18.3514,0.070765674,0.0763,110.197949,25.3495669,0.96428573,t17_f5_c3,0.99997413,18.3979,0.0989,615120129.0,True,True,True,24.5.1,0.0,17.823854,100.0,0.04328898,,ZTF24abfuscm
ztf,60568.498622700106,2814498621615015025,1,2814498621615,20.64345,1,2814,1.5393915,18.411247,18.3168,0.06792783,0.0549,110.1979177,25.3495582,0.95,t17_f5_c3,0.9999859,18.2448,0.0627,614120116.0,True,False,False,24.5.1,0.0,,,,,ZTF24abfuscm
ztf,60571.44700230006,2817447002915015020,2,2817447002915,19.187744,1,2817,4.0229826,18.439669,18.5186,0.1095904,0.198,110.1979321,25.3495401,0.89428574,t17_f5_c3,0.99999297,18.634,0.2808,615120229.0,True,False,False,24.5.1,0.0,,,,,ZTF24abfuscm
ztf,60571.487986099906,2817487982915015013,1,2817487982915,19.437902,1,2817,0.6199949,18.503649,18.5305,0.10423933,0.187,110.1978974,25.3495578,0.9457143,t17_f5_c3,0.9999969,18.39,0.2102,615120129.0,True,True,True,24.5.1,0.0,17.910917,0.03669376,0.060386393,,ZTF24abfuscm
ztf,60572.42960650008,2818429601615015007,1,2818429601615,18.935766,1,2818,1.6088037,18.505983,18.6258,0.16718273,0.2701,110.197925,25.3495337,0.83,t17_f5_c3,0.99999285,18.8838,0.439,614120116.0,True,False,False,24.5.1,0.0,,,,,ZTF24abfuscm
ztf,60572.46564809978,2818465641615015010,2,2818465641615,19.610619,1,2818,4.1920643,18.508383,18.6062,0.08403789,0.1701,110.1979608,25.3495719,0.91714287,t17_f5_c3,0.9999933,18.5886,0.2121,614120216.0,True,False,False,24.5.1,0.0,,,,,ZTF24abfuscm
