tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60577.27724540001,2823277244615015008,3,2823277244615,19.9437,1,2823,0.473357,19.9862,19.57805,19.2665,0.229285,0.15224569,0.15744013,0.2336,316.2844493,12.4970872,0.307143,t17_f5_c3,19.4398,0.3511,False,True,False,24.5.1,0.0,2.853186583515015e+18,,,ZTF24abizqut
ztf,60578.19267359981,2824192673515015010,2,2824192673515,20.514996,1,2824,0.07872412,19.95392,19.69642,19.8549,0.1892615,0.14758183,0.149301,0.2284,316.2844304,12.4971414,0.66714287,t17_f5_c3,19.825,0.2851,True,True,False,24.5.1,0.0,,0.99995625,543120235.0,ZTF24abizqut
ztf,60579.289537000004,2825289534615015008,1,2825289534615,20.446854,1,2825,8.018429,19.60843,,19.4784,0.11125595,,,0.1485,316.2845156,12.4971254,0.8642857,t17_f5_c3,19.4132,0.1788,True,False,True,24.5.1,0.0,,0.9999636,544120146.0,ZTF24abizqut
ztf,60579.352245400194,2825352244615015005,2,2825352244615,19.911785,1,2825,0.4938282,19.74116,19.534437,19.5637,0.21528167,0.17673795,0.17795822,0.2458,316.2844938,12.497105,0.53571427,t17_f5_c3,19.3964,0.2705,True,True,False,24.5.1,0.0,,0.97906554,544120246.0,ZTF24abizqut
ztf,60580.15307869995,2826153073515015014,2,2826153073515,20.595701,1,2826,0.2828985,19.808187,19.579872,19.8409,0.18671758,0.14994003,0.15130694,0.2209,316.2844892,12.4971795,0.51428574,t17_f5_c3,19.626,0.2324,True,True,False,24.5.1,0.0,,0.9922768,543120235.0,ZTF24abizqut
ztf,60581.12236109981,2827122364615015032,2,2827122364615,20.48294,1,2827,0.39929917,19.459652,19.296795,19.3266,0.106396124,0.09003795,0.09157628,0.1478,316.2845042,12.497147,0.83,t17_f5_c3,19.4505,0.2117,True,True,False,24.5.1,0.0,,0.9999726,544120246.0,ZTF24abizqut
ztf,60582.18719909992,2828187193515015014,2,2828187193515,20.4408,1,2828,0.31845295,19.488703,19.314186,19.3105,0.13494538,0.11380474,0.114908375,0.1458,316.2844992,12.4971253,0.80142856,t17_f5_c3,19.2817,0.1817,True,True,False,24.5.1,0.0,,0.46843028,543120235.0,ZTF24abizqut
ztf,60591.12736110017,2837127364615015004,2,2837127364615,20.507063,1,2837,0.39918444,19.32421,19.179235,19.5612,0.10971839,0.09482512,0.0960041,0.1863,316.2844704,12.497121,0.87714285,t17_f5_c3,19.4273,0.2109,True,True,False,24.5.1,0.0,,0.99902,544120246.0,ZTF24abizqut
ztf,60591.189999999944,2837190004615015002,1,2837190004615,20.577475,1,2837,7.86864,19.550303,,19.6985,0.13028698,,,0.1746,316.2844965,12.4971923,0.8157143,t17_f5_c3,19.4543,0.1785,True,False,True,24.5.1,0.0,,0.99999964,544120146.0,ZTF24abizqut
ztf,60592.14887729986,2838148873515015005,2,2838148873515,20.569675,1,2838,0.246331,19.493856,19.318573,19.7349,0.12842199,0.108105816,0.1092764,0.2095,316.2844814,12.497137,0.79,t17_f5_c3,19.7941,0.2834,True,True,False,24.5.1,0.0,,0.9987755,543120235.0,ZTF24abizqut
ztf,60592.18432869995,2838184323515015007,1,2838184323515,20.638798,1,2838,8.906294,19.593733,,19.8437,0.13148265,,,0.197,316.2844818,12.4971547,0.83,t17_f5_c3,19.7883,0.2396,True,False,True,24.5.1,0.0,,0.9999992,543120135.0,ZTF24abizqut
ztf,60593.18607639987,2839186074615015004,2,2839186074615,20.238068,1,2839,0.28134617,19.388466,19.235249,19.4521,0.104707696,0.08954464,0.09092678,0.1884,316.284474,12.4971629,0.9,t17_f5_c3,19.7878,0.3283,True,True,False,24.5.1,0.0,,0.99999976,544120246.0,ZTF24abizqut
ztf,60593.23521990003,2839235214615015002,1,2839235214615,20.253403,1,2839,7.998745,19.760357,,19.6433,0.16315113,,,0.1961,316.2845211,12.4971276,0.7114286,t17_f5_c3,19.6934,0.2632,True,False,True,24.5.1,0.0,,0.9999844,544120146.0,ZTF24abizqut
ztf,60594.186805599835,2840186803515015003,2,2840186803515,20.12107,1,2840,0.3704543,19.436743,19.269787,19.3852,0.15577182,0.1326957,0.13356924,0.2044,316.2845162,12.4971322,0.8642857,t17_f5_c3,19.4543,0.2792,True,True,False,24.5.1,0.0,,0.9994736,543120235.0,ZTF24abizqut
ztf,60594.24709489988,2840247093515015003,1,2840247093515,19.816954,1,2840,9.169792,19.783651,,19.8376,0.21155946,,,0.3183,316.2844343,12.4970935,0.66714287,t17_f5_c3,20.0849,0.5125,True,False,True,24.5.1,0.0,,0.9974381,543120135.0,ZTF24abizqut
ztf,60595.14401620021,2841144014615015002,1,2841144014615,19.7854,1,2841,8.64644,19.7977,,19.2275,0.186007,,,0.1913,316.2844532,12.4969459,0.207143,t17_f5_c3,18.9545,0.191,False,False,False,25.0.0,0.0,2.866109564615015e+18,,,ZTF24abizqut
ztf,60595.16878469987,2841168784615015002,2,2841168784615,19.865427,1,2841,0.49684358,19.385473,19.232649,19.482,0.14318022,0.12337891,0.12438087,0.2408,316.2845265,12.497126,0.86142856,t17_f5_c3,19.3189,0.2661,True,True,False,24.5.1,0.0,,0.99999523,544120246.0,ZTF24abizqut
ztf,60596.133217600174,2842133213515015001,2,2842133213515,20.165956,1,2842,0.2857917,19.3201,19.169024,19.5408,0.11726932,0.10108492,0.10203603,0.2587,316.2844917,12.4971319,0.88285714,t17_f5_c3,19.4853,0.3154,True,True,False,24.5.1,0.0,,0.9999982,543120235.0,ZTF24abizqut
ztf,60596.21521990001,2842215213515015003,1,2842215213515,19.8702,1,2842,8.84545,19.6342,,19.4762,0.23171,,,0.2839,316.284501,12.4971639,0.498571,t17_f5_c3,19.3506,0.3248,False,False,False,25.0.0,0.0,2.866109564615015e+18,,,ZTF24abizqut
ztf,60597.14520830009,2843145204615015007,2,2843145204615,20.117895,1,2843,0.49896312,19.465733,19.302027,19.3601,0.1642685,0.14027523,0.14127713,0.2237,316.2844747,12.4970953,0.57285714,t17_f5_c3,19.5128,0.3303,True,True,False,24.5.1,0.0,,0.9999683,544120246.0,ZTF24abizqut
ztf,60597.18842589995,2843188424615015002,1,2843188424615,19.7342,1,2843,7.98832,19.5336,,19.3729,0.21897,,,0.2712,316.284502,12.497145,0.618571,t17_f5_c3,19.4361,0.369,False,False,False,25.0.0,0.0,2.866109564615015e+18,,,ZTF24abizqut
ztf,60603.16496529989,2849164963515015004,2,2849164963515,19.9563,1,2849,0.447257,19.4377,19.270607,18.942,0.142474,0.12119417,0.12215143,0.1514,316.2844467,12.4970331,0.355714,t17_f5_c3,19.0314,0.2106,False,True,False,25.0.0,0.0,2.866109564615015e+18,,,ZTF24abizqut
ztf,60603.207615700085,2849207613515015000,1,2849207613515,19.67611,1,2849,8.993406,19.8061,,19.8249,0.21495244,,,0.4037,316.284444,12.4971407,0.6614286,t17_f5_c3,19.7259,0.4734,True,False,True,24.5.1,0.0,,0.99981046,543120135.0,ZTF24abizqut
ztf,60604.13997690007,2850139974615015006,1,2850139974615,20.66672,1,2850,8.023083,19.924313,,19.9921,0.15888265,,,0.2171,316.2845013,12.4971374,0.75142854,t17_f5_c3,20.0767,0.3005,True,False,True,24.5.1,0.0,,0.9997771,544120146.0,ZTF24abizqut
ztf,60604.18604170019,2850186044615015002,2,2850186044615,20.155045,1,2850,0.3518679,19.505001,19.335712,19.4731,0.16047305,0.13620776,0.13730513,0.215,316.2845002,12.497157,0.5928571,t17_f5_c3,19.5247,0.2891,True,True,False,24.5.1,0.0,,0.9795579,544120246.0,ZTF24abizqut
ztf,60606.166539399885,2852166534615015007,2,2852166534615,20.351866,1,2852,0.39905673,19.594475,19.411804,19.514,0.16934006,0.1419056,0.14311711,0.1807,316.2845081,12.4971424,0.47714287,t17_f5_c3,19.2403,0.1801,True,True,False,24.5.1,0.0,,0.9992351,544120246.0,ZTF24abizqut
ztf,60606.18453700002,2852184534615015005,1,2852184534615,20.3977,1,2852,8.31967,20.215,,19.7622,0.234808,,,0.1966,316.2844443,12.4970696,0.26,t17_f5_c3,19.5574,0.2088,False,False,False,25.0.0,0.0,2.866109564615015e+18,,,ZTF24abizqut
ztf,60607.18658560002,2853186583515015004,2,2853186583515,20.333632,1,2853,0.26773492,19.701479,19.49261,19.6002,0.11146945,0.09003542,0.09196202,0.2064,316.2844882,12.4971605,0.85714287,t17_f5_c3,19.2964,0.2005,True,True,False,24.5.1,0.0,,0.9999767,543120235.0,ZTF24abizqut
ztf,60608.16645829985,2854166454615015007,2,2854166454615,20.319366,1,2854,0.22290875,19.65241,19.460564,19.5126,0.17487285,0.14525473,0.14654928,0.1772,316.2844864,12.4972002,0.5985714,t17_f5_c3,19.581,0.2416,True,True,False,24.5.1,0.0,,0.99995625,544120246.0,ZTF24abizqut
ztf,60609.14606480021,2855146063515015005,2,2855146063515,20.484566,1,2855,0.29720038,19.683146,19.477463,19.845,0.13445598,0.109708644,0.111251846,0.2434,316.2844933,12.4971286,0.80142856,t17_f5_c3,20.0373,0.3726,True,True,False,24.5.1,0.0,,0.99999976,543120235.0,ZTF24abizqut
ztf,60610.14540510019,2856145404615025007,1,2856145404615,20.4108,1,2856,8.19191,20.1694,,19.9874,0.195338,,,0.2824,316.2844576,12.4971025,0.642857,t17_f5_c3,19.6826,0.2736,False,False,False,25.0.0,0.0,2.866109564615015e+18,,,ZTF24abizqut
ztf,60610.16599539993,2856165994615025003,2,2856165994615,20.0111,1,2856,0.360964,19.5806,19.400066,19.155,0.176001,0.14790162,0.14903963,0.1732,316.2844342,12.4971293,0.31,t17_f5_c3,19.111,0.213,False,True,False,25.0.0,0.0,2.866109564615015e+18,,,ZTF24abizqut
ztf,60614.09466439998,2860094664615015005,2,2860094664615,20.29062,1,2860,0.3358055,19.760849,19.550688,19.7163,0.178821,0.14583008,0.14735125,0.2326,316.2844451,12.4971363,0.83285713,t17_f5_c3,19.7548,0.3091,True,True,False,24.5.1,0.0,,0.99986583,544120246.0,ZTF24abizqut
ztf,60614.23552080011,2860235524615015004,1,2860235524615,20.2139,1,2860,8.11075,20.3227,,19.8599,0.293326,,,0.2683,316.284414,12.4971575,0.22,t17_f5_c3,19.397,0.2252,False,False,False,25.0.0,0.0,2.866109564615015e+18,,,ZTF24abizqut
ztf,60618.095000000205,2864095004615015003,2,2864095004615,20.158834,1,2864,0.21803567,19.754421,19.545387,19.6129,0.1794175,0.14649685,0.14799652,0.2171,316.2844617,12.4971764,0.87142855,t17_f5_c3,19.4977,0.2508,True,True,False,24.5.1,0.0,,0.9998806,544120246.0,ZTF24abizqut
ztf,60618.09593749978,2864095933515015007,2,2864095933515,20.10487,1,2864,0.58941627,19.889557,19.645334,20.3705,0.18011622,0.14221059,0.14383465,0.4552,316.2845489,12.4970584,0.8585714,t17_f5_c3,20.168,0.4857,True,True,False,24.5.1,0.0,,0.99992144,543120235.0,ZTF24abizqut
ztf,60618.12348379986,2864123483515015002,1,2864123483515,20.3512,1,2864,9.3223,20.5281,,20.2668,0.275028,,,0.3195,316.284405,12.4970576,0.487143,t17_f5_c3,19.9464,0.3056,False,False,False,25.0.0,0.0,2.866109564615015e+18,,,ZTF24abizqut
ztf,60618.12443289999,2864124434615015003,1,2864124434615,20.2864,1,2864,7.88586,20.5635,,21.1581,0.312307,,,0.7341,316.2845092,12.4971774,0.487143,t17_f5_c3,21.1085,0.9016,False,False,False,25.0.0,0.0,2.866109564615015e+18,,,ZTF24abizqut
ztf,60620.10956020001,2866109564615015002,2,2866109564615,19.900839,1,2866,0.43990502,19.832516,19.609394,19.9495,0.19470933,0.15696472,0.1585397,0.431,316.2845152,12.4971375,0.6785714,t17_f5_c3,20.0327,0.5976,True,True,False,25.0.0,0.0,,0.99991393,544120246.0,ZTF24abizqut
