tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60567.20255789999,2813202555815025035,2,2813202555815,19.515,1,2813,0.084951,17.9149,15.345999,17.6744,0.162186,0.0068513155,0.015221343,0.0782,275.0570527,-14.7416822,0.455714,t17_f5_c3,17.6346,0.0948,False,True,False,24.5.1,0.0,2.841126285815015e+18,,,ZTF24abmfffy
ztf,60595.12628469989,2841126285815015015,1,2841126285815,18.504858,1,2841,1.5533922,18.381102,,18.9756,0.19227037,,,0.3012,275.056644,-14.7415515,0.40285715,t17_f5_c3,18.7032,0.2991,True,False,False,24.5.1,0.0,,0.9555889,333120158.0,ZTF24abmfffy
ztf,60849.21440970013,3095214405815015038,1,3095214405815,19.819,1,3095,0.511499,18.6153,16.237179,18.8243,0.139954,0.011471389,0.015658028,0.1383,275.0571373,-14.7415495,0.89,t17_f5_c3,18.909,0.1857,False,True,False,27.5.6,0.0,3.123254765815015e+18,,,ZTF24abmfffy
ztf,60851.29398149997,3097293985815025042,2,3097293985815,20.1976,1,3097,0.54786,18.1207,15.363737,18.1561,0.114251,100.0,0.009017263,0.0718,275.0571942,-14.7415831,0.81,t17_f5_c3,18.1097,0.0817,False,True,False,27.5.6,0.0,3.123254765815015e+18,,,ZTF24abmfffy
ztf,60855.30390049983,3101303905815015038,1,3101303905815,19.8538,1,3101,0.2744,18.7537,16.251814,19.3451,0.16989,0.013074419,0.016959524,0.1824,275.0571077,-14.7417519,0.581429,t17_f5_c3,19.4599,0.2507,False,True,False,27.5.6,0.0,3.123254765815015e+18,,,ZTF24abmfffy
ztf,60855.31508099986,3101315085815015058,2,3101315085815,19.5977,1,3101,0.336255,17.9043,15.344999,17.938,0.123313,100.0,0.01167585,0.0667,275.0571405,-14.741614,0.451429,t17_f5_c3,17.9727,0.0837,False,True,False,27.5.6,0.0,3.123254765815015e+18,,,ZTF24abmfffy
ztf,60861.3365162001,3107336515815015043,2,3107336515815,20.2199,1,3107,0.174493,17.9898,15.352813,17.8735,0.095152,100.0,0.00838732,0.0567,275.0571247,-14.741678,0.742857,t17_f5_c3,17.968,0.0736,False,True,False,27.5.6,0.0,3.123254765815015e+18,,,ZTF24abmfffy
ztf,60867.21265049977,3113212655815015014,1,3113212655815,18.8033,1,3113,0.46878,18.286,16.194971,17.8622,0.129017,0.015763294,0.018803354,0.1425,275.0571538,-14.7415727,0.794286,t17_f5_c3,17.8468,0.1797,False,True,False,27.5.6,0.0,3.123254765815015e+18,,,ZTF24abmfffy
ztf,60867.22018520022,3113220185815015009,1,3113220185815,18.8384,1,3113,0.366012,18.2707,16.192728,18.1517,0.110988,0.012781723,0.016371433,0.1819,275.0571178,-14.7415865,0.912857,t17_f5_c3,18.0892,0.2197,False,True,False,27.5.6,0.0,3.123254765815015e+18,,,ZTF24abmfffy
ztf,60867.22112269979,3113221125815015006,1,3113221125815,18.7616,1,3113,0.367208,18.324,16.200426,18.4182,0.135957,0.016236842,0.019229695,0.2414,275.0571253,-14.7417721,0.902857,t17_f5_c3,18.3777,0.2976,False,True,False,27.5.6,0.0,3.123254765815015e+18,,,ZTF24abmfffy
ztf,60868.21729170019,3114217295815015023,1,3114217295815,19.1745,1,3114,0.294083,18.2726,16.193007,18.4064,0.106255,0.011841229,0.015649922,0.1747,275.0571014,-14.7417596,0.92,t17_f5_c3,18.4966,0.2419,False,True,False,27.5.6,0.0,3.123254765815015e+18,,,ZTF24abmfffy
ztf,60868.2182407002,3114218245815025009,1,3114218245815,19.2268,1,3114,0.119693,18.1596,16.175608,17.9693,0.071348,0.0055038724,0.011475849,0.1135,275.0570789,-14.7417147,0.922857,t17_f5_c3,17.9979,0.1483,False,True,False,27.5.6,0.0,3.123254765815015e+18,,,ZTF24abmfffy
ztf,60869.22572920006,3115225725815015021,1,3115225725815,19.4915,1,3115,0.121837,18.3934,16.209978,18.3966,0.094424,0.007191283,0.012639014,0.1332,275.0570786,-14.7417155,0.938571,t17_f5_c3,18.5303,0.1908,False,True,False,27.5.6,0.0,3.123254765815015e+18,,,ZTF24abmfffy
ztf,60869.22855320014,3115228555815015018,1,3115228555815,19.613,1,3115,0.269278,18.4599,16.218645,18.4663,0.098213,0.0067519904,0.012464285,0.1354,275.0571298,-14.7417333,0.944286,t17_f5_c3,18.409,0.1625,False,True,False,27.5.6,0.0,3.123254765815015e+18,,,ZTF24abmfffy
ztf,60869.31542820018,3115315425815025028,2,3115315425815,19.466,1,3115,0.282657,17.455,15.293544,17.547,0.077723,100.0,0.010616147,0.066,275.0570078,-14.7416357,0.891429,t17_f5_c3,17.6011,0.0864,False,True,False,27.5.6,0.0,3.123254765815015e+18,,,ZTF24abmfffy
ztf,60869.321064800024,3115321065815015035,2,3115321065815,19.5996,1,3115,0.323754,17.5473,15.305697,17.5346,0.089709,100.0,0.0113813775,0.0618,275.0571467,-14.741627,0.801429,t17_f5_c3,17.4141,0.0686,False,True,False,27.5.6,0.0,3.123254765815015e+18,,,ZTF24abmfffy
ztf,60870.19648149982,3116196485815025053,1,3116196485815,20.1268,1,3116,0.246174,18.2444,16.188807,18.322,0.086813,0.008184327,0.01307217,0.0801,275.0571122,-14.7416219,0.954286,t17_f5_c3,18.3713,0.1027,False,True,False,27.5.6,0.0,3.123254765815015e+18,,,ZTF24abmfffy
ztf,60870.19741899986,3116197415815025044,1,3116197415815,20.1105,1,3116,0.256554,18.2325,16.187008,18.2036,0.086985,0.008439585,0.013220479,0.0716,275.057142,-14.7417148,0.924286,t17_f5_c3,18.206,0.0878,False,True,False,27.5.6,0.0,3.123254765815015e+18,,,ZTF24abmfffy
ztf,60870.28678240022,3116286785815025025,2,3116286785815,19.2287,1,3116,0.245604,17.5532,15.306444,17.4991,0.106915,0.0032382046,0.01350008,0.0802,275.0571323,-14.7416434,0.761429,t17_f5_c3,17.5204,0.1028,False,True,False,27.5.6,0.0,3.123254765815015e+18,,,ZTF24abmfffy
ztf,60871.21306709992,3117213065815015028,1,3117213065815,19.7458,1,3117,0.410258,18.4291,16.214687,18.5158,0.120097,0.011623674,0.015623108,0.1244,275.057134,-14.7417816,0.895714,t17_f5_c3,18.5011,0.1526,False,True,False,27.5.6,0.0,3.123254765815015e+18,,,ZTF24abmfffy
ztf,60871.214004599955,3117214005815015024,1,3117214005815,19.7788,1,3117,0.318649,18.4466,16.21695,18.5573,0.126717,0.0124411965,0.016254531,0.1271,275.0570648,-14.7415922,0.89,t17_f5_c3,18.5408,0.1553,False,True,False,27.5.6,0.0,3.123254765815015e+18,,,ZTF24abmfffy
ztf,60871.21494209999,3117214945815015041,1,3117214945815,19.8811,1,3117,0.14267,18.3429,16.20308,18.5187,0.099473,0.009243695,0.013860452,0.1146,275.0571193,-14.7416882,0.87,t17_f5_c3,18.4841,0.1372,False,True,False,27.5.6,0.0,3.123254765815015e+18,,,ZTF24abmfffy
ztf,60872.3048843001,3118304885815015022,1,3118304885815,19.5968,1,3118,0.426636,18.3448,16.203344,18.5282,0.112688,0.011793491,0.01567816,0.1459,275.0571948,-14.7416502,0.888571,t17_f5_c3,18.4809,0.1761,False,True,False,27.5.6,0.0,3.123254765815015e+18,,,ZTF24abmfffy
