tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,60603.22136570001,2849221364615015007,2,2849221364615,19.963135,1,2849,1.372286,19.268272,17.348793,19.3018,0.1109408,100.0,0.018936481,0.2273,350.2666418,26.4195876,0.89285713,t17_f5_c3,0.9999996,19.3825,0.3081,647120246.0,True,True,False,24.5.1,0.0,,ZTF24abnppsj
ztf,60603.26064810017,2849260644615015007,1,2849260644615,19.945047,1,2849,1.6199857,19.181915,,19.2083,0.13481349,,,0.2121,350.2666555,26.4196063,0.9614286,t17_f5_c3,0.99999523,19.2622,0.2835,647120146.0,True,False,False,24.5.1,0.0,,ZTF24abnppsj
ztf,60607.20734950015,2853207344615015017,2,2853207344615,20.67743,1,2853,1.3280193,18.64182,17.212978,18.8634,0.071158275,100.0,0.019084819,0.1059,350.2666157,26.4195939,0.91,t17_f5_c3,0.99999547,18.8266,0.126,647120246.0,True,True,False,24.5.1,0.0,,ZTF24abnppsj
ztf,60607.213703699876,2853213704615015020,1,2853213704615,20.762667,1,2853,1.532967,18.64035,,18.6477,0.06469781,,,0.0705,350.2666375,26.419566,0.95428574,t17_f5_c3,1.0,18.6649,0.0883,647120146.0,True,False,False,24.5.1,0.0,,ZTF24abnppsj
ztf,60609.23442129977,2855234424615015020,1,2855234424615,20.705065,1,2855,1.5093029,18.404873,,18.3062,0.06634636,,,0.0535,350.2666246,26.4195865,0.9657143,t17_f5_c3,0.9999999,18.2294,0.0615,647120146.0,True,False,False,24.5.1,0.0,,ZTF24abnppsj
ztf,60609.28043980012,2855280434615015007,2,2855280434615,20.371445,1,2855,1.2729849,18.447472,17.157347,18.718,0.0674648,100.0,0.020560183,0.1018,350.266618,26.4195702,0.91571426,t17_f5_c3,0.9999999,18.7367,0.1283,647120246.0,True,True,False,24.5.1,0.0,,ZTF24abnppsj
ztf,60614.20806710003,2860208064615015011,2,2860208064615,20.457743,1,2860,1.288572,18.178436,17.068077,18.1874,0.06155535,100.0,0.022137169,0.0623,350.266634,26.4195624,0.9457143,t17_f5_c3,0.9999995,18.1659,0.0753,647120246.0,True,True,False,24.5.1,0.0,,ZTF24abnppsj
ztf,60614.36652779998,2860366524615015009,1,2860366524615,20.026756,1,2860,1.6149979,18.21444,,18.3707,0.08847167,,,0.0824,350.2666604,26.419581,0.9557143,t17_f5_c3,1.0,18.3691,0.1035,647120146.0,True,False,False,24.5.1,0.0,,ZTF24abnppsj
ztf,60616.372789400164,2862372784615015015,1,2862372784615,20.081453,1,2862,1.5824504,18.16084,,18.0856,0.068929575,,,0.0644,350.266651,26.4195804,0.9628571,t17_f5_c3,0.9999999,18.0736,0.0799,647120146.0,True,False,False,24.5.1,0.0,,ZTF24abnppsj
ztf,60619.144872699864,2865144874615015021,2,2865144874615,20.4107,1,2865,1.31523,18.1487,17.05729,18.1296,0.054024,100.0,0.019770702,0.0622,350.2666265,26.4195803,0.925714,t17_f5_c3,,18.2131,0.083,,False,True,False,25.0.0,0.0,2.893223184615015e+18,ZTF24abnppsj
ztf,60619.30087959999,2865300874615015014,1,2865300874615,20.054184,1,2865,1.7231923,18.251497,,18.1792,0.08445878,,,0.0561,350.2666951,26.4195821,0.88857144,t17_f5_c3,0.99992394,18.1701,0.0693,647120146.0,True,False,False,25.0.0,0.0,,ZTF24abnppsj
ztf,60623.11880790023,2869118804615015016,1,2869118804615,20.381588,1,2869,1.473905,18.371191,,18.3151,0.07124596,,,0.0673,350.2666109,26.4195955,0.96428573,t17_f5_c3,0.99999976,18.3493,0.0868,647120146.0,True,False,False,25.0.0,0.0,,ZTF24abnppsj
ztf,60623.15936340019,2869159364615015021,2,2869159364615,20.018005,1,2869,1.2668287,18.17571,17.067097,18.2093,0.055222787,100.0,0.019891724,0.0723,350.266613,26.4195735,0.9142857,t17_f5_c3,0.9999999,18.1656,0.0865,647120246.0,True,True,False,25.0.0,0.0,,ZTF24abnppsj
ztf,60625.15229169978,2871152294615015009,2,2871152294615,20.144047,1,2871,1.3282807,18.227087,17.085323,18.5363,0.08071774,100.0,0.028200936,0.1129,350.2666055,26.419607,0.8814286,t17_f5_c3,0.99999523,18.53,0.1411,647120246.0,True,True,False,25.0.0,0.0,,ZTF24abnppsj
ztf,60625.19263890013,2871192634615015008,1,2871192634615,19.969437,1,2871,1.5094084,18.386156,,18.2525,0.07586783,,,0.0851,350.2666237,26.4195906,0.94857144,t17_f5_c3,0.9999994,18.1221,0.0957,647120146.0,True,False,False,25.0.0,0.0,,ZTF24abnppsj
ztf,60627.237395800184,2873237394615015008,2,2873237394615,19.36932,1,2873,1.3601614,18.278667,17.103067,18.3436,0.09705539,100.0,0.032868475,0.1258,350.2666305,26.4196026,0.89428574,t17_f5_c3,0.9999927,18.2989,0.1534,647120246.0,True,True,False,25.0.0,0.0,,ZTF24abnppsj
ztf,60629.19329860015,2875193294615015004,1,2875193294615,19.435944,1,2875,1.5516422,18.556112,,18.7312,0.114223965,,,0.2131,350.2666359,26.4195963,0.95428574,t17_f5_c3,0.99999785,18.5722,0.2355,647120146.0,True,False,False,25.0.0,0.0,,ZTF24abnppsj
ztf,60632.13187499996,2878131874615015011,1,2878131874615,20.175495,1,2878,1.5373273,18.653805,,18.666,0.09600584,,,0.111,350.2666335,26.4195865,0.9514286,t17_f5_c3,0.9999909,18.6531,0.1386,647120146.0,True,False,False,25.0.0,0.0,,ZTF24abnppsj
ztf,60634.18459489988,2880184594615015017,1,2880184594615,20.451033,1,2880,1.5449944,18.641802,,18.7089,0.08359039,,,0.0896,350.266632,26.4196003,0.95857143,t17_f5_c3,0.9999999,18.6356,0.1045,647120146.0,True,False,False,25.0.0,0.0,,ZTF24abnppsj
ztf,60634.20041669998,2880200414615015006,2,2880200414615,19.144453,1,2880,1.4115726,18.353355,,18.6432,0.09463644,,,0.1946,350.2666189,26.4196281,0.74,t17_f5_c3,0.99999297,18.7371,0.2696,647120246.0,True,False,False,25.0.0,0.0,,ZTF24abnppsj
ztf,60636.200000000186,2882199994615015024,2,2882199994615,20.326956,1,2882,1.3577416,18.341997,17.124104,18.2825,0.08087257,100.0,0.026341692,0.0708,350.2666278,26.4195989,0.93857145,t17_f5_c3,0.9999962,18.294,0.0885,647120246.0,True,True,False,25.0.0,0.0,,ZTF24abnppsj
ztf,60639.179513900075,2885179514615015023,2,2885179514615,20.32839,1,2885,1.3124275,18.47946,17.166994,18.5328,0.062052,100.0,0.018525498,0.0878,350.266627,26.4195793,0.93857145,t17_f5_c3,0.99999994,18.6128,0.1169,647120246.0,True,True,False,25.0.0,0.0,,ZTF24abnppsj
ztf,60639.20395829994,2885203954615015012,1,2885203954615,20.356598,1,2885,1.6154711,18.770035,,18.6183,0.07931855,,,0.0857,350.2666606,26.4195802,0.95714283,t17_f5_c3,0.9999988,18.6454,0.1098,647120146.0,True,False,False,25.0.0,0.0,,ZTF24abnppsj
ztf,60643.15533560002,2889155334615015098,1,2889155334615,20.2081,1,2889,1.62343,18.866,,18.844,0.083826,,,0.1061,350.2666565,26.4195921,0.86,t17_f5_c3,,18.7743,0.1245,,False,False,False,26.0.1,0.0,2.919112894615015e+18,ZTF24abnppsj
ztf,60643.2561805998,2889256184615015006,2,2889256184615,19.2814,1,2889,1.2923,18.3666,17.132055,18.3068,0.116938,100.0,0.037509214,0.1559,350.2666214,26.4195758,0.944286,t17_f5_c3,,18.2836,0.194,,False,True,False,26.0.1,0.0,2.919112894615015e+18,ZTF24abnppsj
ztf,60647.22318289988,2893223184615015016,1,2893223184615,20.298,1,2893,1.45814,18.9163,,19.1511,0.080928,,,0.1504,350.2666132,26.4195694,0.964286,t17_f5_c3,,19.057,0.1733,,False,False,False,26.0.1,0.0,2.923134884615015e+18,ZTF24abnppsj
ztf,60649.17525460012,2895175254615015008,1,2895175254615,20.6546,1,2895,1.49091,19.018,,18.9055,0.078871,,,0.0968,350.2666197,26.419583,0.971429,t17_f5_c3,,18.8599,0.1153,,False,False,False,26.0.1,0.0,2.923134884615025e+18,ZTF24abnppsj
ztf,60649.24482640019,2895244824615015024,2,2895244824615,20.312561,1,2895,1.2958517,18.591057,17.199127,18.9164,0.07076672,100.0,0.0196362,0.1331,350.2666181,26.4195812,0.93857145,t17_f5_c3,1.0,19.1313,0.2014,647120246.0,True,True,False,25.0.0,0.0,,ZTF24abnppsj
ztf,60651.129490700085,2897129494615015038,2,2897129494615,20.263,1,2897,1.27397,18.6571,17.217054,18.5552,0.070928,100.0,0.018827787,0.0949,350.26661,26.4195794,0.948571,t17_f5_c3,,18.4568,0.1078,,False,True,False,26.0.1,0.0,2.923134884615025e+18,ZTF24abnppsj
ztf,60651.19706019992,2897197064615015021,1,2897197064615,20.1165,1,2897,1.5435,19.0216,,19.0676,0.106649,,,0.1423,350.2666264,26.4196182,0.955714,t17_f5_c3,,19.0662,0.179,,False,False,False,26.0.1,0.0,2.923134884615025e+18,ZTF24abnppsj
ztf,60653.088402799796,2899088404615015016,2,2899088404615,20.2582,1,2899,1.32984,18.7101,17.230873,18.8978,0.077406,100.0,0.01981909,0.1391,350.2666208,26.4195946,0.94,t17_f5_c3,,18.755,0.1528,,False,True,False,26.0.1,0.0,2.923134884615025e+18,ZTF24abnppsj
ztf,60653.15314809978,2899153144615015011,1,2899153144615,20.1022,1,2899,1.47342,19.2211,,19.6866,0.121417,,,0.2754,350.2666144,26.4195859,0.872857,t17_f5_c3,,19.8089,0.3899,,False,False,False,26.0.1,0.0,2.923134884615025e+18,ZTF24abnppsj
ztf,60658.150914399885,2904150914615015007,2,2904150914615,19.8188,1,2904,1.38728,18.7776,17.24776,19.0186,0.114424,100.0,0.027962843,0.2152,350.2666416,26.4195933,0.74,t17_f5_c3,,19.0341,0.2767,,False,True,False,26.0.1,0.0,2.934116684615015e+18,ZTF24abnppsj
ztf,60658.213356500026,2904213354615015010,1,2904213354615,19.4599,1,2904,1.58772,19.2499,,19.0463,0.236964,,,0.2852,350.2666559,26.4195592,0.821429,t17_f5_c3,,18.8133,0.2946,,False,False,False,26.0.1,0.0,2.934116684615015e+18,ZTF24abnppsj
ztf,60660.18269680021,2906182694615015007,2,2906182694615,19.474045,1,2906,1.4788657,18.725723,,18.6068,0.114736654,,,0.1705,350.2666594,26.4196168,0.79,t17_f5_c3,0.99999154,18.7371,0.2441,647120246.0,True,False,False,25.0.0,0.0,,ZTF24abnppsj
ztf,60663.25814810023,2909258144615015009,2,2909258144615,19.26592,1,2909,1.0849642,18.921625,17.281233,18.9386,0.14144342,100.0,0.031219492,0.2333,350.266604,26.4194937,0.76428574,t17_f5_c3,0.99989533,18.8466,0.2722,647120246.0,True,True,False,26.0.1,0.0,,ZTF24abnppsj
ztf,60665.14483800018,2911144834615015010,2,2911144834615,20.29289,1,2911,1.3046646,18.931007,17.283297,19.0327,0.10180286,100.0,0.022319052,0.1552,350.2666169,26.4195855,0.92285717,t17_f5_c3,0.9999922,19.2153,0.229,647120246.0,True,True,False,26.0.1,0.0,,ZTF24abnppsj
ztf,60667.09368060017,2913093684615015026,1,2913093684615,20.252558,1,2913,1.6425561,19.388817,,19.5164,0.14328247,,,0.1756,350.2666505,26.4196341,0.9257143,t17_f5_c3,0.9999845,19.454,0.2074,647120146.0,True,False,False,26.0.1,0.0,,ZTF24abnppsj
ztf,60667.15315969987,2913153154615015151,2,2913153154615,20.0351,1,2913,1.15194,19.0112,17.300379,19.3225,0.107967,100.0,0.022333782,0.2077,350.2666234,26.419502,0.647143,t17_f5_c3,,19.3215,0.2595,,False,True,False,26.0.1,0.0,2.934116684615015e+18,ZTF24abnppsj
ztf,60671.112395800184,2917112394615015039,2,2917112394615,19.659698,1,2917,1.204265,18.81492,17.256763,18.6548,0.1097475,100.0,0.026129523,0.1407,350.2665617,26.4195967,0.89,t17_f5_c3,0.9999996,18.6221,0.1719,647120246.0,True,True,False,26.0.1,0.0,,ZTF24abnppsj
ztf,60673.1128934999,2919112894615015013,2,2919112894615,20.11992,1,2919,1.240627,19.048388,17.307966,19.2156,0.115460865,100.0,0.023241628,0.1976,350.2666229,26.4195501,0.92,t17_f5_c3,0.9999951,19.1947,0.2424,647120246.0,True,True,False,26.0.1,0.0,,ZTF24abnppsj
ztf,60675.14438659977,2921144384615015021,2,2921144384615,19.80609,1,2921,1.4480798,18.955313,,18.9479,0.108662024,,,0.1757,350.2666584,26.4196053,0.8957143,t17_f5_c3,0.9999993,18.9057,0.2127,647120246.0,True,False,False,26.0.1,0.0,,ZTF24abnppsj
ztf,60677.134884300176,2923134884615015013,2,2923134884615,20.45012,1,2923,1.3616763,19.182701,17.3337,19.5392,0.08992528,100.0,0.01637878,0.2276,350.2666311,26.4195957,0.9071429,t17_f5_c3,0.9999993,19.6321,0.3086,647120246.0,True,True,False,26.0.1,0.0,,ZTF24abnppsj
ztf,60677.134884300176,2923134884615025013,2,2923134884615,20.45012,1,2923,1.3616763,19.182701,17.3337,19.5392,0.08992528,100.0,0.01637878,0.2276,350.2666311,26.4195957,0.9071429,t17_f5_c3,0.9999993,19.6321,0.3086,647120246.0,True,True,False,26.0.1,0.0,,ZTF24abnppsj
