tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,60624.29247689992,2870292470515015022,2,2870292470515,19.444628,1,2870,0.6528312,19.355947,16.845736,19.2142,0.13329944,100.0,0.013205146,0.3462,46.2437327,-26.7201568,0.67,t17_f5_c3,0.99980354,19.1797,0.4274,251120205.0,True,True,True,25.0.0,0.0,,ZTF24abrrpbn
ztf,60661.24299769988,2907242990515015010,2,2907242990515,18.9785,1,2907,0.538091,19.256,16.835413,19.5296,0.225544,100.0,0.02426589,0.5517,46.24373,-26.7200184,0.928571,t17_f5_c3,,19.5862,0.743,,False,True,False,26.0.1,0.0,2.924138630515015e+18,ZTF24abrrpbn
ztf,60678.13863429986,2924138630515015013,2,2924138630515,19.255396,1,2924,0.32644102,19.003069,16.805195,18.7128,0.1738401,100.0,0.022961486,0.2253,46.2438117,-26.7200987,0.9071429,t17_f5_c3,0.9998482,18.5608,0.2493,251120205.0,True,True,False,26.0.1,0.0,,ZTF24abrrpbn
ztf,60928.48173609981,3174481730515015005,2,3174481730515,19.089415,1,3174,0.5940765,19.024937,16.808058,18.648,0.19151832,100.0,0.024857562,0.1879,46.2437308,-26.7199689,0.81857145,t17_f5_c3,0.993747,18.7011,0.2512,251120205.0,True,True,False,27.5.6,0.0,,ZTF24abrrpbn
ztf,60941.39663190022,3187396630515015002,1,3187396630515,19.99918,1,3187,0.70755,19.722054,17.684566,19.3797,0.1836295,100.0,0.028115619,0.2034,46.2437915,-26.7202432,0.92285717,t17_f5_c3,0.99369514,19.3063,0.2404,251120105.0,True,True,False,27.5.6,0.0,,ZTF24abrrpbn
ztf,60943.481030100025,3189481030515015002,2,3189481030515,19.934866,1,3189,0.48192582,18.906055,16.791872,18.9193,0.12506412,100.0,0.017842652,0.1392,46.2437447,-26.7200517,0.9742857,t17_f5_c3,0.99996537,18.8855,0.1685,251120205.0,True,True,False,27.5.6,0.0,,ZTF24abrrpbn
ztf,60949.44013890019,3195440130515015001,2,3195440130515,20.014797,1,3195,0.46196675,19.024282,16.807972,18.8452,0.10212703,100.0,0.013262232,0.133,46.2437936,-26.7199547,0.95285714,t17_f5_c3,0.9999856,18.9148,0.1772,251120205.0,True,True,True,27.5.6,0.0,,ZTF24abrrpbn
ztf,60952.399108800106,3198399100515015001,2,3198399100515,19.343437,1,3198,0.7997978,18.905563,16.791801,18.7664,0.1385596,100.0,0.019775707,0.184,46.24372,-26.719886,0.92,t17_f5_c3,0.99769187,18.4969,0.1824,251120205.0,True,True,True,27.5.6,0.0,,ZTF24abrrpbn
ztf,60960.4177778,3206417770515015003,2,3206417770515,19.87082,1,3206,0.30630726,19.160505,16.824726,19.2903,0.122511186,100.0,0.014251614,0.2281,46.2438,-26.7200495,0.95714283,t17_f5_c3,0.9997817,19.3911,0.3152,251120205.0,True,True,False,27.5.6,0.0,,ZTF24abrrpbn
ztf,60961.35482640006,3207354820515015003,1,3207354820515,19.6345,1,3207,0.416416,19.9361,17.714725,19.9638,0.27338,100.0,0.035335984,0.3804,46.243828,-26.7199596,0.862857,t17_f5_c3,,19.6823,0.3734,,False,True,False,27.5.7a32.dev1,0.0,3.236275380515015e+18,ZTF24abrrpbn
