tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,61080.56802080013,3326568024115015028,2,3326568024115,18.819506,1,3326,0.26230022,17.568298,16.08669,17.5711,0.0752526,100.0,0.019225532,0.1162,280.7025576,-11.8279954,0.74714285,t17_f5_c3,0.99999994,17.5885,0.151,1377120241.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF24abtaeje
ztf,61080.56848380016,3326568484115015015,2,3326568484115,18.86961,1,3326,0.4770525,17.544458,16.08055,17.7169,0.07691044,0.0053275246,0.019972017,0.1274,280.7026509,-11.8280375,0.75,t17_f5_c3,1.0,17.7123,0.1624,1377120241.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF24abtaeje
ztf,61080.57052080007,3326570524115015015,2,3326570524115,18.729006,1,3326,0.21965393,17.614061,16.0982,17.5854,0.08701591,0.0090137,0.021540416,0.1301,280.7025964,-11.8279831,0.73714286,t17_f5_c3,0.9999997,17.5059,0.1549,1377120241.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF24abtaeje
ztf,61083.56328700017,3329563284115015015,2,3329563284115,19.38698,1,3329,0.17390564,17.554258,16.083086,17.5856,0.10533301,0.019131005,0.027170377,0.0727,280.702627,-11.8279308,0.7542857,t17_f5_c3,0.9999999,17.6186,0.0953,1377120241.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF24abtaeje
ztf,61096.5500115999,3342550014115015014,2,3342550014115,19.553411,1,3342,0.20744242,17.55029,16.082062,17.5986,0.0769578,0.004967483,0.019904964,0.0658,280.7026323,-11.8279503,0.8542857,t17_f5_c3,0.9999995,17.6078,0.0838,1377120241.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF24abtaeje
ztf,61096.5500115999,3342550014115025014,2,3342550014115,19.5534,1,3342,0.207442,17.5503,16.082064,17.5986,0.076958,0.004966865,0.019904861,0.0658,280.7026323,-11.8279503,0.854286,t17_f5_c3,,17.6078,0.0838,,False,True,False,27.5.7a32.dev1,0.0,3.363525904115015e+18,ZTF24abtaeje
ztf,61099.54688660009,3345546884115015019,2,3345546884115,19.91187,1,3345,0.1965552,17.492498,16.066816,17.5676,0.07428656,0.006167164,0.019981926,0.0486,280.7026259,-11.8279565,0.81714284,t17_f5_c3,0.9999963,17.5932,0.0624,1377120241.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF24abtaeje
ztf,61099.54688660009,3345546884115025019,2,3345546884115,19.9119,1,3345,0.196555,17.4925,16.066816,17.5676,0.074287,0.0061674365,0.01998202,0.0486,280.7026259,-11.8279565,0.817143,t17_f5_c3,,17.5932,0.0624,,False,True,False,27.5.7a32.dev1,0.0,3.363525904115015e+18,ZTF24abtaeje
ztf,61100.54565969994,3346545654115015025,2,3346545654115,19.486612,1,3346,0.12143574,17.406958,16.043137,17.5319,0.049887773,100.0,0.0142057985,0.0626,280.702597,-11.8279565,0.83428574,t17_f5_c3,1.0,17.5464,0.0804,1377120241.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF24abtaeje
ztf,61101.54494210007,3347544944115015013,2,3347544944115,17.715773,1,3347,0.31386894,17.206457,15.982175,17.441,0.11604931,0.03321128,0.037577663,0.2447,280.7026663,-11.8279431,0.72571427,t17_f5_c3,0.9997,17.3636,0.2925,1377120241.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF24abtaeje
ztf,61105.54025459988,3351540254115015031,2,3351540254115,19.61889,1,3351,0.22513446,17.387257,16.03749,17.4278,0.054792512,100.0,0.01580573,0.0526,280.7026366,-11.827951,0.82285714,t17_f5_c3,1.0,17.459,0.0684,1377120241.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF24abtaeje
ztf,61105.54025459988,3351540254115025031,2,3351540254115,19.6189,1,3351,0.225134,17.3873,16.037502,17.4278,0.054793,100.0,0.015805418,0.0526,280.7026366,-11.827951,0.822857,t17_f5_c3,,17.459,0.0684,,False,True,False,27.5.7a32.dev1,0.0,3.363525904115015e+18,ZTF24abtaeje
ztf,61108.540983799845,3354540984115015031,2,3354540984115,19.321032,1,3354,0.30001193,17.438656,16.052069,17.4722,0.06849693,0.003640433,0.01910013,0.0643,280.7025456,-11.8278457,0.74285716,t17_f5_c3,0.999999,17.5108,0.0847,1377120241.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF24abtaeje
ztf,61108.540983799845,3354540984115025031,2,3354540984115,19.321,1,3354,0.300012,17.4387,16.05208,17.4722,0.068497,0.003636532,0.019099593,0.0643,280.7025456,-11.8278457,0.742857,t17_f5_c3,,17.5108,0.0847,,False,True,False,27.5.7a32.dev1,0.0,3.363525904115015e+18,ZTF24abtaeje
ztf,61111.532627299894,3357532624115015024,2,3357532624115,20.07654,1,3357,0.22241965,17.70974,16.12111,17.7855,0.05572886,100.0,0.012901159,0.0519,280.7026411,-11.827923,0.80285716,t17_f5_c3,0.9987437,17.8318,0.0677,1377120241.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF24abtaeje
