tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60667.5103703998,2913510375715015004,1,2913510375715,18.9268,1,2913,1.0775,19.2176,19.16057,19.2038,0.342859,0.325001,0.3253144,0.2785,242.3061874,43.9507995,0.282857,t17_f5_c3,19.1452,0.3383,False,True,False,26.0.1,0.0,2.940518145715015e+18,,,ZTF24abzwppf
ztf,60667.54813659983,2913548135715015028,2,2913548135715,18.6854,1,2913,1.13895,18.9467,18.883133,19.009,0.245919,0.23179592,0.23193456,0.3923,242.3061323,43.9509737,0.542857,t17_f5_c3,19.1234,0.5602,False,True,False,26.0.1,0.0,2.940518145715015e+18,,,ZTF24abzwppf
ztf,60673.51096059987,2919510965715015007,2,2919510965715,20.14245,1,2919,1.3464688,19.073006,19.001848,18.9996,0.09286953,0.08651707,0.086978205,0.1367,242.306234,43.9509992,0.95428574,t17_f5_c3,19.0868,0.1893,True,True,False,26.0.1,0.0,,0.9999991,722120257.0,ZTF24abzwppf
ztf,60675.53490740014,2921534905715015006,2,2921534905715,20.06565,1,2921,1.4144493,19.1705,,19.2479,0.13581194,,,0.1582,242.3062456,43.950966,0.8585714,t17_f5_c3,19.2731,0.2071,True,False,True,26.0.1,0.0,,0.9999947,722120257.0,ZTF24abzwppf
ztf,60675.55005790014,2921550055715015005,1,2921550055715,20.00169,1,2921,1.0515233,19.265394,19.205866,19.1329,0.1674467,0.15781274,0.15851317,0.1561,242.3062093,43.9509105,0.7542857,t17_f5_c3,19.156,0.2038,True,True,False,26.0.1,0.0,,0.9998561,722120157.0,ZTF24abzwppf
ztf,60680.55809029983,2926558095715015007,1,2926558095715,19.6817,1,2926,0.892052,19.2102,19.153545,19.2337,0.18721,0.17712489,0.17769195,0.1422,242.3061462,43.9509329,0.295714,t17_f5_c3,19.1091,0.1622,False,True,False,26.0.1,0.0,2.956475675715015e+18,,,ZTF24abzwppf
ztf,60687.51675930014,2933516755715015003,2,2933516755715,19.296448,1,2933,1.5229834,19.05946,,18.693,0.20475852,,,0.1606,242.30629,43.9509639,0.25,t17_f5_c3,18.746,0.2163,True,False,True,26.0.1,0.0,,0.9941679,722120257.0,ZTF24abzwppf
ztf,60692.47628469998,2938476285715015001,1,2938476285715,19.50588,1,2938,1.142741,19.0994,19.048115,19.1815,0.17432685,0.16578503,0.166284,0.2657,242.306245,43.9509106,0.74714285,t17_f5_c3,19.4556,0.4391,True,True,False,26.0.1,0.0,,0.9998468,722120157.0,ZTF24abzwppf
ztf,60692.49718749989,2938497185715015007,2,2938497185715,19.642962,1,2938,1.2359092,19.203693,19.123762,19.0559,0.13247742,0.12266731,0.123074844,0.2144,242.3062039,43.951038,0.7614286,t17_f5_c3,19.1988,0.3134,True,True,False,26.0.1,0.0,,0.9998956,722120257.0,ZTF24abzwppf
ztf,60694.49322920013,2940493225715015023,1,2940493225715,19.818682,1,2940,0.83942896,19.216314,19.15935,19.2739,0.18011408,0.17031172,0.17090774,0.218,242.3061045,43.9510012,0.78571427,t17_f5_c3,19.2888,0.2834,True,True,False,26.0.1,0.0,,0.99999094,722120157.0,ZTF24abzwppf
ztf,60694.5181481,2940518145715015009,2,2940518145715,19.992188,1,2940,1.2519039,19.192616,19.113466,19.0957,0.109952465,0.10174046,0.10222225,0.1683,242.3061914,43.9509965,0.9014286,t17_f5_c3,19.1228,0.2212,True,True,False,26.0.1,0.0,,0.9999802,722120257.0,ZTF24abzwppf
ztf,60699.45333330007,2945453335715015005,1,2945453335715,19.839977,1,2945,0.9962688,19.223658,19.166317,19.2761,0.16354844,0.15446967,0.15513502,0.1667,242.3061657,43.9510093,0.54142857,t17_f5_c3,19.4641,0.2535,True,True,False,26.0.1,0.0,,0.9999985,722120157.0,ZTF24abzwppf
ztf,60710.4756713002,2956475675715015009,2,2956475675715,20.537704,1,2956,1.395769,19.215761,19.13497,19.0238,0.107676364,0.09944202,0.099954754,0.1029,242.3062306,43.9509539,0.9114286,t17_f5_c3,19.1453,0.1464,True,True,True,26.0.1,0.0,,0.9998782,722120257.0,ZTF24abzwppf
ztf,60716.51879630005,2962518795715015005,2,2962518795715,19.81891,1,2962,1.5429682,19.315886,,19.152,0.16551356,,,0.1891,242.3061705,43.9508166,0.6957143,t17_f5_c3,19.0382,0.2183,True,False,False,26.0.1,0.0,,0.997442,722120257.0,ZTF24abzwppf
ztf,60723.40578699997,2969405785715015010,2,2969405785715,19.692982,1,2969,1.0601722,19.415611,19.319197,19.2177,0.18712161,0.17080171,0.17122142,0.2315,242.3061398,43.9510604,0.6414286,t17_f5_c3,19.3138,0.3246,True,True,False,26.0.1,0.0,,0.9868225,722120257.0,ZTF24abzwppf
ztf,60725.45246529998,2971452465715015004,1,2971452465715,20.057974,1,2971,0.8948522,19.60846,19.527617,19.7142,0.19075693,0.17593402,0.17706934,0.2624,242.3061473,43.9508988,0.62142855,t17_f5_c3,19.4056,0.2535,True,True,False,26.0.1,0.0,,0.99957395,722120157.0,ZTF24abzwppf
ztf,60727.49042819999,2973490425715015007,2,2973490425715,20.167147,1,2973,1.2910485,19.373306,19.280422,19.4112,0.18478867,0.16924317,0.16963756,0.1757,242.3062065,43.95099,0.8685714,t17_f5_c3,19.4215,0.2271,True,True,False,26.0.1,0.0,,0.999858,722120257.0,ZTF24abzwppf
ztf,60727.53336809995,2973533365715015005,1,2973533365715,20.282457,1,2973,1.1620958,19.596977,19.516954,19.5497,0.19741061,0.1823094,0.18338402,0.179,242.3062518,43.950936,0.5157143,t17_f5_c3,19.5426,0.2277,True,True,False,26.0.1,0.0,,0.99948096,722120157.0,ZTF24abzwppf
ztf,60729.41679400019,2975416795715015011,1,2975416795715,20.4814,1,2975,1.26194,19.5927,19.51298,19.7283,0.187763,0.17334905,0.17447065,0.1999,242.306271,43.9510186,0.834286,t17_f5_c3,19.9183,0.3044,False,True,False,26.0.1,0.0,2.989380265715015e+18,,,ZTF24abzwppf
ztf,60729.50519679999,2975505195715015010,2,2975505195715,20.489647,1,2975,1.2273927,19.511435,19.40654,19.3639,0.11648836,0.104960725,0.10576086,0.146,242.3061714,43.9509753,0.9057143,t17_f5_c3,19.3467,0.1834,True,True,False,26.0.1,0.0,,0.99995244,722120257.0,ZTF24abzwppf
ztf,60731.4998031999,2977499805715015011,1,2977499805715,20.6988,1,2977,0.9267063,19.802814,19.706806,20.0674,0.18894461,0.17133498,0.17295429,0.2186,242.3061494,43.95098,0.7985714,t17_f5_c3,20.2151,0.3198,True,True,False,26.0.1,0.0,,0.99990535,722120157.0,ZTF24abzwppf
ztf,60731.52929400001,2977529295715015007,2,2977529295715,20.392097,1,2977,1.2645552,19.494003,19.390703,19.6666,0.11786089,0.106397375,0.10716417,0.1988,242.3061942,43.9509878,0.9057143,t17_f5_c3,19.9106,0.318,True,True,False,26.0.1,0.0,,0.999931,722120257.0,ZTF24abzwppf
ztf,60733.34815970017,2979348155715015004,1,2979348155715,19.5343,1,2979,1.18607,19.6161,19.534708,19.6098,0.364355,0.3374386,0.33803973,0.2334,242.3062413,43.9510152,0.28,t17_f5_c3,19.5212,0.2757,False,True,False,26.0.1,0.0,2.989380265715015e+18,,,ZTF24abzwppf
ztf,60733.3833217998,2979383325715015004,2,2979383325715,19.80043,1,2979,1.2621207,19.498322,19.394629,19.6467,0.2131348,0.19329502,0.19372122,0.2419,242.3061669,43.9509466,0.6528571,t17_f5_c3,19.4367,0.2555,True,True,False,26.0.1,0.0,,0.99976504,722120257.0,ZTF24abzwppf
ztf,60735.404432899784,2981404435715015004,1,2981404435715,20.4773,1,2981,1.01005,19.8188,19.72143,19.8538,0.220967,0.20059049,0.20201306,0.1989,242.3061931,43.9509127,0.735714,t17_f5_c3,20.0238,0.2967,False,True,False,26.0.1,0.0,2.989380265715015e+18,,,ZTF24abzwppf
ztf,60743.38026619982,2989380265715015009,2,2989380265715,19.742865,1,2989,1.3611013,19.790987,19.657122,19.4788,0.20753561,0.18273151,0.18346202,0.2582,242.3062334,43.9509856,0.56,t17_f5_c3,19.2345,0.2648,True,True,False,26.0.1,0.0,,0.9945084,722120257.0,ZTF24abzwppf
ztf,60762.45201390004,3008452015715015005,2,3008452015715,19.6824,1,3008,1.2416,19.7021,19.57818,19.5157,0.27212,0.24229151,0.24276836,0.2659,242.3061132,43.9509001,0.545714,t17_f5_c3,19.6281,0.3777,False,True,False,26.0.1,0.0,3.035395175715015e+18,,,ZTF24abzwppf
ztf,60771.428159699775,3017428155715015012,2,3017428155715,20.4164,1,3017,1.26251,19.9473,19.794106,20.1638,0.204414,0.17654157,0.17751399,0.326,242.3061852,43.9509734,0.701429,t17_f5_c3,20.1608,0.4167,False,True,False,26.0.1,0.0,3.043406185715015e+18,,,ZTF24abzwppf
ztf,60789.364988400135,3035364985715015003,1,3035364985715,20.8589,1,3035,1.00417,20.6097,20.416832,20.2881,0.258976,0.21201846,0.21682656,0.2208,242.3061887,43.9508986,0.202857,t17_f5_c3,20.3198,0.2904,False,True,False,26.0.1,0.0,3.043406185715015e+18,,,ZTF24abzwppf
ztf,60789.39517359994,3035395175715015007,2,3035395175715,20.679943,1,3035,1.2453326,20.307451,20.09946,20.2789,0.1873647,0.15273508,0.15470049,0.2779,242.3062087,43.9510215,0.83428574,t17_f5_c3,20.6471,0.4987,True,True,False,26.0.1,0.0,,0.99941933,722120257.0,ZTF24abzwppf
ztf,60795.39146990003,3041391465715015010,2,3041391465715,20.726076,1,3041,1.5704701,20.294504,,20.4158,0.19152875,,,0.3046,242.3063247,43.9509977,0.8142857,t17_f5_c3,20.6507,0.4837,True,False,True,26.0.1,0.0,,0.99995375,722120257.0,ZTF24abzwppf
ztf,60797.33967590006,3043339675715015011,1,3043339675715,20.8402,1,3043,1.14167,20.7151,20.504364,20.6097,0.30159,0.24345796,0.24838375,0.3172,242.3062438,43.9509339,0.337143,t17_f5_c3,20.5313,0.3779,False,True,False,26.0.1,0.0,3.043406185715015e+18,,,ZTF24abzwppf
ztf,60797.40618060017,3043406185715015010,2,3043406185715,20.709808,1,3043,1.5346737,20.143608,,20.1679,0.16204593,,,0.2603,242.3063021,43.9509836,0.7785714,t17_f5_c3,20.3547,0.3955,True,False,True,26.0.1,0.0,,0.9996897,722120257.0,ZTF24abzwppf
