tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,60917.37153939996,3163371531915015005,2,3163371531915,20.148905,1,3163,0.6941912,17.741161,15.323107,17.5225,0.08664985,100.0,0.009344284,0.0438,86.7538292,67.663195,0.8242857,t17_f5_c3,0.7382904,17.5444,0.0532,837120219.0,True,True,False,27.5.6,0.0,,ZTF24acaikhh
ztf,60917.37153939996,3163371531915015006,2,3163371531915,20.148905,1,3163,0.98510885,17.57502,15.303917,17.6766,0.054345448,100.0,0.0067099947,0.0506,86.7540115,67.6632436,0.86142856,t17_f5_c3,0.7382904,17.5458,0.0537,837120219.0,True,True,False,27.5.6,0.0,,ZTF24acaikhh
ztf,61028.27515049977,3274275151915015013,2,3274275151915,20.4238,1,3274,0.40912,17.6337,15.310993,17.434,0.104705,100.0,0.012327782,0.0366,86.753224,67.663006,0.708571,t17_f5_c3,,17.4357,0.0429,,False,True,False,27.5.7a32.dev1,0.0,3.303328223015015e+18,ZTF24acaikhh
ztf,61029.28189809993,3275281893015015014,1,3275281893015,20.5388,1,3275,0.166876,19.1006,16.025137,18.8597,0.147993,100.0,0.008710757,0.0992,86.7535279,67.6630694,0.924286,t17_f5_c3,,18.778,0.1098,,False,True,False,27.5.7a32.dev1,0.0,3.303328223015015e+18,ZTF24acaikhh
ztf,61030.214884299785,3276214881915015006,1,3276214881915,20.5224,1,3276,0.674351,18.2494,15.959536,18.205,0.183511,0.014739256,0.02226981,0.0596,86.7532714,67.6629176,0.46,t17_f5_c3,,18.1288,0.0664,,False,True,False,27.5.7a32.dev1,0.0,3.303328223015015e+18,ZTF24acaikhh
ztf,61030.31842589984,3276318421915015006,2,3276318421915,20.5306,1,3276,0.498129,18.2883,15.370474,17.8761,0.128776,100.0,0.008764043,0.0491,86.7531879,67.6629741,0.637143,t17_f5_c3,,17.7761,0.052,,False,True,False,27.5.7a32.dev1,0.0,3.303328223015015e+18,ZTF24acaikhh
ztf,61030.31842589984,3276318421915015007,2,3276318421915,20.5306,1,3276,0.369763,17.9601,15.344703,17.8571,0.065256,100.0,0.0058676107,0.0486,86.7534566,67.6631397,0.858571,t17_f5_c3,,17.8387,0.0556,,False,True,False,27.5.7a32.dev1,0.0,3.303328223015015e+18,ZTF24acaikhh
ztf,61031.278252299875,3277278253015015015,1,3277278253015,20.6376,1,3277,0.322293,18.4596,15.974894,18.2937,0.090626,100.0,0.009191153,0.0595,86.7532331,67.6630325,0.925714,t17_f5_c3,,18.2562,0.0682,,False,True,False,27.5.7a32.dev1,0.0,3.303328223015015e+18,ZTF24acaikhh
ztf,61031.362152799964,3277362153015015020,2,3277362153015,20.5711,1,3277,1.0645,18.2391,15.382838,18.1664,0.106545,100.0,0.0076741185,0.0635,86.7526883,67.6630722,0.695714,t17_f5_c3,,18.1776,0.0735,,False,True,False,27.5.7a32.dev1,0.0,3.303328223015015e+18,ZTF24acaikhh
ztf,61037.363865700085,3283363861915015009,1,3283363861915,19.9555,1,3283,0.962524,17.9284,15.915131,17.8858,0.083226,100.0,0.013030205,0.0461,86.7535122,67.6627964,0.824286,t17_f5_c3,,17.8119,0.052,,False,True,False,27.5.7a32.dev1,0.0,3.303221623015015e+18,ZTF24acaikhh
ztf,61038.25865740003,3284258653015015014,1,3284258653015,19.7268,1,3284,0.206665,18.4524,15.974161,18.4432,0.087474,100.0,0.008924487,0.1006,86.7534757,67.66297,0.941429,t17_f5_c3,,18.3729,0.1172,,False,True,False,27.5.7a32.dev1,0.0,3.303328223015015e+18,ZTF24acaikhh
ztf,61038.3136574002,3284313653015015009,2,3284313653015,19.8803,1,3284,0.469973,17.4387,15.300774,17.4844,0.048673,100.0,0.0067938757,0.0446,86.7532714,67.6631404,0.957143,t17_f5_c3,,17.4796,0.0537,,False,True,False,27.5.7a32.dev1,0.0,3.303328223015015e+18,ZTF24acaikhh
ztf,61038.3136574002,3284313653015015010,2,3284313653015,19.8803,1,3284,0.420693,17.4612,15.303886,17.745,0.056908,100.0,0.0078027477,0.0555,86.753254,67.6631164,0.9,t17_f5_c3,,17.7288,0.0663,,False,True,False,27.5.7a32.dev1,0.0,3.303328223015015e+18,ZTF24acaikhh
ztf,61049.19754630001,3295197541915015007,1,3295197541915,20.0581,1,3295,0.623165,18.6689,16.002605,18.8053,0.13025,100.0,0.011175316,0.1093,86.7534844,67.6628945,0.794286,t17_f5_c3,,18.7138,0.1224,,False,True,False,27.5.7a32.dev1,0.0,3.303221623015015e+18,ZTF24acaikhh
ztf,61049.245752300136,3295245753015015009,2,3295245753015,19.8632,1,3295,0.301994,17.536,15.313842,17.5304,0.093592,100.0,0.012088598,0.0404,86.7532916,67.6630796,0.694286,t17_f5_c3,,17.5185,0.0474,,False,True,False,27.5.7a32.dev1,0.0,3.303328223015015e+18,ZTF24acaikhh
ztf,61049.246701399796,3295246701915015008,2,3295246701915,19.8813,1,3295,0.295828,17.5804,15.304581,17.5425,0.084618,100.0,0.010402427,0.0406,86.7535199,67.6629565,0.777143,t17_f5_c3,,17.5029,0.0466,,False,True,False,27.5.7a32.dev1,0.0,3.303328223015015e+18,ZTF24acaikhh
ztf,61049.26401619986,3295264013015015013,1,3295264013015,19.7479,1,3295,0.135278,17.9056,15.903957,18.2152,0.089142,0.009847279,0.014106706,0.0611,86.7534142,67.6630588,0.811429,t17_f5_c3,,18.2637,0.0771,,False,True,False,27.5.7a32.dev1,0.0,3.303328223015015e+18,ZTF24acaikhh
ztf,61051.31858799979,3297318583015015039,2,3297318583015,19.4816,1,3297,0.20032,17.4058,15.296121,17.5343,0.082443,100.0,0.011810878,0.0407,86.7533511,67.6630637,0.618571,t17_f5_c3,,17.4591,0.0456,,False,True,False,27.5.7a32.dev1,0.0,3.303328223015015e+18,ZTF24acaikhh
ztf,61053.28751160018,3299287511915015009,1,3299287511915,19.5952,1,3299,0.55033,18.0551,15.934017,18.4688,0.159193,0.0156015465,0.022567885,0.0781,86.7532174,67.6631355,0.667143,t17_f5_c3,,18.4497,0.0936,,False,True,False,27.5.7a32.dev1,0.0,3.303328223015015e+18,ZTF24acaikhh
ztf,61055.299317100085,3301299313015015020,2,3301299313015,20.1577,1,3301,0.231218,17.4002,15.295317,17.4493,0.036967,100.0,0.00531938,0.0376,86.7533574,67.6629872,0.948571,t17_f5_c3,,17.4633,0.0451,,False,True,False,27.5.7a32.dev1,0.0,3.303328223015015e+18,ZTF24acaikhh
