tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60687.577719899826,2933577710915015000,2,2933577710915,17.5531,1,2933,0.651841,14.9014,13.101465,15.4192,0.0458,100.0,0.0087275375,0.0227,267.1867472,-1.0846149,0.542857,t17_f5_c3,15.3719,0.0272,False,True,False,26.0.1,0.0,2.943566354515015e+18,,,ZTF25aabsxom
ztf,60687.57819439983,2933578190915015000,2,2933578190915,17.511597,1,2933,1.6590931,15.797094,,15.7755,0.064821854,,,0.0327,267.1871458,-1.0845156,0.5228571,t17_f5_c3,15.6097,0.0353,True,False,True,26.0.1,0.0,,0.00013706,1479120209.0,ZTF25aabsxom
ztf,60688.57372689992,2934573720915015000,2,2934573720915,17.922546,1,2934,1.0842807,14.914531,13.103954,15.2142,0.05300753,100.0,0.010002465,0.0172,267.1869894,-1.0844476,0.47285715,t17_f5_c3,15.1417,0.0199,True,True,False,26.0.1,0.0,,0.80926466,1479120209.0,ZTF25aabsxom
ztf,60688.57418979984,2934574180915015000,2,2934574180915,18.027,1,2934,0.799031,15.3177,13.169441,15.2118,0.04251,100.0,0.0058774287,0.0175,267.186878,-1.084329,0.585714,t17_f5_c3,15.1537,0.0205,False,True,False,26.0.1,0.0,2.943566354515015e+18,,,ZTF25aabsxom
ztf,60688.57466439996,2934574660915015000,2,2934574660915,17.943512,1,2934,0.98732555,14.882108,13.097762,15.2101,0.038573835,100.0,0.007456833,0.0171,267.186957,-1.0843898,0.57,t17_f5_c3,15.1555,0.0201,True,True,False,26.0.1,0.0,,0.5341178,1479120209.0,ZTF25aabsxom
ztf,60690.57782409992,2936577824515015008,2,2936577824515,17.9667,1,2936,0.734759,15.47,13.091258,15.5519,0.041483,100.0,0.0046384535,0.0247,267.1868239,-1.0845678,0.577143,t17_f5_c3,15.475,0.0286,False,True,False,26.0.1,0.0,2.943566354515015e+18,,,ZTF25aabsxom
ztf,60691.57608800009,2937576084515015003,2,2937576084515,18.8172,1,2937,1.27713,16.0123,13.140068,16.1035,0.074625,100.0,0.005296531,0.0349,267.1868173,-1.0847505,0.448571,t17_f5_c3,15.9965,0.0391,False,True,False,26.0.1,0.0,2.967563764515015e+18,,,ZTF25aabsxom
ztf,60692.57439809991,2938574390915015001,2,2938574390915,18.9927,1,2938,0.111077,15.0531,13.128785,15.3099,0.030476,100.0,0.0051788357,0.0139,267.1866716,-1.0844703,0.76,t17_f5_c3,15.1674,0.0149,False,True,False,26.0.1,0.0,2.967563764515015e+18,,,ZTF25aabsxom
ztf,60692.57439809991,2938574390915015002,2,2938574390915,18.9927,1,2938,0.068551,14.9738,13.114894,14.9423,0.013077,100.0,0.0023601847,0.0104,267.1867038,-1.0844347,0.782857,t17_f5_c3,14.9463,0.0124,False,True,False,26.0.1,0.0,2.967563764515015e+18,,,ZTF25aabsxom
ztf,60692.57487270003,2938574870915015000,2,2938574870915,18.9759,1,2938,0.414847,15.0043,13.120337,14.9596,0.031694,100.0,0.0055897385,0.0107,267.1867964,-1.0844603,0.758571,t17_f5_c3,14.9379,0.0125,False,True,False,26.0.1,0.0,2.967563764515015e+18,,,ZTF25aabsxom
ztf,60693.56231479999,2939562310915015001,2,2939562310915,19.3928,1,2939,0.643318,14.9562,13.111696,14.9567,0.048595,100.0,0.008887721,0.0089,267.1867761,-1.0845987,0.548571,t17_f5_c3,14.9336,0.01,False,True,False,26.0.1,0.0,2.967563764515015e+18,,,ZTF25aabsxom
