tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60731.55793979997,2977557932415015064,2,2977557932415,18.3509,1,2977,0.467488,16.0019,14.256274,16.0195,0.027462,100.0,0.0055015106,0.0401,317.3317644,18.2992567,0.805714,t17_f5_c3,16.03,0.0514,False,True,False,26.0.1,0.0,3.005520405715015e+18,,,ZTF25aabywzq
ztf,60731.558877300005,2977558872415015020,2,2977558872415,18.2748,1,2977,0.154485,16.0006,14.256014,16.1212,0.043854,100.0,0.008793756,0.05,317.3316464,18.2992941,0.69,t17_f5_c3,16.1033,0.0626,False,True,False,26.0.1,0.0,3.005520405715015e+18,,,ZTF25aabywzq
ztf,60732.556631899904,2978556632415010029,2,2978556632415,18.4716,-1,2978,0.48117,16.4514,14.695554,16.5929,0.056332,100.0,0.011179343,0.0542,317.3315264,18.2991582,0.778571,t17_f5_c3,16.6001,0.0692,False,True,False,26.0.1,0.0,3.005520405715015e+18,,,ZTF25aabywzq
ztf,60732.55709489994,2978557092415010034,2,2978557092415,18.4888,-1,2978,0.404256,16.4001,14.706029,16.5146,0.047906,100.0,0.010063782,0.0532,317.3315078,18.2992763,0.861429,t17_f5_c3,16.4853,0.0658,False,True,False,26.0.1,0.0,3.005520405715015e+18,,,ZTF25aabywzq
ztf,60732.55756939994,2978557562415010020,2,2978557562415,18.3478,-1,2978,0.259307,16.622,14.664667,16.5576,0.071963,100.0,0.011862495,0.0583,317.3316492,18.2991859,0.625714,t17_f5_c3,16.5289,0.0722,False,True,False,26.0.1,0.0,3.005520405715015e+18,,,ZTF25aabywzq
ztf,60744.543831000105,2990543835715010015,2,2990543835715,19.1102,-1,2990,0.634277,16.8451,14.6093445,17.6195,0.125385,100.0,0.015993489,0.0882,317.33159,18.2990671,0.441429,t17_f5_c3,17.5652,0.1036,False,True,False,26.0.1,0.0,3.005520405715015e+18,,,ZTF25aabywzq
ztf,60750.525879600085,2996525872415015010,2,2996525872415,19.281763,1,2996,0.81049216,17.253262,14.416324,17.7166,0.1743157,100.0,0.012780897,0.088,317.3318634,18.2992885,0.30571428,t17_f5_c3,17.7258,0.1092,True,True,False,26.0.1,0.0,,0.2348544,594120224.0,ZTF25aabywzq
ztf,60753.52512730006,2999525122415010026,2,2999525122415,18.6406,-1,2999,0.309966,16.8217,14.635007,16.8043,0.077439,100.0,0.010334342,0.0487,317.3316129,18.2991703,0.83,t17_f5_c3,16.8049,0.0607,False,True,False,26.0.1,0.0,3.005520405715015e+18,,,ZTF25aabywzq
ztf,60755.51964120008,3001519645715015008,2,3001519645715,19.4784,1,3001,0.498578,16.3164,14.295534,16.2361,0.094257,100.0,0.014654372,0.0231,317.331742,18.2993316,0.805714,t17_f5_c3,16.2377,0.0277,False,True,False,26.0.1,0.0,3.005520405715015e+18,,,ZTF25aabywzq
ztf,60755.52710650023,3001527105715015007,2,3001527105715,19.4601,1,3001,0.712871,16.3902,14.3066845,16.3472,0.031498,100.0,0.004622498,0.0253,317.3317243,18.2994205,0.425714,t17_f5_c3,16.3419,0.0302,False,True,False,26.0.1,0.0,3.005520405715015e+18,,,ZTF25aabywzq
ztf,60755.52710650023,3001527105715015008,2,3001527105715,19.4601,1,3001,0.677347,16.4831,14.31983,16.4648,0.113198,100.0,0.015435846,0.0277,317.3317374,18.2994018,0.411429,t17_f5_c3,16.4086,0.0319,False,True,False,26.0.1,0.0,3.005520405715015e+18,,,ZTF25aabywzq
