tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,oid
ztf,60694.40983799985,2940409834715015003,2,2940409834715,20.351011,1,2940,1.4200556,19.196028,19.3618,0.08979472,0.1818,144.5544042,48.3865073,0.95,t17_f5_c3,0.9999999,19.45,0.2538,751120247.0,True,False,False,26.0.1,0.0,,,,,ZTF25aacdilx
ztf,60696.32340280013,2942323404715015003,1,2942323404715,19.836615,1,2942,5.7098885,19.229403,19.3643,0.16314189,0.1362,144.5543558,48.3864312,0.34857142,t17_f5_c3,0.98561823,19.5536,0.2074,751120147.0,True,False,True,26.0.1,0.0,,,,,ZTF25aacdilx
ztf,60696.34037039988,2942340374715015006,2,2942340374715,19.82324,1,2942,1.474361,19.108286,19.3569,0.15062346,0.1663,144.5543653,48.3865059,0.5271429,t17_f5_c3,0.9983617,19.3894,0.2205,751120247.0,True,False,False,26.0.1,0.0,,,,,ZTF25aacdilx
ztf,60699.387280100025,2945387284715015012,1,2945387284715,20.259111,1,2945,5.484192,19.08983,19.2375,0.11244286,0.1232,144.5544673,48.3864643,0.7128571,t17_f5_c3,0.99997675,19.3252,0.1707,751120147.0,True,False,False,26.0.1,0.0,,,,,ZTF25aacdilx
ztf,60699.47649310017,2945476494715015004,2,2945476494715,20.115328,1,2945,1.5831146,18.914736,19.1837,0.09925138,0.148,144.5543641,48.3864697,0.9128571,t17_f5_c3,0.9999865,19.3141,0.2143,751120247.0,True,False,False,26.0.1,0.0,,,,,ZTF25aacdilx
ztf,60723.226388900075,2969226384715015020,1,2969226384715,19.3148,1,2969,5.82716,19.6555,19.6268,0.274423,0.3359,144.5543269,48.3864041,0.518571,t17_f5_c3,,19.954,0.5831,,False,False,False,26.0.1,0.0,2.999193224715015e+18,,,,ZTF25aacdilx
ztf,60723.32811339991,2969328114715015015,2,2969328114715,18.709232,1,2969,1.3305361,18.53612,18.9763,0.15444724,0.4863,144.5544045,48.3865354,0.8414286,t17_f5_c3,0.99996674,18.3976,0.3674,751120247.0,True,True,False,26.0.1,0.0,,17.910997,0.0704514,0.08684226,ZTF25aacdilx
ztf,60729.307175899856,2975307174715015009,1,2975307174715,20.565603,1,2975,5.4406276,19.680658,19.7134,0.13112654,0.1825,144.554415,48.3864963,0.89,t17_f5_c3,0.9999999,19.6857,0.2282,751120147.0,True,False,False,26.0.1,0.0,,,,,ZTF25aacdilx
ztf,60731.342951400205,2977342954715015013,1,2977342954715,20.769344,1,2977,5.389618,19.644606,19.8937,0.1262269,0.2046,144.5544194,48.386511,0.9128571,t17_f5_c3,0.9999998,19.6756,0.215,751120147.0,True,False,False,26.0.1,0.0,,,,,ZTF25aacdilx
ztf,60733.267210599966,2979267214715015008,2,2979267214715,20.384851,1,2979,1.335909,18.828981,18.9829,0.08559477,0.1134,144.5544399,48.3865202,0.96,t17_f5_c3,0.99999994,18.9922,0.1468,751120247.0,True,True,False,26.0.1,0.0,,18.065865,100.0,0.04238389,ZTF25aacdilx
ztf,60733.317036999855,2979317034715015009,1,2979317034715,20.355423,1,2979,5.306798,19.567057,19.9963,0.13845061,0.2493,144.5543821,48.3865514,0.86142856,t17_f5_c3,0.99999166,19.9215,0.299,751120147.0,True,False,False,26.0.1,0.0,,,,,ZTF25aacdilx
ztf,60750.30146990018,2996301464715015004,1,2996301464715,19.966898,1,2996,5.343619,19.733395,19.8132,0.20876977,0.3641,144.5544126,48.3865283,0.8442857,t17_f5_c3,0.9999522,20.0707,0.5927,751120147.0,True,False,False,26.0.1,0.0,,,,,ZTF25aacdilx
ztf,60753.1627894002,2999162784715015007,2,2999162784715,20.45109,1,2999,1.4172744,18.900496,19.2407,0.07533994,0.1461,144.5544093,48.3865052,0.93857145,t17_f5_c3,1.0,19.2742,0.1937,751120247.0,True,False,False,26.0.1,0.0,,,,,ZTF25aacdilx
ztf,60753.19322919985,2999193224715015005,1,2999193224715,20.533548,1,2999,5.3139734,19.91506,20.2336,0.15489808,0.3108,144.5545021,48.3865064,0.8742857,t17_f5_c3,0.9999992,20.1679,0.3756,751120147.0,True,False,False,26.0.1,0.0,,,,,ZTF25aacdilx
ztf,60755.24781250022,3001247814715015005,1,3001247814715,20.4353,1,3001,5.35404,20.0065,20.0884,0.239628,0.2951,144.5544502,48.3865115,0.855714,t17_f5_c3,,20.1167,0.3887,,False,False,False,26.0.1,0.0,3.020334064715015e+18,,,,ZTF25aacdilx
