tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,60781.501527800225,3027501522315015005,2,3027501522315,18.928953,1,3027,0.8952785,18.988857,18.769176,18.9352,0.16343585,0.13210537,0.13349815,0.341,348.3551379,17.651148,0.7785714,t17_f5_c3,0.9999635,18.6404,0.334,598120223.0,True,True,False,26.0.1,0.0,,ZTF25aadupwg
ztf,60781.50393520016,3027503932315015003,2,3027503932315,18.96464,1,3027,0.7968729,19.19095,18.931326,19.1768,0.18016669,0.1400796,0.14184849,0.4174,348.3551563,17.6510405,0.7842857,t17_f5_c3,0.9998299,18.8171,0.3851,598120223.0,True,True,False,26.0.1,0.0,,ZTF25aadupwg
ztf,60785.498055600096,3031498055515015002,2,3031498055515,19.3707,1,3031,0.956455,19.1965,18.952692,19.6121,0.135041,0.10610146,0.10788023,0.4596,348.3550842,17.6510599,0.764286,t17_f5_c3,,19.7932,0.6974,,False,True,False,27.5.6,0.0,3.060477455515015e+18,ZTF25aadupwg
ztf,60785.49899310013,3031498995515015004,2,3031498995515,19.3849,1,3031,0.900585,19.3045,19.03809,20.0889,0.181225,0.14021294,0.14179257,0.7219,348.3551012,17.6511176,0.785714,t17_f5_c3,,19.7232,0.6622,,False,True,False,27.5.6,0.0,3.060477455515015e+18,ZTF25aadupwg
ztf,60785.50350689981,3031503505515015007,2,3031503505515,19.267735,1,3031,0.92297953,19.162586,18.925514,19.5931,0.16067117,0.12774503,0.1291543,0.5208,348.3550975,17.6510386,0.7214286,t17_f5_c3,0.99999475,19.3498,0.5349,1594120255.0,True,True,False,26.0.1,0.0,,ZTF25aadupwg
ztf,60787.49274310004,3033492745515015005,2,3033492745515,19.272306,1,3033,0.50315785,19.389677,19.104155,19.6423,0.20153348,0.15329872,0.154931,0.4187,348.3552186,17.6510646,0.64428574,t17_f5_c3,0.99926776,19.3638,0.4161,1594120255.0,True,True,False,26.0.1,0.0,,ZTF25aadupwg
ztf,60787.4947453998,3033494745515015005,2,3033494745515,19.426964,1,3033,0.6049198,19.276361,19.01601,18.9671,0.13837047,0.10688633,0.108868726,0.2257,348.3551867,17.6510867,0.80285716,t17_f5_c3,0.9999033,18.9685,0.2899,1594120255.0,True,True,False,26.0.1,0.0,,ZTF25aadupwg
ztf,60788.48988430016,3034489882315015003,2,3034489882315,19.787262,1,3034,0.9804444,19.308681,19.022926,19.2671,0.1214967,0.09016546,0.093381874,0.2449,348.3551,17.6510715,0.87285715,t17_f5_c3,0.99910164,19.1957,0.2942,598120223.0,True,True,False,26.0.1,0.0,,ZTF25aadupwg
ztf,60788.49565970013,3034495652315015002,2,3034495652315,19.686089,1,3034,0.99732405,19.33432,19.042578,19.856,0.13460197,0.09986654,0.10288563,0.4488,348.3550981,17.6511105,0.8957143,t17_f5_c3,0.9999863,19.7002,0.4991,598120223.0,True,True,False,26.0.1,0.0,,ZTF25aadupwg
ztf,60789.48883099994,3035488832315015003,2,3035488832315,19.552708,1,3035,1.008767,19.178925,18.921846,19.2789,0.1368157,0.10567659,0.10797042,0.251,348.3550938,17.6510365,0.9042857,t17_f5_c3,0.9999726,19.1841,0.2953,598120223.0,True,True,False,26.0.1,0.0,,ZTF25aadupwg
ztf,60789.4912268999,3035491222315015001,2,3035491222315,19.56804,1,3035,0.8079585,19.300335,19.016506,19.0657,0.15802239,0.119249344,0.121670984,0.2057,348.3551798,17.6511785,0.8385714,t17_f5_c3,0.99879754,18.9199,0.2309,598120223.0,True,True,False,26.0.1,0.0,,ZTF25aadupwg
ztf,60795.48671300011,3041486715515015009,2,3041486715515,19.648266,1,3041,0.61120427,19.591215,19.255655,19.5728,0.20933904,0.15150383,0.15368305,0.3094,348.3551857,17.6511032,0.72571427,t17_f5_c3,0.9996222,19.3098,0.3117,1594120255.0,True,True,False,26.0.1,0.0,,ZTF25aadupwg
ztf,60795.49157410022,3041491575515015007,2,3041491575515,19.633167,1,3041,0.99573797,19.570215,19.240198,19.5815,0.19034804,0.1381362,0.14045642,0.3184,348.3550733,17.6511194,0.54142857,t17_f5_c3,0.99994797,19.4291,0.3549,1594120255.0,True,True,False,26.0.1,0.0,,ZTF25aadupwg
ztf,60814.426666699816,3060426662315015001,2,3060426662315,19.1043,1,3060,1.15827,19.4742,19.147839,19.9017,0.282145,0.20710866,0.20889495,0.5501,348.3550706,17.6509526,0.445714,t17_f5_c3,,19.2611,0.3923,,False,True,False,27.5.6,0.0,3.090402432315015e+18,ZTF25aadupwg
ztf,60814.474120399915,3060474125515015003,2,3060474125515,19.4997,1,3060,0.768101,19.5032,19.190353,19.4905,0.251767,0.18716939,0.18873811,0.3082,348.3551439,17.6510403,0.644286,t17_f5_c3,,19.7851,0.5186,,False,True,False,27.5.6,0.0,3.090402432315015e+18,ZTF25aadupwg
ztf,60814.4774536998,3060477455515015008,2,3060477455515,19.544878,1,3060,0.6532282,19.722939,19.350769,19.7296,0.2064451,0.14380404,0.14653337,0.4004,348.3552111,17.6511969,0.5971429,t17_f5_c3,0.996761,19.4626,0.4021,1594120255.0,True,True,False,27.5.6,0.0,,ZTF25aadupwg
