tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,60856.27457180014,3102274575115015010,2,3102274575115,20.439592,1,3102,0.20524704,19.926607,17.948479,20.0665,0.18897913,100.0,0.03056066,0.2896,242.9671927,6.9111301,0.97,t17_f5_c3,0.9982704,19.9293,0.3213,481120251.0,True,True,False,27.5.6,0.0,,ZTF25aaggvlu
ztf,61030.56672450015,3276566722615015001,2,3276566722615,19.502428,1,3276,0.16218527,19.284035,17.856497,19.1882,0.13649139,100.0,0.036651384,0.2803,242.9672274,6.9111634,0.94714284,t17_f5_c3,0.9999274,19.1763,0.3546,1528120226.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF25aaggvlu
ztf,61049.56525459979,3295565255115015046,1,3295565255115,18.9015,1,3295,1.4355,19.6765,,18.8471,0.45537,,,0.1867,242.9668549,6.9109862,0.228571,t17_f5_c3,,18.693,0.2073,,False,False,False,27.5.7a32.dev1,0.0,3.321555992615015e+18,ZTF25aaggvlu
ztf,61052.543263900094,3298543265115015013,1,3298543265115,19.2659,1,3298,0.56107,19.2346,18.18277,19.6136,0.25094,0.09195369,0.09524398,0.2753,242.9673512,6.9111147,0.617143,t17_f5_c3,,19.57,0.3382,,False,True,True,27.5.7a32.dev1,0.0,3.321555992615015e+18,ZTF25aaggvlu
ztf,61054.56609949982,3300566092615015000,2,3300566092615,19.853954,1,3300,0.11897697,19.406357,17.888014,19.3797,0.15704328,100.0,0.03878666,0.2088,242.9671814,6.9111333,0.85714287,t17_f5_c3,0.9999925,19.5404,0.3074,1528120226.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF25aaggvlu
ztf,61057.567036999855,3303567032615015004,2,3303567032615,19.726475,1,3303,0.32933903,19.128378,17.81246,19.2459,0.17787614,0.034630466,0.052935947,0.1812,242.9672686,6.9111922,0.78,t17_f5_c3,0.9999628,19.1672,0.2142,1528120226.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF25aaggvlu
ztf,61058.52998840017,3304529985115015035,2,3304529985115,20.236814,1,3304,0.41726652,19.238691,17.803349,19.2239,0.14303167,100.0,0.0381325,0.1663,242.9672641,6.9111179,0.9657143,t17_f5_c3,0.9999933,19.0095,0.1729,481120251.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF25aaggvlu
ztf,61060.56608799985,3306566082615015002,2,3306566082615,20.216843,1,3306,0.2541676,19.33606,17.870224,19.2026,0.13399284,100.0,0.03473342,0.1744,242.9672436,6.9112025,0.8428571,t17_f5_c3,0.9999987,19.2506,0.2313,1528120226.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF25aaggvlu
ztf,61065.46893520001,3311468935115015008,2,3311468935115,19.533169,1,3311,0.36295018,19.282017,17.814732,19.6433,0.1659698,100.0,0.04296502,0.328,242.9672549,6.9111328,0.9028571,t17_f5_c3,0.9999993,19.6328,0.4142,481120251.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF25aaggvlu
ztf,61065.561805599835,3311561805115015011,2,3311561805115,19.795189,1,3311,0.11747593,19.248852,17.80605,19.4199,0.17680377,0.013419844,0.046813402,0.229,242.9671305,6.9111832,0.93142855,t17_f5_c3,0.99997056,19.3902,0.2833,481120251.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF25aaggvlu
ztf,61069.56040510023,3315560402615015008,2,3315560402615,20.3012,1,3315,0.159511,19.4064,17.888025,19.4129,0.112903,100.0,0.027884014,0.1829,242.9672245,6.9111794,0.96,t17_f5_c3,,19.4165,0.2321,,False,True,False,27.5.7a32.dev1,0.0,3.321555992615015e+18,ZTF25aaggvlu
ztf,61070.560046299826,3316560042615015005,2,3316560042615,19.856033,1,3316,0.3670429,19.60912,17.934683,19.6201,0.17868969,100.0,0.038223032,0.2399,242.9672665,6.9111082,0.8528572,t17_f5_c3,0.999663,19.5458,0.2842,1528120226.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF25aaggvlu
ztf,61074.55646990007,3320556462615015004,2,3320556462615,19.647058,1,3320,0.28958082,19.319124,17.865808,19.3695,0.15224586,100.0,0.03992266,0.2849,242.9672425,6.9111132,0.9514286,t17_f5_c3,0.9999445,19.1563,0.2993,1528120226.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF25aaggvlu
ztf,61075.555995400064,3321555992615015004,2,3321555992615,19.802341,1,3321,0.048915483,19.211525,17.836546,19.3774,0.11224953,100.0,0.031636838,0.2477,242.9671863,6.9111777,0.94285715,t17_f5_c3,0.99999964,19.6038,0.3892,1528120226.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF25aaggvlu
