tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,61037.57107640011,3283571074515010009,2,3283571074515,18.073662,-1,3283,0.5397037,14.465371,13.530923,14.5131,0.017294364,100.0,0.0073135025,0.0085,241.204999,-4.5181547,0.6028572,t17_f5_c3,0.9564213,14.484,0.0101,1424120245.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF25aamkfyh
ztf,61037.57614579983,3283576144515010030,2,3283576144515,17.406412,-1,3283,0.5488454,14.392426,13.563309,14.4878,0.021463668,100.0,0.010001318,0.0138,241.2049804,-4.5181568,0.4557143,t17_f5_c3,0.98091745,14.4388,0.0166,1424120245.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF25aamkfyh
ztf,61038.57656250009,3284576564515010018,2,3284576564515,18.409,-1,3284,2.05479,15.0466,,15.312,0.03027,,,0.0113,241.2049945,-4.5185809,0.354286,t17_f5_c3,,15.2222,0.0124,,False,False,True,27.5.7a32.dev1,0.0,3.30356851451501e+18,ZTF25aamkfyh
ztf,61038.582013899926,3284582014515010003,2,3284582014515,17.9358,-1,3284,1.48597,15.1019,,15.2916,0.037848,,,0.0149,241.2049237,-4.518415,0.464286,t17_f5_c3,,15.2319,0.0173,,False,False,True,27.5.7a32.dev1,0.0,3.30356851451501e+18,ZTF25aamkfyh
ztf,61054.56802080013,3300568024515010000,2,3300568024515,19.640408,-1,3300,0.56514174,14.986743,13.368597,15.0492,0.04017235,100.0,0.0090504205,0.0075,241.2050146,-4.5181605,0.69142854,t17_f5_c3,0.98921835,15.0402,0.0083,1424120245.0,True,True,True,27.5.7a32.dev1,0.0,,ZTF25aamkfyh
ztf,61057.568518499844,3303568514515010000,2,3303568514515,19.446163,-1,3303,0.705786,14.930231,13.381744,14.9765,0.035402,100.0,0.008504196,0.007,241.2049864,-4.5181988,0.7942857,t17_f5_c3,0.99819744,14.9651,0.0078,1424120245.0,True,True,True,27.5.7a32.dev1,0.0,,ZTF25aamkfyh
ztf,61060.567569400184,3306567564515010000,2,3306567564515,20.141684,-1,3306,0.052790903,14.671253,13.454378,14.7889,0.096616626,0.011881669,0.031499382,0.0057,241.2050076,-4.5179995,0.5442857,t17_f5_c3,0.9269788,14.7807,0.0061,1424120245.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF25aamkfyh
ztf,61070.5610301001,3316561034515010002,2,3316561034515,19.734941,-1,3316,0.31827414,14.87378,13.395754,14.9522,0.024456553,100.0,0.006268805,0.0066,241.2050084,-4.5180912,0.75857145,t17_f5_c3,0.99982953,14.9403,0.0071,1424120245.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF25aamkfyh
ztf,61074.557453699876,3320557454515010001,2,3320557454515,19.369656,-1,3320,0.54617405,15.519552,13.277651,15.8327,0.088361934,100.0,0.011207392,0.0177,241.2051143,-4.5180979,0.64285713,t17_f5_c3,0.8704608,15.832,0.0203,1424120245.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF25aamkfyh
ztf,61075.55754629988,3321557544515015009,2,3321557544515,19.45255,1,3321,0.5127219,15.230218,12.999157,15.1387,0.058711953,100.0,0.0075214584,0.0093,241.2049708,-4.5178605,0.70714283,t17_f5_c3,0.99897885,15.1196,0.0101,1424120245.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF25aamkfyh
ztf,61076.55733799981,3322557334515010025,2,3322557334515,16.936094,-1,3322,0.20130587,14.696564,13.446253,14.8027,0.04510518,100.0,0.014259425,0.0468,241.2050354,-4.5180408,0.58285713,t17_f5_c3,0.9960371,14.7754,0.0581,1424120245.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF25aamkfyh
ztf,61077.5548843001,3323554884515010000,2,3323554884515,19.854006,-1,3323,0.35122886,15.226862,13.321118,15.43,0.12300813,100.0,0.021263575,0.0111,241.2050807,-4.5180486,0.47857141,t17_f5_c3,0.78936934,15.4281,0.0123,1424120245.0,True,True,False,27.5.7a32.dev1,0.0,,ZTF25aamkfyh
