tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,60786.34797450015,3032347973515015015,1,3032347973515,20.049744,1,3032,0.7058805,19.408785,19.182623,19.0961,0.13584182,0.10913397,0.110298194,0.1632,239.713255,69.9082921,0.68142855,t17_f5_c3,0.9993666,18.8025,0.1596,846120135.0,True,True,False,26.0.1,0.0,,ZTF25aanpuox
ztf,60787.38835649984,3033388354615015006,1,3033388354615,20.776165,1,3033,0.4272805,19.346947,19.131786,19.2255,0.09436383,0.07634051,0.07740015,0.096,239.7133791,69.9082443,0.9357143,t17_f5_c3,1.0,19.2104,0.1202,847120146.0,True,True,False,26.0.1,0.0,,ZTF25aanpuox
ztf,60787.465451399796,3033465454615015001,2,3033465454615,20.43372,1,3033,0.34925303,19.591824,19.252895,19.7764,0.1447271,0.1052307,0.105920225,0.2192,239.7133799,69.9082599,0.93142855,t17_f5_c3,0.99999976,19.8077,0.2888,847120246.0,True,True,False,26.0.1,0.0,,ZTF25aanpuox
ztf,60788.30817130022,3034308173515015003,1,3034308173515,20.7555,1,3034,0.6005312,19.408524,19.18241,19.3882,0.1085018,0.086641796,0.08810317,0.1119,239.7132523,69.9082485,0.9357143,t17_f5_c3,0.9999957,19.3656,0.1393,846120135.0,True,True,False,26.0.1,0.0,,ZTF25aanpuox
ztf,60788.373182899784,3034373183515015000,2,3034373183515,20.56272,1,3034,0.11628489,19.379856,19.090103,19.0616,0.14463866,0.10950445,0.110760055,0.0963,239.7132157,69.9082474,0.6942857,t17_f5_c3,0.9981146,18.9858,0.1144,846120235.0,True,True,False,26.0.1,0.0,,ZTF25aanpuox
ztf,60789.37016199995,3035370164615015005,1,3035370164615,20.744627,1,3035,0.47720376,19.320763,19.110264,19.3907,0.11218635,0.09156353,0.092414595,0.1091,239.7134228,69.9082752,0.93714285,t17_f5_c3,0.99999976,19.3841,0.1378,847120146.0,True,True,False,26.0.1,0.0,,ZTF25aanpuox
ztf,60795.28439809987,3041284394615015004,2,3041284394615,20.454144,1,3041,0.4024416,19.320107,19.047628,19.243,0.109159075,0.08434212,0.084931426,0.1333,239.713339,69.9082647,0.95,t17_f5_c3,0.9999977,19.2312,0.1682,847120246.0,True,True,False,26.0.1,0.0,,ZTF25aanpuox
ztf,60795.31645830022,3041316454615015003,1,3041316454615,20.612347,1,3041,0.52455,19.373533,19.153545,19.3091,0.102223925,0.08245329,0.08347525,0.1117,239.7133808,69.9082819,0.9514286,t17_f5_c3,0.9999851,19.2074,0.1295,847120146.0,True,True,False,26.0.1,0.0,,ZTF25aanpuox
ztf,60796.36488430016,3042364883515015007,1,3042364883515,20.811943,1,3042,0.7298794,19.412594,19.185715,19.4166,0.12911351,0.10353239,0.10476584,0.1044,239.7131809,69.9082759,0.9,t17_f5_c3,0.999939,19.3436,0.1239,846120135.0,True,True,False,26.0.1,0.0,,ZTF25aanpuox
ztf,60797.343275499996,3043343274615015005,1,3043343274615,20.769323,1,3043,0.5146702,19.529028,19.278803,19.5784,0.12667094,0.0995303,0.100597516,0.1324,239.7133725,69.9082766,0.9071429,t17_f5_c3,0.9999986,19.5931,0.1708,847120146.0,True,True,False,26.0.1,0.0,,ZTF25aanpuox
