tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60829.37675930001,3075376754515015022,1,3075376754515,20.6189,1,3075,0.420257,19.6094,17.222305,19.7236,0.205289,0.017042372,0.02277864,0.1807,291.4954913,-8.8021749,0.84,t17_f5_c3,19.7571,0.236,False,True,False,27.5.6,0.0,3.101360484515015e+18,,,ZTF25aaykkus
ztf,60832.3978587999,3078397854515015020,1,3078397854515,20.288,1,3078,0.497456,19.5595,17.216654,19.7302,0.20959,0.018992282,0.024223235,0.221,291.4954023,-8.8021921,0.822857,t17_f5_c3,19.82,0.3049,False,True,False,27.5.6,0.0,3.101360484515015e+18,,,ZTF25aaykkus
ztf,60832.45866899984,3078458664515015023,2,3078458664515,20.6392,1,3078,0.677712,18.8681,16.389233,18.9364,0.16231,100.0,0.01655003,0.0994,291.4953227,-8.8021895,0.62,t17_f5_c3,18.9328,0.1234,False,True,False,27.5.6,0.0,3.101360484515015e+18,,,ZTF25aaykkus
ztf,60841.28244209988,3087282444515015019,1,3087282444515,19.3776,1,3087,0.364522,18.732,17.081953,18.7997,0.124456,0.023767937,0.027226808,0.1937,291.4955041,-8.8021526,0.907143,t17_f5_c3,18.8054,0.2494,False,True,False,27.5.6,0.0,3.101360484515015e+18,,,ZTF25aaykkus
ztf,60843.320208299905,3089320204515015019,1,3089320204515,19.901,1,3089,0.584487,19.4021,17.197252,19.0315,0.176755,0.017888011,0.023197044,0.1511,291.4955091,-8.8022191,0.85,t17_f5_c3,18.8655,0.1656,False,True,False,27.5.6,0.0,3.101360484515015e+18,,,ZTF25aaykkus
ztf,60843.38274310017,3089382744515015021,2,3089382744515,20.141,1,3089,0.40328,18.5521,16.352463,18.5521,0.104749,100.0,0.013813231,0.0952,291.4954153,-8.8021627,0.9,t17_f5_c3,18.4157,0.1065,False,True,False,27.5.6,0.0,3.101360484515015e+18,,,ZTF25aaykkus
ztf,60847.39799770014,3093397994515015026,1,3093397994515,20.2673,1,3093,0.362575,19.1921,17.167265,19.0875,0.165803,0.021289753,0.025683716,0.1121,291.4954655,-8.8021643,0.888571,t17_f5_c3,19.0046,0.1316,False,True,False,27.5.6,0.0,3.101360484515015e+18,,,ZTF25aaykkus
ztf,60849.31293979986,3095312934515015025,2,3095312934515,20.6977,1,3095,0.332473,18.3535,16.324099,18.3259,0.118947,0.004605996,0.018348178,0.0554,291.4954189,-8.8021423,0.768571,t17_f5_c3,18.3842,0.0722,False,True,False,27.5.6,0.0,3.101360484515015e+18,,,ZTF25aaykkus
ztf,60849.333738400135,3095333734515015026,1,3095333734515,20.6267,1,3095,0.131092,18.779,17.092062,18.9372,0.100262,0.016425384,0.021201245,0.0901,291.4954505,-8.8020271,0.948571,t17_f5_c3,18.8761,0.1082,False,True,False,27.5.6,0.0,3.101360484515015e+18,,,ZTF25aaykkus
ztf,60851.29689810006,3097296894515015017,2,3097296894515,20.2401,1,3097,0.045429,18.9257,16.394968,18.794,0.153359,100.0,0.014907913,0.1082,291.4954711,-8.8020718,0.84,t17_f5_c3,18.9678,0.16,False,True,False,27.5.6,0.0,3.101360484515015e+18,,,ZTF25aaykkus
ztf,60851.397916700225,3097397914515025020,2,3097397914515,20.4237,1,3097,0.865869,18.5956,16.3581,18.6167,0.117739,100.0,0.014994101,0.083,291.4954482,-8.802301,0.874286,t17_f5_c3,18.5639,0.099,False,True,False,27.5.6,0.0,3.101360484515015e+18,,,ZTF25aaykkus
ztf,60853.29800930014,3099298004515015017,1,3099298004515,20.1268,1,3099,0.649752,19.6052,17.221838,19.5268,0.171666,0.011708856,0.019113474,0.1919,291.4953887,-8.8022341,0.924286,t17_f5_c3,19.6075,0.2631,False,True,False,27.5.6,0.0,3.101360484515015e+18,,,ZTF25aaykkus
ztf,60855.36048609996,3101360484515015071,2,3101360484515,19.7314,1,3101,1.2559953,18.429592,16.335495,18.3936,0.19000739,0.020985909,0.02761413,0.0805,291.4957268,-8.8023027,0.39857143,t17_f5_c3,18.2486,0.0888,True,True,False,27.5.6,0.0,,0.8412291,386120245.0,ZTF25aaykkus
