tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60901.37065970013,3147370652215025004,2,3147370652215,19.8227,1,3147,0.94123,18.5811,18.512737,18.435,0.063333,0.059262436,0.059468213,0.108,12.610015,38.6113796,0.93,t17_f5_c3,18.6482,0.1681,False,True,False,27.5.6,0.0,3.176379932215015e+18,,,ZTF25abdezjm
ztf,60901.48503470002,3147485032215015003,1,3147485032215,19.2634,1,3147,1.57297,18.8756,,18.7919,0.139715,,,0.2408,12.6099995,38.6113639,0.825714,t17_f5_c3,18.7044,0.2851,False,False,False,27.5.6,0.0,3.176379932215015e+18,,,ZTF25abdezjm
ztf,60904.30100690015,3150301002215015007,1,3150301002215,20.4905,1,3150,1.76832,19.151,,19.2336,0.086704,,,0.1185,12.610069,38.6113995,0.901429,t17_f5_c3,19.1952,0.1461,False,False,False,27.5.6,0.0,3.176379932215015e+18,,,ZTF25abdezjm
ztf,60904.42918979982,3150429182215015022,2,3150429182215,20.7259,1,3150,1.01253,18.7872,18.705076,18.822,0.072681,0.067127325,0.06738618,0.0739,12.6100723,38.611391,0.915714,t17_f5_c3,18.8812,0.099,False,True,False,27.5.6,0.0,3.176379932215015e+18,,,ZTF25abdezjm
ztf,60908.3595718001,3154359572215015030,1,3154359572215,20.3638,1,3154,1.7555,19.5637,,19.5836,0.130027,,,0.1969,12.6100426,38.6114067,0.831429,t17_f5_c3,19.7117,0.2831,False,False,False,27.5.6,0.0,3.176379932215015e+18,,,ZTF25abdezjm
ztf,60908.427511599846,3154427512215015022,2,3154427512215,20.5853,1,3154,1.06117,18.8531,18.766037,19.002,0.066764,0.061302397,0.061619334,0.0961,12.6100533,38.6114096,0.941429,t17_f5_c3,19.0316,0.1256,False,True,False,27.5.6,0.0,3.176379932215015e+18,,,ZTF25abdezjm
ztf,60910.41438659979,3156414382215015030,1,3156414382215,20.7123,1,3156,1.81923,19.7586,,19.6613,0.112916,,,0.1462,12.6101107,38.6114021,0.821429,t17_f5_c3,19.5314,0.1656,False,False,False,27.5.6,0.0,3.176379932215015e+18,,,ZTF25abdezjm
ztf,60910.457326400094,3156457322215015013,2,3156457322215,20.6332,1,3156,1.0313,18.865,18.777016,18.8956,0.068676,0.06301558,0.063330226,0.0812,12.6100875,38.6113901,0.947143,t17_f5_c3,18.8843,0.102,False,True,False,27.5.6,0.0,3.176379932215015e+18,,,ZTF25abdezjm
ztf,60912.39640050009,3158396402215015043,1,3158396402215,20.7209,1,3158,1.79849,19.8743,,19.6879,0.133441,,,0.1531,12.6101033,38.6114002,0.534286,t17_f5_c3,19.5926,0.1792,False,False,False,27.5.6,0.0,3.176379932215015e+18,,,ZTF25abdezjm
ztf,60912.44848380005,3158448482215015018,2,3158448482215,20.478,1,3158,1.06045,19.06,18.955513,19.1829,0.088441,0.07998202,0.08032655,0.1305,12.6100468,38.6114114,0.802857,t17_f5_c3,19.1729,0.165,False,True,False,27.5.6,0.0,3.176379932215015e+18,,,ZTF25abdezjm
ztf,60916.34165510023,3162341652215015022,1,3162341652215,20.612,1,3162,1.95607,20.3402,,20.075,0.183634,,,0.2215,12.6101413,38.6114368,0.504286,t17_f5_c3,19.8548,0.2315,False,False,False,27.5.6,0.0,3.176379932215015e+18,,,ZTF25abdezjm
ztf,60916.40589120006,3162405892215015009,2,3162405892215,20.6533,1,3162,1.04499,19.1305,19.019352,19.2424,0.075013,0.06725348,0.06771376,0.108,12.6100862,38.6113948,0.928571,t17_f5_c3,19.2987,0.1449,False,True,False,27.5.6,0.0,3.176379932215015e+18,,,ZTF25abdezjm
ztf,60918.36487270007,3164364872215015037,2,3164364872215,20.6896,1,3164,1.05586,19.2177,19.097752,18.9927,0.070478,0.06253527,0.06310653,0.0869,12.6100997,38.6113973,0.852857,t17_f5_c3,18.92,0.1035,False,True,False,27.5.6,0.0,3.176379932215015e+18,,,ZTF25abdezjm
ztf,60918.415636599995,3164415632215015022,1,3164415632215,20.7015,1,3164,1.93268,20.316,,20.4953,0.199079,,,0.3007,12.6101402,38.6114294,0.528571,t17_f5_c3,20.6061,0.426,False,False,False,27.5.6,0.0,3.176379932215015e+18,,,ZTF25abdezjm
ztf,60920.411215300206,3166411212215015033,2,3166411212215,20.7406,1,3166,1.08239,19.2602,19.135729,19.0163,0.093456,0.08287011,0.08333325,0.0867,12.6101084,38.6114,0.757143,t17_f5_c3,18.9266,0.1015,False,True,False,27.5.6,0.0,3.176379932215015e+18,,,ZTF25abdezjm
ztf,60922.45458329981,3168454582215015025,1,3168454582215,20.7308,1,3168,1.77467,20.6711,,20.3835,0.256272,,,0.2846,12.6100973,38.6113981,0.231429,t17_f5_c3,20.6558,0.4679,False,False,False,27.5.6,0.0,3.176379932215015e+18,,,ZTF25abdezjm
ztf,60922.48571760021,3168485712215015024,2,3168485712215,20.643,1,3168,0.991634,19.3578,19.222322,19.1925,0.088645,0.07766711,0.0782462,0.1104,12.6101181,38.6113698,0.892857,t17_f5_c3,19.2701,0.1512,False,True,False,27.5.6,0.0,3.176379932215015e+18,,,ZTF25abdezjm
ztf,60924.402905100025,3170402902215015007,2,3170402902215,19.9997,1,3170,1.07616,19.4356,19.290703,19.6493,0.153195,0.1336732,0.13405572,0.3134,12.6100249,38.6114153,0.73,t17_f5_c3,19.7712,0.4501,False,True,False,27.5.6,0.0,3.176379932215015e+18,,,ZTF25abdezjm
ztf,60926.4681712999,3172468172215015003,2,3172468172215,19.8101,1,3172,1.0626,19.3779,19.240044,19.2591,0.150683,0.13236383,0.13271573,0.2642,12.6100313,38.6114114,0.581429,t17_f5_c3,19.1831,0.3163,False,True,False,27.5.6,0.0,3.176379932215015e+18,,,ZTF25abdezjm
ztf,60930.37993060006,3176379932215015002,2,3176379932215,20.142075,1,3176,1.1043503,19.628752,19.45776,19.6156,0.122394,0.10389108,0.104559384,0.2691,12.6099897,38.6114287,0.81714284,t17_f5_c3,19.7245,0.3815,True,True,False,27.5.6,0.0,,0.99993837,695120222.0,ZTF25abdezjm
