tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,oid
ztf,60923.431330999825,3169431330315015002,1,3169431330315,19.485619,1,3169,0.1708121,19.413994,18.885979,19.6907,0.21186788,0.12911646,0.13027431,0.4238,94.7467983,73.132895,0.89,t17_f5_c3,0.99994445,19.6383,0.5185,857120103.0,True,True,False,27.5.6,0.0,,ZTF25abhfizs
ztf,60923.51797450008,3169517970315015001,2,3169517970315,20.058794,1,3169,0.23574044,19.216417,18.464634,19.3066,0.10997021,0.052496843,0.055025194,0.2112,94.7466251,73.1329713,0.93857145,t17_f5_c3,0.9999964,18.9186,0.19,857120203.0,True,True,False,27.5.6,0.0,,ZTF25abhfizs
ztf,60925.45156250009,3171451560315015002,2,3171451560315,19.44604,1,3171,0.2173022,19.180288,18.446405,19.1119,0.14801879,0.07352822,0.07529459,0.3162,94.7466277,73.1329627,0.88857144,t17_f5_c3,0.995523,19.5788,0.6238,857120203.0,True,True,False,27.5.6,0.0,,ZTF25abhfizs
ztf,60927.43239580002,3173432390315015004,2,3173432390315,19.592072,1,3173,0.22091427,19.339043,18.524261,19.7974,0.18055244,0.083450705,0.085249245,0.4708,94.7466732,73.1329807,0.94714284,t17_f5_c3,0.9998325,19.4343,0.4336,857120203.0,True,True,False,27.5.6,0.0,,ZTF25abhfizs
ztf,60929.40600690013,3175406000315015004,2,3175406000315,19.446957,1,3175,0.21998605,19.219427,18.466139,19.7256,0.16527501,0.080915876,0.08258321,0.483,94.7466612,73.1329736,0.94714284,t17_f5_c3,0.9996568,19.3446,0.437,857120203.0,True,True,False,27.5.6,0.0,,ZTF25abhfizs
ztf,60933.408703700174,3179408700315015003,2,3179408700315,19.977848,1,3179,0.25362727,19.47922,18.588198,19.736,0.157654,0.06688514,0.069389924,0.307,94.7465874,73.1329663,0.9671429,t17_f5_c3,0.9999871,19.9455,0.4781,857120203.0,True,True,False,27.5.6,0.0,,ZTF25abhfizs
ztf,60935.37123840023,3181371230315015003,1,3181371230315,20.127588,1,3181,0.20241793,19.91263,19.16473,20.3294,0.19774838,0.09674075,0.09930087,0.4489,94.7468918,73.1329909,0.9071429,t17_f5_c3,0.9815285,20.4283,0.6305,857120103.0,True,True,False,27.5.6,0.0,,ZTF25abhfizs
ztf,60939.37506939983,3185375060315015005,1,3185375060315,20.1348,1,3185,0.587352,20.1614,19.282541,20.4008,0.26609,0.11577403,0.11843629,0.415,94.7464347,73.1330733,0.855714,t17_f5_c3,,20.4251,0.5444,,False,True,False,27.5.6,0.0,3.207427550315015e+18,ZTF25abhfizs
ztf,60939.40795140015,3185407950315015015,2,3185407950315,20.032866,1,3185,0.44378734,19.63365,18.65348,19.519,0.17833197,0.06959087,0.07230384,0.2101,94.7464003,73.1329561,0.8971428,t17_f5_c3,0.9994247,19.7064,0.3198,857120203.0,True,True,False,27.5.6,0.0,,ZTF25abhfizs
ztf,60942.39717590017,3188397170315015003,1,3188397170315,20.245,1,3188,0.098576,20.2545,19.322996,20.2335,0.220501,0.089835346,0.09349952,0.363,94.7466968,73.1329296,0.885714,t17_f5_c3,,20.128,0.4219,,False,True,False,27.5.6,0.0,3.207427550315015e+18,ZTF25abhfizs
ztf,60950.33831019979,3196338310315015006,1,3196338310315,19.7411,1,3196,0.583384,20.1811,19.291265,20.0105,0.311668,0.13500093,0.13732764,0.4242,94.7465836,73.1327897,0.702857,t17_f5_c3,,19.5286,0.3497,,False,True,False,27.5.6,0.0,3.207427550315015e+18,ZTF25abhfizs
ztf,60950.4074074002,3196407400315015004,2,3196407400315,20.268261,1,3196,0.23983593,19.63276,18.653118,19.9824,0.117534645,0.043455787,0.0476771,0.313,94.7466281,73.1329756,0.94,t17_f5_c3,0.99999917,19.5814,0.2782,857120203.0,True,True,False,27.5.6,0.0,,ZTF25abhfizs
ztf,60952.3506713002,3198350670315015003,2,3198350670315,19.4939,1,3198,0.338145,19.6856,18.674244,19.6521,0.283493,0.10988118,0.11168634,0.4016,94.7466243,73.1330136,0.907143,t17_f5_c3,,19.3253,0.3818,,False,True,False,27.5.6,0.0,3.207427550315015e+18,ZTF25abhfizs
ztf,60954.45082180016,3200450820315015003,2,3200450820315,19.7346,1,3200,0.330096,19.7483,18.698515,19.8069,0.253383,0.09415719,0.09635264,0.4624,94.746517,73.1329613,0.735714,t17_f5_c3,,19.681,0.5291,,False,True,False,27.5.6,0.0,3.207427550315015e+18,ZTF25abhfizs
ztf,60961.42755790008,3207427550315015008,2,3207427550315,20.177948,1,3207,0.38934946,20.123209,18.826305,20.3692,0.20253974,0.056863118,0.06134066,0.4878,94.7464486,73.1329545,0.94857144,t17_f5_c3,0.99988794,20.2733,0.5747,857120203.0,True,True,False,27.5.6,0.0,,ZTF25abhfizs
