tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,60927.3154397998,3173315434215015007,1,3173315434215,19.0341,1,3173,0.766472,18.9293,16.350971,19.6547,0.188401,100.0,0.017528778,0.6109,317.852928,-16.5088687,0.684286,t17_f5_c3,19.5668,0.7195,False,True,False,27.5.6,0.0,3.203210774215015e+18,,,ZTF25abqsbxy
ztf,60928.267152800225,3174267154215015007,1,3174267154215,19.5672,1,3174,0.821055,19.0269,16.359692,19.5263,0.144236,100.0,0.012364889,0.3891,317.8528906,-16.5088464,0.837143,t17_f5_c3,19.4147,0.4457,False,True,False,27.5.6,0.0,3.203210774215015e+18,,,ZTF25abqsbxy
ztf,60932.2540972,3178254094215015008,3,3178254094215,19.8202,1,3178,0.80219,18.4061,16.166416,18.3275,0.077422,100.0,0.009839918,0.1178,317.8529116,-16.5088418,0.84,t17_f5_c3,18.3292,0.1464,False,True,False,27.5.6,0.0,3.207167024215015e+18,,,ZTF25abqsbxy
ztf,60932.35289350012,3178352894215015010,1,3178352894215,19.3586,1,3178,0.826742,18.3603,16.283522,18.5669,0.092294,100.0,0.013628942,0.1719,317.8528526,-16.5088441,0.922857,t17_f5_c3,18.3589,0.1797,False,True,False,27.5.6,0.0,3.207167024215015e+18,,,ZTF25abqsbxy
ztf,60933.227858799975,3179227854215015014,2,3179227854215,20.273142,1,3179,1.0245862,18.236288,16.133898,18.339,0.08520585,100.0,0.012288902,0.0769,317.8529136,-16.5087914,0.87285715,t17_f5_c3,18.3299,0.093,True,True,False,27.5.6,0.0,,0.99607074,339120242.0,ZTF25abqsbxy
ztf,60933.23356480012,3179233564215015013,3,3179233564215,19.81226,1,3179,0.9319789,18.266676,16.147673,18.2161,0.07844468,100.0,0.011141984,0.1088,317.8528889,-16.5088018,0.82857144,t17_f5_c3,18.2107,0.1345,True,True,False,27.5.6,0.0,,0.9999258,339120342.0,ZTF25abqsbxy
ztf,60933.26703700004,3179267034215015005,1,3179267034215,20.225014,1,3179,0.789889,18.351961,16.282286,18.4634,0.082024656,100.0,0.012191987,0.0817,317.8529062,-16.5088573,0.95285714,t17_f5_c3,18.5343,0.1062,True,True,False,27.5.6,0.0,,0.99999034,339120142.0,ZTF25abqsbxy
ztf,60934.21312499978,3180213124215015017,3,3180213124215,19.830654,1,3180,0.93318814,18.245136,17.331018,18.4619,0.09905877,100.0,0.04268207,0.1326,317.8529564,-16.5088131,0.79,t17_f5_c3,18.4075,0.1569,True,True,False,27.5.6,0.0,,0.9998488,339120342.0,ZTF25abqsbxy
ztf,60934.26468749996,3180264684215015011,2,3180264684215,20.206398,1,3180,0.78316116,18.194382,16.127752,18.2834,0.081829265,100.0,0.01219711,0.0777,317.8528233,-16.5088558,0.88,t17_f5_c3,18.3108,0.0978,True,True,False,27.5.6,0.0,,0.9998915,339120242.0,ZTF25abqsbxy
ztf,60934.294108800124,3180294104215015004,1,3180294104215,19.968235,1,3180,0.98513705,18.289791,16.272818,18.4843,0.1269238,100.0,0.019804027,0.1023,317.8528334,-16.5088012,0.8957143,t17_f5_c3,18.4084,0.1185,True,True,False,27.5.6,0.0,,0.9781929,339120142.0,ZTF25abqsbxy
ztf,60935.20314810006,3181203144215015018,2,3181203144215,17.887936,1,3181,0.92654514,17.652403,16.027737,17.7972,0.12963401,100.0,0.029030358,0.3876,317.8528163,-16.5088163,0.58285713,t17_f5_c3,17.8262,0.5101,True,True,False,27.5.6,0.0,,0.99053884,339120242.0,ZTF25abqsbxy
ztf,60938.19413190009,3184194134215015021,2,3184194134215,20.322578,1,3184,0.7610549,17.96839,16.090937,18.0167,0.057949554,100.0,0.010281791,0.0586,317.8529058,-16.5088646,0.85142857,t17_f5_c3,17.9422,0.067,True,True,False,27.5.6,0.0,,0.9999,339120242.0,ZTF25abqsbxy
ztf,60938.213148099836,3184213144215015016,3,3184213144215,19.81717,1,3184,0.81147045,17.992645,16.104279,18.1454,0.07955363,100.0,0.013973748,0.1,317.852931,-16.5088437,0.81142855,t17_f5_c3,18.0833,0.1172,True,True,False,27.5.6,0.0,,0.99996686,339120342.0,ZTF25abqsbxy
ztf,60938.219490699936,3184219494215015019,2,3184219494215,20.271538,1,3184,0.8971071,18.081924,16.110233,18.2093,0.056837503,100.0,0.009246099,0.0701,317.8529927,-16.5088571,0.86714286,t17_f5_c3,18.1673,0.0827,True,True,False,27.5.6,0.0,,0.9999505,339120242.0,ZTF25abqsbxy
ztf,60938.26553239999,3184265534215015011,1,3184265534215,20.224335,1,3184,0.7866886,18.224037,16.262291,18.2772,0.07316401,100.0,0.012011557,0.0733,317.8529634,-16.5088751,0.9142857,t17_f5_c3,18.2339,0.0864,True,True,False,27.5.6,0.0,,0.9991465,339120142.0,ZTF25abqsbxy
ztf,60939.19262730004,3185192624215015014,3,3185192624215,19.803434,1,3185,0.7886091,17.95541,16.097645,17.875,0.07663345,100.0,0.013845608,0.0774,317.8529271,-16.5088502,0.8842857,t17_f5_c3,17.8034,0.0899,True,True,False,27.5.6,0.0,,0.9999988,339120342.0,ZTF25abqsbxy
ztf,60941.230763900094,3187230764215015020,2,3187230764215,19.89639,1,3187,0.83768916,17.809965,16.061087,17.8793,0.078140646,100.0,0.015607232,0.0611,317.8529615,-16.508856,0.9142857,t17_f5_c3,17.9041,0.0774,True,True,False,27.5.6,0.0,,0.9999966,339120242.0,ZTF25abqsbxy
ztf,60941.23170140013,3187231704215015020,2,3187231704215,19.940817,1,3187,0.9577148,17.822899,16.063658,17.867,0.05480975,100.0,0.010843303,0.0605,317.8529539,-16.5088207,0.8542857,t17_f5_c3,17.8838,0.0761,True,True,False,27.5.6,0.0,,0.99999785,339120242.0,ZTF25abqsbxy
ztf,60941.25373840006,3187253734215015012,3,3187253734215,19.087084,1,3187,0.66825104,17.854443,16.078693,17.512,0.08038756,100.0,0.01566351,0.0979,317.8528393,-16.5088759,0.75714284,t17_f5_c3,17.429,0.1149,True,True,False,27.5.6,0.0,,0.9998933,339120342.0,ZTF25abqsbxy
ztf,60941.25373840006,3187253734215025012,3,3187253734215,19.0871,1,3187,0.668251,17.8544,16.078684,17.512,0.080388,100.0,0.015664062,0.0979,317.8528393,-16.5088759,0.757143,t17_f5_c3,17.429,0.1149,False,True,False,27.5.7a32.dev1,0.0,3.215144564215015e+18,,,ZTF25abqsbxy
ztf,60942.149733799975,3188149734215015014,1,3188149734215,20.075558,1,3188,0.83479404,18.361155,16.283648,18.506,0.07624869,100.0,0.011252,0.0951,317.8529572,-16.5088549,0.92714286,t17_f5_c3,18.5019,0.1169,True,True,False,27.5.6,0.0,,0.9999535,339120142.0,ZTF25abqsbxy
ztf,60942.24021989992,3188240214215015014,3,3188240214215,19.507544,1,3188,0.9297216,17.838337,16.075537,17.9114,0.06917989,100.0,0.01364142,0.0947,317.8529246,-16.5088083,0.8757143,t17_f5_c3,17.8617,0.1132,True,True,False,27.5.6,0.0,,0.9999935,339120342.0,ZTF25abqsbxy
