tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magap,sigmapsf,sigmagap,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,step_id_corr,phase,magpsf_corr,sigmapsf_corr,sigmapsf_corr_ext,parent_candid,oid
ztf,61015.0874073999,3261087402815015006,1,3261087402815,19.647264,1,3261,1.483836,18.857271,18.8576,0.10380933,0.1656,359.3639726,-2.9061628,0.9342857,t17_f5_c3,0.9999963,18.7598,0.1942,396120128.0,True,False,False,27.5.7a32.dev1,0.0,,,,,ZTF25acazvii
ztf,61015.150381899904,3261150382815015006,2,3261150382815,19.823507,1,3261,0.48351562,18.232355,18.4742,0.055682823,0.1177,359.363969,-2.906158,0.9285714,t17_f5_c3,1.0,18.5459,0.1613,396120228.0,True,True,False,27.5.7a32.dev1,0.0,18.061565,0.0444812,0.04757792,,ZTF25acazvii
ztf,61017.11228010012,3263112282815015001,1,3263112282815,19.73572,1,3263,1.575488,18.927917,19.0596,0.14566717,0.119,359.364012,-2.906187,0.6185714,t17_f5_c3,0.99987876,18.9921,0.1431,396120128.0,True,False,False,27.5.7a32.dev1,0.0,,,,,ZTF25acazvii
ztf,61017.192546300124,3263192542815015002,2,3263192542815,20.08683,1,3263,0.477314,18.180058,18.1397,0.060810257,0.0753,359.3639786,-2.9061589,0.92714286,t17_f5_c3,0.99975026,18.2407,0.1055,396120228.0,True,True,False,27.5.7a32.dev1,0.0,18.016726,0.049745377,0.05231714,,ZTF25acazvii
ztf,61021.12957180012,3267129572815015003,1,3267129572815,20.420362,1,3267,1.469486,18.95447,18.8608,0.07695244,0.1012,359.3639517,-2.9061571,0.96,t17_f5_c3,0.9999999,18.9073,0.1351,396120128.0,True,False,False,27.5.7a32.dev1,0.0,,,,,ZTF25acazvii
ztf,61021.17608800018,3267176082815015006,2,3267176082815,20.251678,1,3267,0.5050034,18.187294,18.1367,0.055592034,0.063,359.3639597,-2.906161,0.9357143,t17_f5_c3,1.0,18.0226,0.0725,396120228.0,True,True,False,27.5.7a32.dev1,0.0,18.022947,0.04491901,0.04778309,,ZTF25acazvii
ztf,61027.08827550011,3273088272815015000,1,3273088272815,19.969173,1,3273,1.5699154,19.035658,18.9687,0.11869847,0.1341,359.3640186,-2.9061848,0.9128571,t17_f5_c3,0.99999464,19.0642,0.1874,396120128.0,True,False,False,27.5.7a32.dev1,0.0,,,,,ZTF25acazvii
ztf,61027.205347199924,3273205342815015002,2,3273205342815,19.827246,1,3273,0.53859526,18.214722,18.1797,0.047437325,0.0776,359.363972,-2.906175,0.9242857,t17_f5_c3,0.9999999,18.173,0.0987,396120228.0,True,True,False,27.5.7a32.dev1,0.0,18.04648,0.037058793,0.040627863,,ZTF25acazvii
ztf,61029.09785880009,3275097852815015004,1,3275097852815,20.273415,1,3275,1.5556684,19.056562,18.9298,0.08466471,0.1013,359.3639409,-2.9061817,0.94,t17_f5_c3,0.9999992,18.8501,0.1204,396120128.0,True,False,False,27.5.7a32.dev1,0.0,,,,,ZTF25acazvii
ztf,61029.12798610004,3275127982815015004,2,3275127982815,20.228224,1,3275,0.46785825,18.192928,18.1771,0.06282059,0.0583,359.3639645,-2.9061517,0.94285715,t17_f5_c3,0.99999976,18.2045,0.0761,396120228.0,True,True,False,27.5.7a32.dev1,0.0,18.02779,0.05141454,0.05395683,,ZTF25acazvii
ztf,61031.107476899866,3277107472815015002,1,3277107472815,20.538895,1,3277,1.5060881,19.1179,19.1103,0.08146437,0.1187,359.3639346,-2.9061673,0.95857143,t17_f5_c3,0.9999998,19.1534,0.1579,396120128.0,True,False,False,27.5.7a32.dev1,0.0,,,,,ZTF25acazvii
ztf,61031.17626160011,3277176262815015003,2,3277176262815,20.119665,1,3277,0.41136852,18.190487,18.2786,0.060143877,0.0847,359.3639671,-2.9061356,0.9357143,t17_f5_c3,0.99979895,18.3096,0.1115,396120228.0,True,True,False,27.5.7a32.dev1,0.0,18.025692,0.049024154,0.05167417,,ZTF25acazvii
ztf,61049.10192129994,3295101922815015002,2,3295101922815,19.578545,1,3295,0.51558095,18.231716,18.1244,0.07970993,0.07,359.3639466,-2.9061585,0.72571427,t17_f5_c3,0.99998903,18.127,0.0897,396120228.0,True,True,False,27.5.7a32.dev1,0.0,18.06102,0.065989904,0.0681136,,ZTF25acazvii
ztf,61049.12901620008,3295129012815015001,1,3295129012815,19.312483,1,3295,0.91299564,19.116072,18.9774,0.21659523,0.1497,359.3639963,-2.9060015,0.3857143,t17_f5_c3,0.9589442,18.8245,0.1668,396120128.0,True,True,False,27.5.7a32.dev1,0.0,18.84249,0.16717985,0.16835107,,ZTF25acazvii
ztf,61052.121979199816,3298121972815015002,1,3298121972815,19.527447,1,3298,1.5783342,19.279245,19.2238,0.2108889,0.1801,359.3640058,-2.9061884,0.30714285,t17_f5_c3,0.91333395,18.8958,0.1711,396120128.0,True,False,False,27.5.7a32.dev1,0.0,,,,,ZTF25acazvii
ztf,61054.10210649995,3300102102815015002,1,3300102102815,19.685637,1,3300,1.7480721,19.38903,19.4481,0.17909676,0.2238,359.3640368,-2.9062332,0.67142856,t17_f5_c3,0.9884814,19.3051,0.252,396120128.0,True,False,False,27.5.7a32.dev1,0.0,,,,,ZTF25acazvii
ztf,61054.10901620006,3300109012815015002,2,3300109012815,19.577065,1,3300,0.759488,18.36531,18.3521,0.0907071,0.0883,359.3639218,-2.9062227,0.7842857,t17_f5_c3,0.999871,18.3221,0.1101,396120228.0,True,True,False,27.5.7a32.dev1,0.0,18.174128,0.07372016,0.076062,,ZTF25acazvii
ztf,61056.10180559987,3302101802815015003,2,3302101802815,20.003994,1,3302,0.534394,18.242193,18.2374,0.075860366,0.0817,359.3639726,-2.906174,0.93857145,t17_f5_c3,0.9999925,18.2054,0.1016,396120228.0,True,True,False,27.5.7a32.dev1,0.0,18.069965,0.06245641,0.06473276,,ZTF25acazvii
ztf,61056.119756899774,3302119752815015001,1,3302119752815,19.898247,1,3302,1.4200954,19.381624,19.7336,0.1635947,0.3155,359.363956,-2.9061446,0.93714285,t17_f5_c3,0.9999959,19.8386,0.4464,396120128.0,True,False,False,27.5.7a32.dev1,0.0,,,,,ZTF25acazvii
ztf,61058.101736099925,3304101732815015002,2,3304101732815,19.549492,1,3304,0.46619916,18.267448,18.2541,0.07790163,0.0874,359.3639541,-2.9061467,0.7771429,t17_f5_c3,0.9999909,18.2517,0.1116,396120228.0,True,True,False,27.5.7a32.dev1,0.0,18.09148,0.06393192,0.06624592,,ZTF25acazvii
ztf,61058.13021990005,3304130212815015000,1,3304130212815,18.9811,1,3304,0.709151,19.4266,19.3978,0.418041,0.263,359.3638843,-2.9059237,0.371429,t17_f5_c3,,19.7182,0.4536,,False,True,True,27.5.7a32.dev1,0.0,19.07576,0.30161032,0.30260983,3.306152002815015e+18,ZTF25acazvii
ztf,61060.10327549977,3306103272815015002,1,3306103272815,19.660593,1,3306,1.3969264,19.345058,19.5729,0.15945268,0.2669,359.3639525,-2.9061379,0.76857144,t17_f5_c3,0.9971975,19.8178,0.4291,396120128.0,True,True,True,27.5.7a32.dev1,0.0,19.016129,0.11545688,0.1177769,,ZTF25acazvii
ztf,61060.152002300136,3306152002815015003,2,3306152002815,19.129057,1,3306,0.71838266,18.371374,18.5166,0.13440059,0.1414,359.3639305,-2.9062141,0.6857143,t17_f5_c3,0.98926985,18.6014,0.1961,396120228.0,True,True,False,27.5.7a32.dev1,0.0,18.179209,0.11101578,0.11259916,,ZTF25acazvii
