tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,61009.35634260019,3255356342215015016,2,3255356342215,19.8414,1,3255,0.34439,18.4919,16.259373,18.331,0.117193,0.0073267184,0.014993088,0.0918,25.923538,82.149249,0.9,t17_f5_c3,18.3593,0.1186,False,True,False,27.5.7a32.dev1,0.0,3.2832554922150154e+18,,,ZTF25acetzgh
ztf,61011.34547450021,3257345472215015007,2,3257345472215,19.4322,1,3257,0.371258,18.3214,16.236008,18.257,0.095183,0.0055267867,0.013944485,0.1118,25.9235611,82.1492042,0.88,t17_f5_c3,18.2784,0.1446,False,True,False,27.5.7a32.dev1,0.0,3.2832554922150154e+18,,,ZTF25acetzgh
ztf,61013.18021989986,3259180212215015014,2,3259180212215,19.0609,1,3259,0.377409,18.7631,16.290518,18.8925,0.176122,0.0120433625,0.018062621,0.2483,25.9237418,82.1493278,0.751429,t17_f5_c3,18.9015,0.3198,False,True,False,27.5.7a32.dev1,0.0,3.2832554922150154e+18,,,ZTF25acetzgh
ztf,61015.29891199991,3261298912215015004,2,3261298912215,19.4421,1,3261,0.307991,18.3819,16.244663,18.5539,0.093607,0.002096584,0.013074142,0.1643,25.9236438,82.1492725,0.9,t17_f5_c3,18.741,0.2484,False,True,False,27.5.7a32.dev1,0.0,3.2832554922150154e+18,,,ZTF25acetzgh
ztf,61017.33766200021,3263337662215015008,1,3263337662215,19.6695,1,3263,0.282324,19.3388,17.005411,19.3351,0.191758,0.020133752,0.022356184,0.2886,25.9241242,82.1493266,0.767143,t17_f5_c3,19.4075,0.3942,False,True,False,27.5.7a32.dev1,0.0,3.2832554922150154e+18,,,ZTF25acetzgh
ztf,61021.26295140013,3267262952215015007,2,3267262952215,20.332,1,3267,0.247868,18.326,16.236681,18.2444,0.078567,100.0,0.011468646,0.0689,25.9238261,82.1492147,0.845714,t17_f5_c3,18.3296,0.0925,False,True,False,27.5.7a32.dev1,0.0,3.2832554922150154e+18,,,ZTF25acetzgh
ztf,61023.261435199995,3269261432215015011,1,3269261432215,20.2298,1,3269,0.038868,18.9133,16.946316,19.1321,0.109722,0.015384256,0.017926702,0.1382,25.9242362,82.149241,0.948571,t17_f5_c3,19.0472,0.1607,False,True,False,27.5.7a32.dev1,0.0,3.297298732215015e+18,,,ZTF25acetzgh
ztf,61027.201747700106,3273201742215015016,1,3273201742215,20.0475,1,3273,0.346683,19.073,16.970856,19.3902,0.101822,0.011276123,0.014688717,0.1904,25.9241963,82.1493467,0.96,t17_f5_c3,19.3605,0.2338,False,True,False,27.5.7a32.dev1,0.0,3.297298732215015e+18,,,ZTF25acetzgh
ztf,61027.35709490022,3273357092215015016,2,3273357092215,19.7978,1,3273,0.472987,18.5876,16.271156,18.5712,0.112926,0.0019900077,0.013372609,0.1022,25.9236546,82.1491432,0.917143,t17_f5_c3,18.525,0.1228,False,True,False,27.5.7a32.dev1,0.0,3.297298732215015e+18,,,ZTF25acetzgh
ztf,61037.25549770007,3283255492215015212,2,3283255492215,19.50682,1,3283,0.9448301,18.562183,16.268116,18.7887,0.15103537,0.012627827,0.018257922,0.1421,25.9225693,82.1493811,0.46857142,t17_f5_c3,18.7536,0.1735,True,True,False,27.5.7a32.dev1,0.0,,0.9999757,869120222.0,ZTF25acetzgh
ztf,61051.298738399986,3297298732215015006,2,3297298732215,19.45378,1,3297,0.8436963,18.117662,16.203663,18.2986,0.1052007,0.013087842,0.018047558,0.0847,25.9231437,82.1494306,0.77428573,t17_f5_c3,18.351,0.1115,True,True,False,27.5.7a32.dev1,0.0,,0.99965227,869120222.0,ZTF25acetzgh
