tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,61055.36126160016,3301361264215015021,2,3301361264215,20.1709,1,3301,0.627407,18.2889,15.919124,18.3293,0.07448,100.0,0.008397092,0.0713,119.3685751,26.6836141,0.932857,t17_f5_c3,18.362,0.0899,False,True,False,27.5.7a32.dev1,0.0,3.331134984215015e+18,,,ZTF26aaanpux
ztf,61055.401481499895,3301401484215015010,1,3301401484215,19.9652,1,3301,0.995663,19.7453,17.301212,19.6975,0.20044,0.014628688,0.02110326,0.2061,119.3682771,26.6834667,0.778571,t17_f5_c3,19.9612,0.3312,False,True,False,27.5.7a32.dev1,0.0,3.331134984215015e+18,,,ZTF26aaanpux
ztf,61057.33557870006,3303335574215015010,2,3303335574215,19.5009,1,3303,0.740079,18.1046,15.89671,18.4403,0.132498,0.013153745,0.017340159,0.1018,119.3686319,26.6836398,0.708571,t17_f5_c3,18.5928,0.1462,False,True,False,27.5.7a32.dev1,0.0,3.331134984215015e+18,,,ZTF26aaanpux
ztf,61057.39851849992,3303398514215015008,1,3303398514215,19.6121,1,3303,1.02405,19.5999,17.284954,19.6633,0.267894,0.028011793,0.03176765,0.2127,119.3686566,26.683491,0.418571,t17_f5_c3,19.645,0.2648,False,True,False,27.5.7a32.dev1,0.0,3.331134984215015e+18,,,ZTF26aaanpux
ztf,61059.30523149995,3305305234215015019,2,3305305234215,20.4659,1,3305,0.743332,18.0305,15.88672,18.2049,0.090746,0.0057781814,0.0125984,0.0575,119.3685197,26.6835411,0.718571,t17_f5_c3,18.2293,0.0712,False,True,False,27.5.7a32.dev1,0.0,3.331134984215015e+18,,,ZTF26aaanpux
ztf,61059.35487269983,3305354874215015013,1,3305354874215,20.5567,1,3305,0.560003,19.5061,17.2734,19.7425,0.127392,0.006763274,0.016295275,0.1992,119.3684911,26.6835558,0.944286,t17_f5_c3,19.4555,0.1925,False,True,False,27.5.7a32.dev1,0.0,3.331134984215015e+18,,,ZTF26aaanpux
ztf,61061.29026619997,3307290264215015020,2,3307290264215,20.1464,1,3307,0.746391,18.0317,15.886887,18.2403,0.096838,0.0074182902,0.013431373,0.0721,119.368553,26.6835533,0.854286,t17_f5_c3,18.3306,0.0962,False,True,False,27.5.7a32.dev1,0.0,3.331134984215015e+18,,,ZTF26aaanpux
ztf,61066.424641199876,3312424644215015003,2,3312424644215,18.6882,1,3312,0.806193,18.0641,15.891323,18.194,0.144198,0.015922455,0.01949164,0.2324,119.368571,26.6835427,0.707143,t17_f5_c3,18.1562,0.2861,False,True,False,27.5.7a32.dev1,0.0,3.331134984215015e+18,,,ZTF26aaanpux
ztf,61075.29079859983,3321290794215015011,2,3321290794215,19.6181,1,3321,0.789344,18.0395,15.887965,18.2401,0.080366,100.0,0.011077931,0.0983,119.3685922,26.6835697,0.895714,t17_f5_c3,18.3551,0.1376,False,True,False,27.5.7a32.dev1,0.0,3.331134984215015e+18,,,ZTF26aaanpux
ztf,61079.24262729986,3325242624215015015,1,3325242624215,20.4137,1,3325,0.655556,19.4567,17.266953,19.7191,0.140735,0.011556718,0.018728523,0.1975,119.368553,26.6835537,0.831429,t17_f5_c3,19.3973,0.1851,False,True,False,27.5.7a32.dev1,0.0,3.331134984215015e+18,,,ZTF26aaanpux
ztf,61079.243564799894,3325243564215015012,1,3325243564215,20.4315,1,3325,0.587213,19.5253,17.275835,19.778,0.134571,0.008155655,0.01694986,0.2103,119.3685266,26.6835591,0.947143,t17_f5_c3,19.6149,0.2278,False,True,False,27.5.7a32.dev1,0.0,3.331134984215015e+18,,,ZTF26aaanpux
ztf,61079.29631939996,3325296314215015014,2,3325296314215,20.4251,1,3325,0.620883,17.9897,15.880963,18.0667,0.108577,0.010879512,0.015568366,0.0508,119.3685449,26.6835908,0.775714,t17_f5_c3,18.1205,0.0643,False,True,False,27.5.7a32.dev1,0.0,3.331134984215015e+18,,,ZTF26aaanpux
ztf,61080.213506899774,3326213504215015013,2,3326213504215,20.3874,1,3326,0.730572,17.8452,15.859025,17.9752,0.123766,0.016601136,0.019866968,0.0487,119.3685458,26.6835543,0.617143,t17_f5_c3,17.93,0.0567,False,True,False,27.5.7a32.dev1,0.0,3.331134984215015e+18,,,ZTF26aaanpux
ztf,61080.22252310021,3326222524215015024,2,3326222524215,20.3909,1,3326,0.651013,17.8292,15.8564415,18.0181,0.105336,0.013210591,0.017118786,0.0502,119.3685826,26.6836161,0.747143,t17_f5_c3,18.0337,0.0617,False,True,False,27.5.7a32.dev1,0.0,3.331134984215015e+18,,,ZTF26aaanpux
ztf,61080.25571760023,3326255714215015010,1,3326255714215,20.3775,1,3326,0.516575,19.3973,17.258858,19.7335,0.138329,0.012588434,0.019299064,0.2083,119.3685727,26.6836185,0.938571,t17_f5_c3,19.5715,0.226,False,True,False,27.5.7a32.dev1,0.0,3.331134984215015e+18,,,ZTF26aaanpux
ztf,61085.134988400154,3331134984215015014,3,3331134984215,19.959658,1,3331,0.99919754,17.927814,15.190993,18.1381,0.14269899,100.0,0.011473411,0.0891,119.3686005,26.6834732,0.46857142,t17_f5_c3,18.228,0.1159,True,True,False,27.5.7a32.dev1,0.0,,0.67047185,616120342.0,ZTF26aaanpux
