tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,61052.575381900184,3298575382715010138,2,3298575382715,17.7971,-1,3298,1.07684,16.2735,14.251785,16.3375,0.054924,100.0,0.008532494,0.0516,268.2076951,-0.544466,0.42,t17_f5_c3,16.2628,0.0609,False,True,False,27.5.7a32.dev1,0.0,3.32556059271501e+18,,,ZTF26aaawdff
ztf,61053.574548599776,3299574542715010106,2,3299574542715,18.2792,-1,3299,1.06576,16.1281,14.276229,16.2238,0.044147,100.0,0.008019604,0.031,268.2078072,-0.5442297,0.532857,t17_f5_c3,16.2096,0.0384,False,True,False,27.5.7a32.dev1,0.0,3.32556059271501e+18,,,ZTF26aaawdff
ztf,61053.57957179984,3299579572715010084,2,3299579572715,17.590313,-1,3299,1.5519838,15.725478,,16.1741,0.057194006,,,0.0478,268.2076281,-0.5442289,0.40857142,t17_f5_c3,16.1354,0.0588,True,False,True,27.5.7a32.dev1,0.0,,0.9409974,1479120227.0,ZTF26aaawdff
ztf,61054.580821800046,3300580826315010124,2,3300580826315,17.7323,-1,3300,0.377181,15.4089,14.459502,15.6722,0.032768,100.0,0.013667548,0.0407,268.2079097,-0.5443912,0.538571,t17_f5_c3,15.7049,0.0535,False,True,False,27.5.7a32.dev1,0.0,3.32556059271501e+18,,,ZTF26aaawdff
ztf,61054.58128469996,3300581286315010129,2,3300581286315,17.6343,-1,3300,0.161883,15.4294,14.451064,15.7073,0.034406,100.0,0.013973325,0.0445,268.2079608,-0.5444331,0.522857,t17_f5_c3,15.7809,0.0608,False,True,False,27.5.7a32.dev1,0.0,3.32556059271501e+18,,,ZTF26aaawdff
ztf,61054.58320599981,3300583206315010222,2,3300583206315,17.269,-1,3300,0.744684,15.4972,14.424694,15.6558,0.043018,100.0,0.016019456,0.0555,268.2077981,-0.544414,0.488571,t17_f5_c3,15.7145,0.075,False,True,False,27.5.7a32.dev1,0.0,3.32556059271501e+18,,,ZTF26aaawdff
ztf,61055.57819439983,3301578196315010093,2,3301578196315,17.6404,-1,3301,0.612854,15.4787,14.431664,15.8101,0.040886,100.0,0.015586929,0.0349,268.2078583,-0.5445236,0.534286,t17_f5_c3,15.8393,0.0455,False,True,False,27.5.7a32.dev1,0.0,3.32556059271501e+18,,,ZTF26aaawdff
ztf,61055.58361109998,3301583616315010063,2,3301583616315,16.9651,-1,3301,0.61007,15.4976,14.424545,15.7236,0.063193,0.0030077624,0.023520535,0.0637,268.207835,-0.5444271,0.532857,t17_f5_c3,15.7668,0.0849,False,True,False,27.5.7a32.dev1,0.0,3.32556059271501e+18,,,ZTF26aaawdff
ztf,61057.5719792,3303571972715010032,2,3303571972715,18.5252,-1,3303,1.03586,16.6053,14.208256,16.5023,0.050599,100.0,0.0055631883,0.0334,268.2079002,-0.5441868,0.562857,t17_f5_c3,16.4719,0.0402,False,True,False,27.5.7a32.dev1,0.0,3.32556059271501e+18,,,ZTF26aaawdff
ztf,61057.57692130003,3303576922715010188,2,3303576922715,17.94806,-1,3303,1.0596865,16.02404,14.296249,16.2461,0.04497267,100.0,0.00915867,0.0518,268.2077224,-0.5443479,0.42285714,t17_f5_c3,16.2224,0.0644,True,True,False,27.5.7a32.dev1,0.0,,0.8706013,1479120227.0,ZTF26aaawdff
ztf,61058.571608799975,3304571602715010013,2,3304571602715,19.5052,-1,3304,0.151809,16.1316,14.275594,16.2293,0.022881,100.0,0.0041406914,0.0223,268.2079588,-0.5444444,0.492857,t17_f5_c3,16.2398,0.0275,False,True,False,27.5.7a32.dev1,0.0,3.32556059271501e+18,,,ZTF26aaawdff
ztf,61058.571608799975,3304571602715010014,2,3304571602715,19.5052,-1,3304,0.518705,15.9163,14.319566,16.7803,0.140623,0.01315091,0.03231193,0.0357,268.2078523,-0.5444615,0.424286,t17_f5_c3,16.7738,0.0438,False,True,False,27.5.7a32.dev1,0.0,3.32556059271501e+18,,,ZTF26aaawdff
ztf,61058.57662039995,3304576622715010010,2,3304576622715,19.128,-1,3304,0.454859,16.0015,14.3008995,16.1975,0.05008,100.0,0.010457414,0.0297,268.2078722,-0.544439,0.625714,t17_f5_c3,16.2118,0.0376,False,True,False,27.5.7a32.dev1,0.0,3.32556059271501e+18,,,ZTF26aaawdff
ztf,61058.582036999986,3304582032715010101,2,3304582032715,18.262,-1,3304,0.188143,15.826,14.341421,16.1438,0.04631,100.0,0.01179894,0.0579,268.207958,-0.5444289,0.502857,t17_f5_c3,16.1657,0.0754,False,True,False,27.5.7a32.dev1,0.0,3.32556059271501e+18,,,ZTF26aaawdff
ztf,61059.57231480023,3305572312715010013,2,3305572312715,19.3316,-1,3305,0.729056,16.1082,14.279883,16.2388,0.057213,100.0,0.010621061,0.023,268.2078365,-0.5443353,0.835714,t17_f5_c3,16.2142,0.0273,False,True,False,27.5.7a32.dev1,0.0,3.32556059271501e+18,,,ZTF26aaawdff
ztf,61059.576770800166,3305576772715010042,2,3305576772715,19.1567,-1,3305,0.412216,15.891,14.325464,16.111,0.042746,100.0,0.0101083685,0.0262,268.2079045,-0.544393,0.632857,t17_f5_c3,16.1271,0.033,False,True,False,27.5.7a32.dev1,0.0,3.32556059271501e+18,,,ZTF26aaawdff
ztf,61059.58219909994,3305582192715010065,2,3305582192715,18.4919,-1,3305,0.511349,15.901,14.3231125,16.0734,0.03796,100.0,0.008875057,0.0431,268.2078695,-0.5443963,0.658571,t17_f5_c3,16.0383,0.053,False,True,False,27.5.7a32.dev1,0.0,3.32556059271501e+18,,,ZTF26aaawdff
ztf,61060.572384300176,3306572386315010017,2,3306572386315,19.6852,-1,3306,0.323113,15.5369,14.410274,15.7263,0.060123,100.0,0.021300519,0.0134,268.2079173,-0.5444378,0.738571,t17_f5_c3,15.7352,0.0161,False,True,False,27.5.7a32.dev1,0.0,3.32556059271501e+18,,,ZTF26aaawdff
ztf,61060.57574070012,3306575746315010008,2,3306575746315,19.4133,-1,3306,0.206664,15.5452,14.407348,15.7232,0.041254,100.0,0.014465218,0.0158,268.2079543,-0.5444113,0.564286,t17_f5_c3,15.7341,0.0195,False,True,False,27.5.7a32.dev1,0.0,3.32556059271501e+18,,,ZTF26aaawdff
ztf,61060.5833101999,3306583316315010008,2,3306583316315,18.4552,-1,3306,0.040956,15.5214,14.415818,15.6487,0.04851,100.0,0.017522588,0.032,268.2079994,-0.5444305,0.7,t17_f5_c3,15.6681,0.0415,False,True,False,27.5.7a32.dev1,0.0,3.32556059271501e+18,,,ZTF26aaawdff
ztf,61061.57045139978,3307570456315010008,2,3307570456315,16.6406,-1,3307,0.230978,15.4644,14.437166,15.5632,0.077222,0.018490458,0.029981079,0.1491,268.2079751,-0.5443782,0.618571,t17_f5_c3,15.5538,0.1889,False,True,False,27.5.7a32.dev1,0.0,3.32556059271501e+18,,,ZTF26aaawdff
ztf,61065.56711809989,3311567112715010014,2,3311567112715,19.4443,-1,3311,0.723021,15.917,14.319406,16.2567,0.072149,100.0,0.016565042,0.0198,268.2077975,-0.544428,0.658571,t17_f5_c3,16.2622,0.0237,False,True,False,27.5.7a32.dev1,0.0,3.32556059271501e+18,,,ZTF26aaawdff
ztf,61065.56998840021,3311569982715010025,2,3311569982715,19.3399,-1,3311,0.309227,16.0828,14.284664,16.2388,0.047536,100.0,0.009073366,0.0215,268.2079161,-0.5444326,0.812857,t17_f5_c3,16.2835,0.027,False,True,False,27.5.7a32.dev1,0.0,3.32556059271501e+18,,,ZTF26aaawdff
ztf,61065.57601850014,3311576012715010090,2,3311576012715,18.529,-1,3311,0.479376,15.9894,14.303443,16.1719,0.037908,100.0,0.008023207,0.0345,268.207865,-0.5444379,0.617143,t17_f5_c3,16.2129,0.045,False,True,False,27.5.7a32.dev1,0.0,3.32556059271501e+18,,,ZTF26aaawdff
ztf,61066.56707180012,3312567072715010191,2,3312567072715,17.1839,-1,3312,0.425006,15.909,14.32125,16.6582,0.136424,0.011189987,0.031607546,0.1632,268.2079079,-0.5445394,0.375714,t17_f5_c3,16.6939,0.2141,False,True,False,27.5.7a32.dev1,0.0,3.32556059271501e+18,,,ZTF26aaawdff
ztf,61077.56171299983,3323561712715010012,2,3323561712715,19.6484,-1,3323,0.319946,16.1532,14.27173,16.5325,0.112438,100.0,0.01987583,0.0264,268.2079091,-0.5444472,0.448571,t17_f5_c3,16.5354,0.0317,False,True,False,27.5.7a32.dev1,0.0,3.32556059271501e+18,,,ZTF26aaawdff
ztf,61079.56059029978,3325560592715010011,2,3325560592715,19.481812,-1,3325,1.0924152,16.667238,14.201655,16.7553,0.08929829,100.0,0.009217433,0.0298,268.2076921,-0.5444344,0.5814286,t17_f5_c3,16.7587,0.0353,True,True,False,27.5.7a32.dev1,0.0,,0.84353423,1479120227.0,ZTF26aaawdff
