tid,mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magap,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,ra,dec,rb,rbversion,magapbig,sigmagapbig,has_stamp,corrected,dubious,step_id_corr,phase,parent_candid,drb,rfid,oid
ztf,61072.57532409998,3318575324815015018,2,3318575324815,17.7443,1,3318,0.538546,16.8093,15.2086935,17.2267,0.102224,0.016900374,0.023405107,0.201,297.0576218,11.5105502,0.501429,t17_f5_c3,17.2849,0.272,False,True,False,27.5.7a32.dev1,0.0,3.321571444815015e+18,,,ZTF26aaezxnt
ztf,61075.57144680014,3321571444815015012,2,3321571444815,18.173359,1,3321,1.6094401,17.228703,,17.2874,0.10443485,,,0.1249,297.0574982,11.5108363,0.5814286,t17_f5_c3,17.1827,0.145,True,False,True,27.5.7a32.dev1,0.0,,0.92527723,1535120248.0,ZTF26aaezxnt
ztf,61083.564317100216,3329564316115010010,2,3329564316115,19.0429,-1,3329,0.337629,16.6129,15.866185,16.82,0.06216,0.015646646,0.0312482,0.0468,297.0577654,11.5103589,0.758571,t17_f5_c3,16.7949,0.058,False,True,True,27.5.7a32.dev1,0.0,3.353540094815015e+18,,,ZTF26aaezxnt
ztf,61083.56736110011,3329567364815010057,2,3329567364815,18.8569,-1,3329,0.124088,16.7284,15.909599,16.7971,0.064636,100.0,0.030405654,0.0533,297.0577347,11.5104127,0.658571,t17_f5_c3,16.7111,0.0627,False,True,True,27.5.7a32.dev1,0.0,3.353540094815015e+18,,,ZTF26aaezxnt
ztf,61083.56879629986,3329568796115010012,2,3329568796115,18.4596,-1,3329,0.238444,16.4978,15.929007,16.7346,0.051646,0.01068156,0.03058575,0.0746,297.057756,11.5103894,0.721429,t17_f5_c3,16.7514,0.0968,False,True,True,27.5.7a32.dev1,0.0,3.353540094815015e+18,,,ZTF26aaezxnt
ztf,61083.572511599865,3329572514815010094,2,3329572514815,18.3111,-1,3329,0.283632,16.5723,15.9915905,16.6772,0.055527,100.0,0.032525238,0.0739,297.0577403,11.510368,0.702857,t17_f5_c3,16.6146,0.0894,False,True,True,27.5.7a32.dev1,0.0,3.353540094815015e+18,,,ZTF26aaezxnt
ztf,61083.573958300054,3329573956115010029,2,3329573956115,18.1785,-1,3329,0.19089,16.4366,15.966948,16.5094,0.0549,0.019698594,0.035621442,0.076,297.0577065,11.5104105,0.772857,t17_f5_c3,16.4838,0.0951,False,True,True,27.5.7a32.dev1,0.0,3.353540094815015e+18,,,ZTF26aaezxnt
ztf,61105.542638900224,3351542634815010012,2,3351542634815,19.2692,-1,3351,0.540251,18.0764,15.596307,18.2942,0.172407,100.0,0.017559707,0.1553,297.0578534,11.5103599,0.574286,t17_f5_c3,18.1771,0.176,False,True,True,27.5.7a32.dev1,0.0,3.352541344815015e+18,,,ZTF26aaezxnt
ztf,61106.54134259978,3352541344815015086,2,3352541344815,18.460876,1,3352,1.0890646,17.109203,15.270412,17.2392,0.09989954,0.0066042743,0.018367384,0.0622,297.0577459,11.5107537,0.42571428,t17_f5_c3,17.1794,0.0742,True,True,True,27.5.7a32.dev1,0.0,,0.9277305,1535120248.0,ZTF26aaezxnt
ztf,61107.540092600044,3353540094815015026,2,3353540094815,18.584612,1,3353,1.0748829,17.05878,15.260964,17.1364,0.10549518,0.010818076,0.02014217,0.0514,297.0576883,11.5107463,0.3942857,t17_f5_c3,17.1473,0.0651,True,True,True,27.5.7a32.dev1,0.0,,0.9707973,1535120248.0,ZTF26aaezxnt
